date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,23,15,0.0,11.6,5,97,08:34 PM,06:05 AM,06:36 AM,08:56 PM,5,21,21,21,8,4,39,0.0,1017,23,10,228,7,Santiago
2018-01-02,24,16,0.0,11.6,5,100,09:36 PM,07:09 AM,06:37 AM,08:56 PM,1,21,20,21,7,12,29,0.0,1017,24,10,224,6,Santiago
2018-01-03,25,17,0.0,11.6,6,89,10:30 PM,08:16 AM,06:38 AM,08:56 PM,2,23,23,23,7,2,27,0.0,1015,25,10,231,6,Santiago
2018-01-04,26,17,0.0,11.6,6,81,11:18 PM,09:25 AM,06:39 AM,08:56 PM,7,23,23,23,9,3,39,0.0,1014,26,10,255,7,Santiago
2018-01-05,24,16,0.0,11.6,6,74,12:00 AM,10:32 AM,06:39 AM,08:56 PM,7,22,22,22,7,4,40,0.0,1017,24,10,243,6,Santiago
2018-01-06,28,18,0.0,11.6,6,67,No moonrise,11:38 AM,06:40 AM,08:56 PM,-1,25,25,26,6,0,18,0.0,1016,28,10,205,5,Santiago
2018-01-07,26,20,0.0,11.6,6,59,12:37 AM,12:39 PM,06:41 AM,08:56 PM,3,24,24,25,9,0,27,0.0,1015,26,10,193,8,Santiago
2018-01-08,26,17,0.0,11.6,6,52,01:13 AM,01:39 PM,06:42 AM,08:56 PM,11,21,22,21,12,6,51,0.0,1016,26,10,247,10,Santiago
2018-01-09,25,17,0.0,11.6,6,45,01:46 AM,02:36 PM,06:43 AM,08:56 PM,10,22,23,22,10,3,46,0.0,1015,25,10,235,9,Santiago
2018-01-10,26,18,0.0,11.6,6,38,02:19 AM,03:32 PM,06:44 AM,08:56 PM,10,23,24,23,11,3,43,0.0,1015,26,10,238,9,Santiago
2018-01-11,27,18,0.0,11.6,6,30,02:54 AM,04:27 PM,06:45 AM,08:56 PM,11,23,23,23,10,4,48,0.0,1015,27,10,236,9,Santiago
2018-01-12,25,18,0.0,11.6,6,23,03:30 AM,05:21 PM,06:46 AM,08:56 PM,10,22,22,22,10,5,48,0.0,1014,25,10,239,9,Santiago
2018-01-13,22,17,0.0,11.6,5,16,04:08 AM,06:13 PM,06:47 AM,08:56 PM,10,20,21,20,8,6,52,0.0,1015,22,10,234,7,Santiago
2018-01-14,24,16,0.0,11.6,5,9,04:50 AM,07:05 PM,06:48 AM,08:56 PM,9,20,20,20,10,20,50,0.0,1015,24,10,224,8,Santiago
2018-01-15,22,16,0.0,11.6,5,1,05:36 AM,07:54 PM,06:48 AM,08:55 PM,8,19,19,19,11,8,51,0.0,1017,22,10,228,10,Santiago
2018-01-16,23,15,0.0,11.6,5,0,06:24 AM,08:39 PM,06:49 AM,08:55 PM,6,20,21,20,10,1,41,0.0,1018,23,10,215,9,Santiago
2018-01-17,25,16,0.0,11.6,6,0,07:16 AM,09:22 PM,06:50 AM,08:55 PM,1,23,23,23,9,0,27,0.0,1017,25,10,221,8,Santiago
2018-01-18,27,17,0.0,11.6,6,6,08:09 AM,10:01 PM,06:51 AM,08:54 PM,-1,24,24,24,10,0,21,0.0,1016,27,10,221,9,Santiago
2018-01-19,26,19,0.0,11.6,6,13,09:04 AM,10:37 PM,06:52 AM,08:54 PM,6,24,24,24,8,9,32,0.0,1015,26,10,241,7,Santiago
2018-01-20,24,18,0.0,11.6,6,20,10:00 AM,11:12 PM,06:53 AM,08:54 PM,10,22,23,22,9,5,48,0.1,1013,24,10,247,8,Santiago
2018-01-21,24,17,0.0,11.6,6,28,10:56 AM,11:46 PM,06:54 AM,08:53 PM,10,22,22,22,9,2,47,0.0,1013,24,10,234,8,Santiago
2018-01-22,25,17,0.0,11.6,6,35,11:53 AM,No moonset,06:55 AM,08:53 PM,6,22,22,22,8,5,36,0.0,1011,25,10,229,7,Santiago
2018-01-23,25,16,0.0,11.6,6,42,12:52 PM,12:19 AM,06:56 AM,08:52 PM,8,22,23,22,9,1,40,0.0,1013,25,10,234,8,Santiago
2018-01-24,26,17,0.0,11.6,6,49,01:52 PM,12:53 AM,06:57 AM,08:52 PM,7,23,23,23,10,1,35,0.0,1014,26,10,233,9,Santiago
2018-01-25,26,17,0.0,11.6,6,57,02:55 PM,01:30 AM,06:58 AM,08:51 PM,7,22,23,22,10,2,40,0.0,1014,26,10,223,9,Santiago
2018-01-26,25,16,0.0,11.6,6,64,04:00 PM,02:10 AM,06:59 AM,08:51 PM,6,22,22,22,10,0,38,0.0,1014,25,10,219,9,Santiago
2018-01-27,28,17,0.0,11.6,6,71,05:06 PM,02:56 AM,07:00 AM,08:50 PM,2,24,24,24,8,0,25,0.0,1014,28,10,210,7,Santiago
2018-01-28,29,19,0.0,11.6,6,78,06:12 PM,03:48 AM,07:01 AM,08:49 PM,-5,24,24,26,9,0,13,0.0,1011,29,10,210,8,Santiago
2018-01-29,26,18,0.0,11.6,6,86,07:15 PM,04:46 AM,07:02 AM,08:49 PM,3,23,23,24,10,1,26,0.0,1010,26,10,221,9,Santiago
2018-01-30,26,16,0.0,11.6,6,93,08:13 PM,05:51 AM,07:03 AM,08:48 PM,4,22,22,22,10,0,33,0.0,1013,26,10,220,9,Santiago
