date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,6,3,0.0,8.7,2,97,03:45 PM,05:26 AM,06:53 AM,04:26 PM,0,1,5,1,32,19,73,1.3,1012,6,10,289,21,Sendai
2018-01-02,4,1,0.0,8.7,2,100,04:47 PM,06:33 AM,06:53 AM,04:27 PM,-3,-3,3,-3,37,40,68,0.0,1014,4,10,302,27,Sendai
2018-01-03,3,-2,0.6,7.0,1,89,05:55 PM,07:34 AM,06:53 AM,04:28 PM,-3,-5,1,-5,34,53,72,0.7,1011,3,9,299,25,Sendai
2018-01-04,3,-1,0.0,7.0,2,81,07:05 PM,08:27 AM,06:54 AM,04:29 PM,-4,-4,1,-4,29,25,71,0.0,1018,3,10,308,20,Sendai
2018-01-05,4,-1,0.0,7.0,1,74,08:15 PM,09:14 AM,06:54 AM,04:30 PM,-3,0,2,0,9,57,70,0.0,1016,4,10,268,5,Sendai
2018-01-06,5,1,0.0,7.0,2,67,09:23 PM,09:54 AM,06:54 AM,04:31 PM,-2,-1,2,-1,24,37,71,0.0,1011,5,10,288,16,Sendai
2018-01-07,4,1,0.0,7.0,2,59,10:27 PM,10:30 AM,06:54 AM,04:32 PM,-3,-3,2,-3,34,22,66,0.0,1020,4,10,293,24,Sendai
2018-01-08,7,1,0.0,5.3,1,52,11:30 PM,11:03 AM,06:54 AM,04:33 PM,-0,2,4,2,10,71,73,0.4,1016,7,9,236,6,Sendai
2018-01-09,10,3,0.0,8.7,3,45,No moonrise,11:34 AM,06:53 AM,04:33 PM,2,3,6,3,38,56,75,0.5,995,10,9,274,26,Sendai
2018-01-10,5,2,0.0,3.7,1,38,12:29 AM,12:05 PM,06:53 AM,04:34 PM,-1,-0,4,-0,30,78,69,0.0,1005,5,10,280,20,Sendai
2018-01-11,3,-2,0.0,5.4,2,30,01:28 AM,12:37 PM,06:53 AM,04:35 PM,-3,-2,1,-2,18,55,72,0.0,1011,3,10,271,13,Sendai
2018-01-12,2,-3,0.0,8.7,2,23,02:25 AM,01:11 PM,06:53 AM,04:36 PM,-6,-5,-1,-5,18,31,66,0.0,1020,2,10,305,12,Sendai
2018-01-13,3,-2,0.0,7.0,2,16,03:21 AM,01:48 PM,06:53 AM,04:37 PM,-5,-2,0,-2,11,35,69,0.0,1023,3,10,287,7,Sendai
