date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,23,20,0.0,8.7,6,97,05:08 PM,05:57 AM,07:04 AM,05:40 PM,10,23,24,23,7,0,45,0.0,1015,23,10,241,5,Sharjah
2018-01-02,23,19,0.0,8.7,6,100,06:12 PM,07:02 AM,07:05 AM,05:41 PM,11,22,23,22,14,0,50,0.0,1013,23,10,217,10,Sharjah
2018-01-03,22,21,0.0,8.7,6,89,07:19 PM,08:03 AM,07:05 AM,05:41 PM,14,22,23,22,27,12,61,0.1,1014,22,10,260,19,Sharjah
2018-01-04,22,20,0.0,8.7,6,81,08:24 PM,08:59 AM,07:05 AM,05:42 PM,13,21,23,21,21,23,61,0.0,1015,22,10,247,15,Sharjah
2018-01-05,22,19,0.0,8.7,6,74,09:29 PM,09:49 AM,07:05 AM,05:43 PM,12,21,22,21,18,4,58,0.0,1015,22,10,251,13,Sharjah
2018-01-06,24,20,0.0,8.7,6,67,10:29 PM,10:33 AM,07:05 AM,05:43 PM,13,22,23,22,11,0,57,0.0,1014,24,10,233,8,Sharjah
2018-01-07,24,20,0.0,8.7,6,59,11:27 PM,11:14 AM,07:06 AM,05:44 PM,12,24,24,22,24,0,52,0.0,1015,24,10,210,16,Sharjah
2018-01-08,21,20,0.0,8.7,6,52,No moonrise,11:53 AM,07:06 AM,05:45 PM,12,21,22,21,28,11,59,3.6,1017,21,10,280,20,Sharjah
2018-01-09,22,19,0.0,8.7,6,45,12:22 AM,12:29 PM,07:06 AM,05:46 PM,11,20,21,20,24,7,54,1.9,1019,22,10,74,18,Sharjah
2018-01-10,22,20,0.0,8.7,6,38,01:16 AM,01:06 PM,07:06 AM,05:46 PM,8,21,22,21,27,8,45,0.0,1020,22,10,70,19,Sharjah
2018-01-11,22,20,0.0,8.7,6,30,02:08 AM,01:44 PM,07:06 AM,05:47 PM,6,21,22,21,21,3,39,0.0,1022,22,10,14,14,Sharjah
2018-01-12,22,20,0.0,8.7,6,23,03:01 AM,02:22 PM,07:06 AM,05:48 PM,7,21,23,21,17,0,39,0.0,1021,22,10,169,11,Sharjah
