date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-5,-10,0.0,8.7,2,97,03:48 PM,05:48 AM,07:14 AM,04:26 PM,-20,-10,-7,-10,10,5,34,0.0,1030,-5,10,310,7,Shenyang
2018-01-02,-7,-12,0.0,8.7,2,100,04:50 PM,06:55 AM,07:14 AM,04:26 PM,-21,-13,-8,-13,11,4,34,0.0,1034,-7,10,284,9,Shenyang
2018-01-03,-7,-13,0.0,8.7,2,89,05:59 PM,07:56 AM,07:14 AM,04:27 PM,-20,-13,-9,-13,10,5,41,0.0,1037,-7,10,295,8,Shenyang
2018-01-04,-7,-12,0.0,8.7,2,81,07:11 PM,08:48 AM,07:14 AM,04:28 PM,-20,-12,-9,-12,8,33,40,0.0,1033,-7,10,305,6,Shenyang
2018-01-05,-5,-12,0.0,8.7,2,74,08:23 PM,09:32 AM,07:14 AM,04:29 PM,-20,-11,-8,-11,9,21,37,0.0,1025,-5,10,250,6,Shenyang
2018-01-06,-5,-11,0.0,8.7,2,67,09:33 PM,10:10 AM,07:14 AM,04:30 PM,-15,-8,-5,-8,9,3,46,0.0,1027,-5,10,244,6,Shenyang
2018-01-07,0,-8,0.0,6.9,1,59,10:39 PM,10:43 AM,07:14 AM,04:31 PM,-15,-7,-4,-7,15,60,40,0.0,1021,0,10,180,9,Shenyang
2018-01-08,-3,-8,0.4,5.2,1,52,11:43 PM,11:14 AM,07:14 AM,04:32 PM,-10,-10,-5,-10,17,91,69,0.5,1012,-3,8,298,12,Shenyang
2018-01-09,-6,-11,0.0,6.9,2,45,No moonrise,11:44 AM,07:14 AM,04:33 PM,-21,-15,-9,-15,21,53,40,0.0,1014,-6,10,292,15,Shenyang
2018-01-10,-12,-16,0.1,3.5,1,38,12:45 AM,12:12 PM,07:13 AM,04:34 PM,-20,-21,-14,-21,21,81,60,0.1,1024,-12,10,328,15,Shenyang
2018-01-11,-15,-18,0.0,8.7,2,30,01:45 AM,12:43 PM,07:13 AM,04:35 PM,-21,-21,-15,-21,11,5,62,0.0,1034,-15,10,304,9,Shenyang
2018-01-12,-6,-18,0.0,8.7,2,23,02:43 AM,01:16 PM,07:13 AM,04:36 PM,-19,-18,-12,-18,17,38,60,0.0,1030,-6,10,176,10,Shenyang
2018-01-13,-3,-12,0.0,5.2,1,16,03:41 AM,01:51 PM,07:12 AM,04:38 PM,-11,-11,-7,-11,18,41,71,0.0,1029,-3,10,157,10,Shenyang
2018-01-14,2,-5,0.1,5.2,2,9,04:36 AM,02:31 PM,07:12 AM,04:39 PM,-6,-7,-2,-7,34,54,74,0.1,1021,2,9,214,19,Shenyang
2018-01-15,-4,-9,0.0,5.2,1,1,05:29 AM,03:15 PM,07:12 AM,04:40 PM,-13,-8,-5,-8,8,43,56,0.0,1025,-4,10,220,6,Shenyang
2018-01-16,-2,-8,0.0,8.7,2,0,06:17 AM,04:03 PM,07:11 AM,04:41 PM,-10,-8,-4,-8,15,16,63,0.0,1019,-2,10,193,9,Shenyang
2018-01-17,-0,-8,0.0,5.2,1,0,07:03 AM,04:56 PM,07:11 AM,04:42 PM,-8,-7,-4,-7,16,28,72,0.0,1019,-0,10,162,10,Shenyang
2018-01-18,-2,-10,0.0,8.7,2,6,07:43 AM,05:52 PM,07:10 AM,04:43 PM,-11,-7,-4,-7,14,0,60,0.0,1024,-2,10,201,10,Shenyang
2018-01-19,2,-6,0.0,8.7,2,13,08:20 AM,06:50 PM,07:10 AM,04:45 PM,-9,-7,-3,-7,23,6,62,0.0,1021,2,10,241,13,Shenyang
