date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,5,-3,0.0,8.7,2,97,04:30 PM,06:17 AM,07:40 AM,05:08 PM,-19,-4,-0,-4,19,5,22,0.0,1027,5,10,37,11,Shijiazhuang
2018-01-02,2,-3,0.0,3.6,1,100,05:34 PM,07:24 AM,07:40 AM,05:09 PM,-13,-4,-1,-4,14,75,40,0.0,1035,2,10,111,9,Shijiazhuang
2018-01-03,-0,-4,0.0,5.3,1,89,06:42 PM,08:24 AM,07:40 AM,05:10 PM,-20,-3,-2,-3,6,58,26,0.0,1040,-0,10,181,4,Shijiazhuang
2018-01-04,-1,-4,0.0,5.3,2,81,07:53 PM,09:17 AM,07:40 AM,05:11 PM,-22,-3,-2,-3,6,79,21,0.0,1034,-1,10,204,4,Shijiazhuang
2018-01-05,3,-6,0.0,8.7,2,74,09:03 PM,10:02 AM,07:40 AM,05:12 PM,-14,-3,-1,-3,7,22,39,0.0,1027,3,10,209,4,Shijiazhuang
2018-01-06,3,-4,0.0,8.7,2,67,10:11 PM,10:42 AM,07:40 AM,05:13 PM,-14,-1,0,-1,7,41,35,0.0,1027,3,10,141,4,Shijiazhuang
2018-01-07,3,-1,0.0,5.3,1,59,11:16 PM,11:17 AM,07:40 AM,05:14 PM,-9,-1,1,-1,10,65,48,0.0,1022,3,10,253,6,Shijiazhuang
2018-01-08,2,-5,0.0,8.7,2,52,No moonrise,11:49 AM,07:40 AM,05:15 PM,-18,-7,-2,-7,25,4,28,0.0,1022,2,10,292,16,Shijiazhuang
2018-01-09,3,-5,0.0,8.7,2,45,12:18 AM,12:19 PM,07:40 AM,05:16 PM,-19,-7,-2,-7,25,16,28,0.0,1024,3,10,294,16,Shijiazhuang
2018-01-10,1,-6,0.0,8.7,2,38,01:18 AM,12:50 PM,07:40 AM,05:17 PM,-19,-6,-3,-6,14,29,29,0.0,1030,1,10,208,8,Shijiazhuang
2018-01-11,-1,-9,0.0,8.7,2,30,02:17 AM,01:22 PM,07:40 AM,05:18 PM,-22,-7,-4,-7,10,1,23,0.0,1037,-1,10,190,7,Shijiazhuang
2018-01-12,5,-8,0.0,8.7,2,23,03:14 AM,01:56 PM,07:39 AM,05:19 PM,-19,-6,-2,-6,15,1,26,0.0,1032,5,10,215,9,Shijiazhuang
2018-01-13,5,-5,0.0,8.7,2,16,04:10 AM,02:33 PM,07:39 AM,05:20 PM,-10,1,2,1,7,2,41,0.0,1025,5,10,185,5,Shijiazhuang
2018-01-14,6,-3,0.0,8.7,2,9,05:05 AM,03:13 PM,07:39 AM,05:21 PM,-9,2,3,2,7,2,44,0.0,1022,6,10,211,4,Shijiazhuang
2018-01-15,4,-2,0.0,8.7,2,1,05:57 AM,03:58 PM,07:39 AM,05:22 PM,-12,-2,1,-2,13,23,40,0.0,1023,4,10,129,8,Shijiazhuang
2018-01-16,6,-2,0.0,8.7,2,0,06:45 AM,04:46 PM,07:38 AM,05:23 PM,-11,-0,1,-0,9,28,41,0.0,1019,6,10,144,6,Shijiazhuang
2018-01-17,4,-2,0.0,7.0,2,0,07:31 AM,05:39 PM,07:38 AM,05:24 PM,-11,-0,1,-0,6,34,40,0.0,1019,4,10,180,4,Shijiazhuang
2018-01-18,6,-3,0.0,7.0,1,6,08:12 AM,06:33 PM,07:37 AM,05:25 PM,-13,-1,1,-1,13,56,36,0.0,1025,6,10,252,7,Shijiazhuang
2018-01-19,8,-1,0.0,8.7,2,13,08:49 AM,07:31 PM,07:37 AM,05:26 PM,-14,3,4,3,8,16,27,0.0,1023,8,10,257,4,Shijiazhuang
2018-01-20,6,-2,0.0,8.7,2,20,09:24 AM,08:28 PM,07:36 AM,05:27 PM,-13,-1,2,-1,17,8,35,0.0,1023,6,10,49,11,Shijiazhuang
2018-01-21,-0,-4,0.0,3.7,1,28,09:56 AM,09:28 PM,07:36 AM,05:29 PM,-7,-6,-2,-6,17,82,67,0.0,1023,-0,10,54,12,Shijiazhuang
2018-01-22,-2,-6,0.1,3.7,1,35,10:27 AM,10:27 PM,07:35 AM,05:30 PM,-8,-8,-4,-8,14,88,71,0.1,1025,-2,9,103,10,Shijiazhuang
2018-01-23,-6,-11,0.0,5.4,2,42,10:58 AM,11:29 PM,07:35 AM,05:31 PM,-16,-11,-8,-11,10,25,53,0.0,1032,-6,10,208,7,Shijiazhuang
2018-01-24,-3,-11,0.0,7.0,2,49,11:29 AM,No moonset,07:34 AM,05:32 PM,-20,-10,-7,-10,8,31,39,0.0,1034,-3,10,143,6,Shijiazhuang
2018-01-25,-4,-8,0.0,8.7,2,57,12:03 PM,12:32 AM,07:33 AM,05:33 PM,-19,-11,-6,-11,14,28,36,0.0,1037,-4,10,59,10,Shijiazhuang
2018-01-26,-3,-10,0.0,8.7,2,64,12:40 PM,01:38 AM,07:33 AM,05:34 PM,-18,-8,-6,-8,6,24,38,0.0,1037,-3,10,163,5,Shijiazhuang
2018-01-27,-3,-8,0.0,5.4,1,71,01:24 PM,02:45 AM,07:32 AM,05:35 PM,-15,-7,-5,-7,8,67,45,0.0,1031,-3,10,126,6,Shijiazhuang
2018-01-28,-1,-8,0.0,8.7,2,78,02:13 PM,03:54 AM,07:31 AM,05:37 PM,-23,-8,-4,-8,14,8,28,0.0,1032,-1,10,263,10,Shijiazhuang
2018-01-29,1,-7,0.0,8.7,2,86,03:11 PM,05:01 AM,07:30 AM,05:38 PM,-23,-7,-3,-7,17,8,21,0.0,1032,1,10,305,10,Shijiazhuang
2018-01-30,5,-5,0.0,5.4,1,93,04:15 PM,06:04 AM,07:30 AM,05:39 PM,-21,-4,-0,-4,20,55,20,0.0,1028,5,10,285,11,Shijiazhuang
2018-01-31,4,-4,0.0,8.7,2,97,05:26 PM,07:01 AM,07:29 AM,05:40 PM,-20,-2,0,-2,14,4,21,0.0,1030,4,10,259,9,Shijiazhuang
2018-02-01,6,-4,0.0,8.7,2,88,06:37 PM,07:51 AM,07:28 AM,05:41 PM,-18,0,2,0,11,17,22,0.0,1029,6,10,217,7,Shijiazhuang
2018-02-02,-1,-6,0.0,8.7,2,81,07:48 PM,08:33 AM,07:27 AM,05:42 PM,-25,-9,-3,-9,26,0,17,0.0,1040,-1,10,320,18,Shijiazhuang
2018-02-03,1,-7,0.0,8.7,2,73,08:56 PM,09:12 AM,07:26 AM,05:44 PM,-24,-6,-3,-6,11,4,18,0.0,1038,1,10,269,7,Shijiazhuang
2018-02-04,3,-7,0.0,8.7,2,66,10:02 PM,09:47 AM,07:25 AM,05:45 PM,-22,-5,-2,-5,14,2,20,0.0,1034,3,10,201,9,Shijiazhuang
2018-02-05,0,-6,0.0,8.7,2,58,11:05 PM,10:19 AM,07:24 AM,05:46 PM,-21,-6,-3,-6,14,5,24,0.0,1034,0,10,96,9,Shijiazhuang
2018-02-06,2,-7,0.0,8.7,2,51,No moonrise,10:50 AM,07:23 AM,05:47 PM,-20,-3,-2,-3,8,1,24,0.0,1028,2,10,213,6,Shijiazhuang
2018-02-07,3,-4,0.0,8.7,2,43,12:06 AM,11:23 AM,07:22 AM,05:48 PM,-21,-5,-1,-5,22,1,22,0.0,1027,3,10,242,15,Shijiazhuang
2018-02-08,3,-6,0.0,8.7,2,36,01:05 AM,11:56 AM,07:21 AM,05:49 PM,-21,-4,-2,-4,12,41,22,0.0,1020,3,10,230,8,Shijiazhuang
2018-02-09,7,-4,0.0,3.9,1,28,02:03 AM,12:32 PM,07:20 AM,05:50 PM,-21,-3,1,-3,26,60,18,0.0,1022,7,10,287,17,Shijiazhuang
2018-02-10,2,-6,0.0,8.7,2,20,02:58 AM,01:11 PM,07:19 AM,05:52 PM,-26,-4,-2,-4,10,22,14,0.0,1031,2,10,255,7,Shijiazhuang
2018-02-11,1,-6,0.0,8.7,2,13,03:51 AM,01:54 PM,07:18 AM,05:53 PM,-26,-7,-2,-7,19,2,14,0.0,1029,1,10,306,14,Shijiazhuang
2018-02-12,4,-5,0.0,8.7,2,5,04:41 AM,02:41 PM,07:16 AM,05:54 PM,-22,-4,0,-4,20,0,17,0.0,1026,4,10,240,12,Shijiazhuang
2018-02-13,13,-1,0.0,8.7,2,0,05:28 AM,03:33 PM,07:15 AM,05:55 PM,-17,3,5,3,18,4,18,0.0,1014,13,10,275,10,Shijiazhuang
2018-02-14,7,0,0.0,8.7,2,0,06:10 AM,04:26 PM,07:14 AM,05:56 PM,-16,1,3,1,16,41,23,0.0,1021,7,10,128,10,Shijiazhuang
2018-02-15,7,-2,0.0,7.1,2,0,06:49 AM,05:23 PM,07:13 AM,05:57 PM,-16,1,3,1,9,13,23,0.0,1024,7,10,200,6,Shijiazhuang
2018-02-16,9,-1,0.0,8.7,2,2,07:25 AM,06:21 PM,07:12 AM,05:58 PM,-16,2,4,2,12,17,22,0.0,1022,9,10,162,8,Shijiazhuang
2018-02-17,4,-1,0.0,5.5,2,10,07:58 AM,07:21 PM,07:10 AM,05:59 PM,-12,1,2,1,8,54,34,0.0,1022,4,10,172,5,Shijiazhuang
2018-02-18,9,-2,0.0,8.5,2,17,08:30 AM,08:21 PM,07:09 AM,06:01 PM,-8,3,4,3,8,32,43,0.0,1023,9,10,86,5,Shijiazhuang
2018-02-19,9,1,0.0,10.9,2,25,09:01 AM,09:23 PM,07:08 AM,06:02 PM,-5,2,5,2,13,32,49,0.0,1024,9,10,93,9,Shijiazhuang
2018-02-20,6,-0,0.0,10.1,2,32,09:32 AM,10:25 PM,07:06 AM,06:03 PM,-9,1,3,1,12,43,44,0.0,1028,6,10,109,8,Shijiazhuang
2018-02-21,10,-0,0.0,11.0,2,40,10:05 AM,11:30 PM,07:05 AM,06:04 PM,-15,3,5,3,14,14,27,0.0,1025,10,10,244,9,Shijiazhuang
2018-02-22,12,1,0.0,11.0,3,47,10:40 AM,No moonset,07:04 AM,06:05 PM,-18,4,6,4,17,11,16,0.0,1018,12,10,246,11,Shijiazhuang
2018-02-23,13,1,0.0,10.1,2,55,11:20 AM,12:35 AM,07:02 AM,06:06 PM,-17,5,7,5,16,37,16,0.0,1018,13,10,90,10,Shijiazhuang
2018-02-24,5,-1,0.0,11.1,2,62,12:05 PM,01:41 AM,07:01 AM,06:07 PM,-15,-2,1,-2,15,16,30,0.0,1033,5,10,107,11,Shijiazhuang
2018-02-25,10,-3,0.0,11.1,2,70,12:58 PM,02:46 AM,07:00 AM,06:08 PM,-13,2,4,2,9,6,29,0.0,1024,10,10,202,6,Shijiazhuang
2018-02-26,14,1,0.0,11.5,3,77,01:57 PM,03:49 AM,06:58 AM,06:09 PM,-9,6,7,6,12,6,31,0.0,1017,14,10,53,7,Shijiazhuang
2018-02-27,6,2,0.0,7.2,1,85,03:03 PM,04:46 AM,06:57 AM,06:10 PM,-6,1,4,1,20,67,47,0.0,1021,6,10,51,15,Shijiazhuang
2018-02-28,10,0,0.0,11.6,2,93,04:12 PM,05:38 AM,06:55 AM,06:11 PM,-8,4,5,4,14,32,40,0.0,1012,10,10,158,9,Shijiazhuang
2018-03-01,8,1,0.0,10.1,2,96,05:23 PM,06:24 AM,06:54 AM,06:12 PM,-18,2,5,2,16,33,18,0.0,1020,8,10,136,11,Shijiazhuang
2018-03-02,15,0,0.0,11.6,3,100,06:33 PM,07:04 AM,06:52 AM,06:13 PM,-11,6,7,6,12,5,26,0.0,1008,15,10,219,8,Shijiazhuang
2018-03-03,16,5,0.0,11.6,3,89,07:41 PM,07:41 AM,06:51 AM,06:15 PM,1,9,10,9,13,28,54,0.0,1005,16,10,149,9,Shijiazhuang
2018-03-04,9,2,0.0,7.3,2,82,08:46 PM,08:14 AM,06:49 AM,06:16 PM,-3,4,6,4,18,67,51,0.0,1020,9,10,84,13,Shijiazhuang
2018-03-05,9,-1,0.0,11.6,2,74,09:50 PM,08:47 AM,06:48 AM,06:17 PM,-14,3,4,3,11,19,26,0.0,1029,9,10,169,8,Shijiazhuang
2018-03-06,7,0,0.0,7.3,2,67,10:52 PM,09:20 AM,06:46 AM,06:18 PM,-9,-0,3,-0,17,47,39,0.0,1032,7,10,81,13,Shijiazhuang
