date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,10,1,0.0,7.0,2,97,04:42 PM,06:50 AM,07:57 AM,05:04 PM,-1,4,5,4,12,22,67,0.0,1015,10,10,219,6,Sofia
2018-01-02,8,2,0.0,8.7,2,100,05:47 PM,07:56 AM,07:57 AM,05:05 PM,0,3,5,3,13,33,74,0.9,1008,8,9,236,8,Sofia
2018-01-03,3,-1,0.0,7.0,2,89,06:57 PM,08:54 AM,07:57 AM,05:06 PM,-2,-2,1,-2,13,41,79,0.0,1011,3,10,255,9,Sofia
2018-01-04,2,-1,1.3,5.3,1,81,08:10 PM,09:44 AM,07:57 AM,05:06 PM,-2,-2,1,-2,11,71,83,1.6,1009,2,8,278,8,Sofia
2018-01-05,6,-1,0.0,8.7,2,74,09:22 PM,10:25 AM,07:57 AM,05:07 PM,-3,1,3,1,11,25,65,0.0,1014,6,10,218,6,Sofia
2018-01-06,10,1,0.0,8.7,2,67,10:31 PM,11:01 AM,07:57 AM,05:08 PM,0,5,6,5,11,9,66,0.0,1019,10,10,195,6,Sofia
2018-01-07,11,2,0.0,8.7,3,59,11:38 PM,11:33 AM,07:57 AM,05:09 PM,2,6,7,6,11,7,72,0.0,1025,11,10,228,7,Sofia
2018-01-08,10,3,0.0,5.3,2,52,No moonrise,12:03 PM,07:57 AM,05:11 PM,-1,6,7,6,9,59,59,0.0,1030,10,10,206,5,Sofia
2018-01-09,8,3,0.0,8.7,2,45,12:41 AM,12:31 PM,07:57 AM,05:12 PM,-1,4,6,4,10,26,65,0.0,1032,8,10,125,7,Sofia
2018-01-10,5,1,0.0,7.0,2,38,01:43 AM,01:00 PM,07:56 AM,05:13 PM,1,2,4,2,10,52,81,0.0,1023,5,10,113,7,Sofia
2018-01-11,4,-0,0.0,5.3,1,30,02:43 AM,01:31 PM,07:56 AM,05:14 PM,0,2,2,2,5,58,87,0.0,1014,4,9,65,3,Sofia
2018-01-12,3,-0,0.4,5.3,1,23,03:42 AM,02:04 PM,07:56 AM,05:15 PM,-0,-0,2,-0,9,85,89,0.5,1020,3,6,56,7,Sofia
2018-01-13,0,-3,0.4,3.6,1,16,04:39 AM,02:40 PM,07:55 AM,05:16 PM,-3,-6,-1,-6,18,87,87,0.4,1026,0,9,75,13,Sofia
2018-01-14,-3,-5,1.2,3.6,1,9,05:34 AM,03:21 PM,07:55 AM,05:17 PM,-7,-8,-3,-8,14,76,78,1.4,1029,-3,8,93,11,Sofia
2018-01-15,-2,-5,4.8,3.6,1,1,06:26 AM,04:06 PM,07:55 AM,05:18 PM,-5,-5,-3,-5,8,86,87,5.6,1029,-2,6,107,6,Sofia
2018-01-16,4,-3,0.0,8.7,2,0,07:14 AM,04:56 PM,07:54 AM,05:20 PM,-1,-1,1,-1,12,50,89,0.0,1017,4,8,197,7,Sofia
2018-01-17,8,-1,1.3,7.0,2,0,07:57 AM,05:50 PM,07:54 AM,05:21 PM,1,0,3,0,20,49,84,2.4,1001,8,9,219,12,Sofia
2018-01-18,-1,-4,0.0,8.7,2,6,08:36 AM,06:46 PM,07:53 AM,05:22 PM,-6,-8,-2,-8,31,33,75,0.0,1009,-1,10,286,22,Sofia
2018-01-19,6,-2,0.0,8.7,2,13,09:12 AM,07:45 PM,07:52 AM,05:23 PM,-5,-1,2,-1,15,11,59,0.0,1013,6,10,228,9,Sofia
2018-01-20,4,-3,0.0,5.3,2,20,09:44 AM,08:45 PM,07:52 AM,05:25 PM,-1,-1,1,-1,9,60,83,3.2,1013,4,7,261,5,Sofia
2018-01-21,3,-3,0.0,3.7,1,28,10:13 AM,09:47 PM,07:51 AM,05:26 PM,-3,-2,1,-2,10,66,78,0.0,1009,3,9,137,7,Sofia
2018-01-22,-2,-6,0.4,3.7,1,35,10:42 AM,10:49 PM,07:50 AM,05:27 PM,-4,-7,-3,-7,15,89,92,0.4,1012,-2,5,318,11,Sofia
2018-01-23,-0,-7,0.0,8.7,2,42,11:11 AM,11:53 PM,07:50 AM,05:28 PM,-6,-5,-4,-5,6,41,87,0.0,1024,-0,6,185,4,Sofia
2018-01-24,-2,-8,0.0,8.7,2,49,11:41 AM,No moonset,07:49 AM,05:30 PM,-7,-7,-5,-7,7,29,86,0.0,1035,-2,7,56,5,Sofia
2018-01-25,1,-8,0.0,8.7,2,57,12:13 PM,12:59 AM,07:48 AM,05:31 PM,-6,-1,-0,-1,4,1,64,0.0,1032,1,10,186,3,Sofia
2018-01-26,4,-5,0.0,8.7,2,64,12:50 PM,02:07 AM,07:47 AM,05:32 PM,-4,1,1,1,6,4,66,0.0,1029,4,10,126,4,Sofia
2018-01-27,6,-3,0.0,8.7,2,71,01:33 PM,03:17 AM,07:46 AM,05:34 PM,-3,2,3,2,5,3,66,0.0,1032,6,10,176,3,Sofia
2018-01-28,5,-1,0.0,8.7,2,78,02:23 PM,04:26 AM,07:45 AM,05:35 PM,-2,2,3,2,9,26,72,0.0,1034,5,10,249,5,Sofia
2018-01-29,7,-0,0.0,8.7,2,86,03:23 PM,05:34 AM,07:45 AM,05:36 PM,-1,1,3,1,14,15,76,0.0,1030,7,10,250,8,Sofia
2018-01-30,9,1,0.0,8.7,2,93,04:29 PM,06:35 AM,07:44 AM,05:37 PM,1,3,5,3,17,4,77,0.0,1025,9,10,252,10,Sofia
2018-01-31,8,-0,0.0,7.0,2,97,05:42 PM,07:29 AM,07:43 AM,05:39 PM,-1,2,4,2,9,33,72,0.0,1024,8,10,217,5,Sofia
2018-02-01,8,0,0.0,8.7,2,88,06:55 PM,08:15 AM,07:42 AM,05:40 PM,0,4,5,4,11,8,70,0.0,1017,8,10,222,7,Sofia
2018-02-02,12,2,0.0,8.7,3,81,08:08 PM,08:55 AM,07:41 AM,05:41 PM,2,5,7,5,16,36,72,0.1,1014,12,10,196,9,Sofia
2018-02-03,13,4,0.0,8.7,3,73,09:18 PM,09:30 AM,07:39 AM,05:43 PM,4,7,9,7,28,34,74,0.9,1007,13,10,187,19,Sofia
2018-02-04,7,-0,0.0,8.7,2,66,10:25 PM,10:02 AM,07:38 AM,05:44 PM,2,3,5,3,10,59,82,2.6,1011,7,10,289,8,Sofia
2018-02-05,4,-1,0.0,8.7,2,58,11:30 PM,10:31 AM,07:37 AM,05:45 PM,-4,1,2,1,5,16,68,0.0,1023,4,10,210,4,Sofia
2018-02-06,6,-1,0.0,8.7,2,51,No moonrise,11:01 AM,07:36 AM,05:47 PM,-3,1,3,1,9,7,69,0.0,1022,6,10,156,6,Sofia
2018-02-07,7,-0,0.0,8.7,2,43,12:32 AM,11:32 AM,07:35 AM,05:48 PM,-1,1,3,1,13,11,76,0.0,1019,7,10,141,9,Sofia
2018-02-08,8,1,0.0,8.7,2,36,01:33 AM,12:04 PM,07:34 AM,05:49 PM,1,3,4,3,9,43,77,1.0,1013,8,9,236,6,Sofia
2018-02-09,6,0,0.0,8.7,2,28,02:31 AM,12:39 PM,07:32 AM,05:51 PM,-1,2,3,2,10,20,77,0.0,1015,6,10,269,7,Sofia
2018-02-10,3,0,0.1,3.8,1,20,03:27 AM,01:19 PM,07:31 AM,05:52 PM,-1,-1,2,-1,14,69,81,1.3,1012,3,9,86,10,Sofia
2018-02-11,0,-3,0.5,3.8,1,13,04:20 AM,02:02 PM,07:30 AM,05:53 PM,-2,-4,-1,-4,12,92,91,0.5,1008,0,9,73,9,Sofia
2018-02-12,3,-3,0.0,7.1,2,5,05:10 AM,02:50 PM,07:28 AM,05:54 PM,-3,-1,-0,-1,6,53,83,0.0,1013,3,10,245,4,Sofia
2018-02-13,3,-3,0.3,5.5,1,0,05:55 AM,03:43 PM,07:27 AM,05:56 PM,-2,-2,1,-2,11,54,81,2.1,1013,3,9,148,8,Sofia
2018-02-14,0,-5,0.0,5.5,1,0,06:35 AM,04:38 PM,07:26 AM,05:57 PM,-2,-4,-1,-4,13,69,91,0.0,1011,0,7,235,9,Sofia
2018-02-15,1,-6,0.0,7.1,2,0,07:12 AM,05:37 PM,07:24 AM,05:58 PM,-5,-4,-2,-4,8,36,85,0.0,1021,1,9,153,5,Sofia
2018-02-16,5,-3,0.0,10.8,2,2,07:46 AM,06:38 PM,07:23 AM,06:00 PM,-2,1,1,1,4,30,83,0.0,1026,5,9,79,3,Sofia
2018-02-17,8,-1,0.0,10.8,2,10,08:17 AM,07:40 PM,07:21 AM,06:01 PM,-1,3,3,3,7,15,74,0.0,1025,8,10,190,4,Sofia
2018-02-18,7,0,0.0,7.0,2,17,08:46 AM,08:42 PM,07:20 AM,06:02 PM,0,2,4,2,9,65,80,0.3,1020,7,9,137,6,Sofia
2018-02-19,2,-1,1.1,5.4,1,25,09:15 AM,09:46 PM,07:19 AM,06:03 PM,-1,-2,1,-2,12,98,89,1.5,1020,2,8,74,10,Sofia
2018-02-20,3,-2,0.0,7.0,2,32,09:45 AM,10:51 PM,07:17 AM,06:05 PM,-2,-3,0,-3,16,72,85,0.0,1016,3,10,111,12,Sofia
2018-02-21,3,-1,0.1,5.5,1,40,10:15 AM,11:58 PM,07:16 AM,06:06 PM,-1,-3,1,-3,15,79,87,0.1,1013,3,9,97,12,Sofia
2018-02-22,3,-0,0.0,7.0,1,47,10:50 AM,No moonset,07:14 AM,06:07 PM,-0,-1,1,-1,11,81,89,0.0,1014,3,7,83,9,Sofia
2018-02-23,4,-1,0.0,8.5,1,55,11:30 AM,01:05 AM,07:12 AM,06:08 PM,-0,-1,1,-1,12,70,88,0.0,1016,4,8,91,9,Sofia
2018-02-24,3,-1,0.1,5.5,1,62,12:15 PM,02:13 AM,07:11 AM,06:10 PM,-1,-1,1,-1,9,89,88,0.4,1013,3,9,98,7,Sofia
2018-02-25,-3,-7,2.6,5.5,1,70,01:09 PM,03:19 AM,07:09 AM,06:11 PM,-6,-8,-4,-8,12,93,87,3.0,1017,-3,6,117,9,Sofia
2018-02-26,-7,-11,1.8,5.5,1,77,02:10 PM,04:20 AM,07:08 AM,06:12 PM,-10,-15,-9,-15,18,100,92,2.1,1013,-7,6,65,14,Sofia
2018-02-27,-1,-12,3.7,5.5,1,85,03:18 PM,05:16 AM,07:06 AM,06:13 PM,-8,-10,-6,-10,12,87,90,4.3,1009,-1,7,78,9,Sofia
2018-02-28,-6,-16,0.1,7.1,1,93,04:29 PM,06:04 AM,07:05 AM,06:15 PM,-11,-15,-10,-15,12,65,90,0.1,1016,-6,8,236,8,Sofia
2018-03-01,-1,-16,0.8,10.1,2,96,05:42 PM,06:47 AM,07:03 AM,06:16 PM,-10,-9,-6,-9,8,41,76,1.0,1022,-1,9,192,5,Sofia
2018-03-02,3,-3,0.0,5.6,1,100,06:54 PM,07:24 AM,07:01 AM,06:17 PM,0,-1,1,-1,13,83,93,7.2,1008,3,7,169,7,Sofia
2018-03-03,8,2,0.0,11.2,2,89,08:03 PM,07:57 AM,07:00 AM,06:18 PM,2,2,4,2,18,35,87,1.6,1001,8,9,228,11,Sofia
2018-03-04,5,1,0.0,7.3,1,82,09:11 PM,08:28 AM,06:58 AM,06:19 PM,2,2,3,2,8,85,92,4.0,1005,5,8,192,5,Sofia
2018-03-05,5,0,0.0,11.6,2,74,10:16 PM,08:59 AM,06:56 AM,06:21 PM,1,-0,3,-0,15,50,89,0.1,1009,5,10,112,11,Sofia
2018-03-06,11,2,0.0,11.6,3,67,11:19 PM,09:30 AM,06:55 AM,06:22 PM,4,5,6,5,13,46,84,0.2,1003,11,8,157,9,Sofia
2018-03-07,12,5,0.0,11.6,3,60,No moonrise,10:02 AM,06:53 AM,06:23 PM,3,6,8,6,17,11,71,0.1,1003,12,10,226,11,Sofia
2018-03-08,8,2,0.0,7.3,2,53,12:20 AM,10:36 AM,06:51 AM,06:24 PM,2,4,6,4,11,54,78,0.7,1007,8,9,220,8,Sofia
2018-03-09,10,0,0.0,11.6,2,45,01:18 AM,11:15 AM,06:49 AM,06:26 PM,-1,5,6,5,10,9,62,0.0,1017,10,10,251,7,Sofia
2018-03-10,13,2,0.0,10.2,3,38,02:13 AM,11:57 AM,06:48 AM,06:27 PM,-1,8,9,8,11,22,52,0.0,1016,13,10,218,7,Sofia
2018-03-11,16,4,0.0,11.6,3,31,03:04 AM,12:43 PM,06:46 AM,06:28 PM,2,11,11,11,10,7,54,0.0,1014,16,10,209,6,Sofia
2018-03-12,18,7,0.0,11.6,4,24,03:51 AM,01:34 PM,06:44 AM,06:29 PM,5,11,12,11,12,20,65,1.1,1009,18,10,193,8,Sofia
2018-03-13,10,5,0.0,11.6,3,16,04:33 AM,02:28 PM,06:43 AM,06:30 PM,4,5,8,5,16,57,78,3.6,1005,10,10,271,12,Sofia
2018-03-14,10,3,0.0,11.6,3,9,05:11 AM,03:26 PM,06:41 AM,06:31 PM,2,5,7,5,12,49,74,0.3,1008,10,10,266,8,Sofia
2018-03-15,10,3,0.0,11.6,3,2,05:46 AM,04:26 PM,06:39 AM,06:33 PM,1,6,7,6,9,29,69,0.0,1011,10,10,239,7,Sofia
2018-03-16,11,4,0.0,11.6,3,0,06:17 AM,05:29 PM,06:37 AM,06:34 PM,2,7,8,7,13,50,69,0.5,1009,11,9,196,9,Sofia
2018-03-17,20,7,0.0,11.6,4,0,06:47 AM,06:32 PM,06:36 AM,06:35 PM,5,12,13,12,22,25,60,0.0,1003,20,10,189,14,Sofia
2018-03-18,14,4,0.0,7.4,3,5,07:17 AM,07:37 PM,06:34 AM,06:36 PM,4,8,10,8,20,44,72,0.4,1000,14,9,190,12,Sofia
2018-03-19,8,1,0.0,7.4,2,13,07:47 AM,08:43 PM,06:32 AM,06:37 PM,2,2,4,2,12,81,87,4.4,1005,8,9,89,9,Sofia
2018-03-20,7,-2,0.0,10.2,2,20,08:17 AM,09:50 PM,06:30 AM,06:39 PM,0,1,2,1,7,56,85,0.4,1008,7,8,245,6,Sofia
2018-03-21,7,-1,0.0,8.8,2,27,08:51 AM,10:58 PM,06:28 AM,06:40 PM,1,2,3,2,9,71,84,1.7,1015,7,9,213,7,Sofia
2018-03-22,-2,-5,2.7,6.1,1,34,09:29 AM,No moonset,06:27 AM,06:41 PM,-4,-7,-3,-7,15,99,90,3.2,1017,-2,6,103,12,Sofia
2018-03-23,-0,-4,5.5,6.1,1,42,10:12 AM,12:06 AM,06:25 AM,06:42 PM,-3,-5,-2,-5,11,93,96,6.5,1003,-0,5,44,8,Sofia
2018-03-24,0,-5,0.1,6.1,1,49,11:03 AM,01:12 AM,06:23 AM,06:43 PM,-3,-5,-2,-5,8,90,94,0.2,1007,0,5,61,6,Sofia
2018-03-25,3,-4,0.4,7.5,2,56,12:00 PM,02:14 AM,06:21 AM,06:44 PM,-1,-3,0,-3,11,67,91,0.5,1015,3,7,99,8,Sofia
2018-03-26,6,-0,0.3,6.1,1,63,01:04 PM,03:10 AM,06:20 AM,06:46 PM,2,2,3,2,7,80,93,0.4,1011,6,5,144,5,Sofia
2018-03-27,5,-1,0.0,7.5,1,71,02:12 PM,03:59 AM,06:18 AM,06:47 PM,1,1,2,1,8,67,92,1.4,1013,5,7,309,6,Sofia
2018-03-28,7,-2,0.0,11.6,2,78,03:23 PM,04:42 AM,06:16 AM,06:48 PM,-2,1,3,1,8,21,72,0.0,1013,7,10,299,6,Sofia
2018-03-29,11,-1,0.0,11.6,3,85,04:33 PM,05:20 AM,06:15 AM,06:49 PM,0,6,7,6,7,7,63,0.0,1013,11,10,239,5,Sofia
2018-03-30,17,3,0.0,11.6,3,93,05:43 PM,05:54 AM,06:13 AM,06:50 PM,3,10,11,10,13,10,59,0.0,1016,17,10,202,8,Sofia
2018-03-31,19,7,0.0,11.6,4,96,06:51 PM,06:25 AM,06:11 AM,06:51 PM,4,11,12,11,20,29,59,0.0,1011,19,10,180,13,Sofia
2018-04-01,11,3,0.0,10.3,3,89,07:58 PM,06:56 AM,06:09 AM,06:53 PM,3,6,8,6,23,34,71,3.7,1003,11,9,247,16,Sofia
2018-04-02,10,2,0.0,11.6,3,81,09:02 PM,07:27 AM,06:08 AM,06:54 PM,0,4,6,4,14,21,68,0.3,1015,10,10,266,10,Sofia
2018-04-03,17,2,0.0,11.6,3,74,10:05 PM,07:58 AM,06:06 AM,06:55 PM,2,10,11,10,11,9,56,0.0,1021,17,10,193,7,Sofia
2018-04-04,20,6,0.0,11.6,4,66,11:06 PM,08:32 AM,06:04 AM,06:56 PM,4,13,14,13,11,20,53,0.0,1018,20,10,202,7,Sofia
2018-04-05,20,10,0.0,11.6,4,59,No moonrise,09:09 AM,06:03 AM,06:57 PM,6,14,15,14,8,43,59,1.0,1013,20,10,225,5,Sofia
2018-04-06,11,7,0.0,6.3,2,51,12:03 AM,09:50 AM,06:01 AM,06:58 PM,8,9,10,9,10,84,91,5.4,1014,11,10,258,7,Sofia
2018-04-07,15,7,0.0,13.0,3,44,12:56 AM,10:34 AM,05:59 AM,06:59 PM,6,10,10,10,11,41,78,0.1,1020,15,8,43,8,Sofia
2018-04-08,17,5,0.0,13.4,4,36,01:45 AM,11:24 AM,05:58 AM,07:01 PM,5,12,12,12,12,9,66,0.0,1021,17,10,78,8,Sofia
2018-04-09,20,7,0.0,13.5,4,28,02:29 AM,12:17 PM,05:56 AM,07:02 PM,6,14,15,14,12,5,57,0.0,1016,20,10,122,8,Sofia
2018-04-10,22,8,0.0,13.5,4,21,03:09 AM,01:14 PM,05:54 AM,07:03 PM,7,16,17,16,7,10,59,0.2,1012,22,10,166,5,Sofia
2018-04-11,21,10,0.0,13.5,5,13,03:45 AM,02:12 PM,05:53 AM,07:04 PM,8,16,17,16,6,13,59,0.2,1010,21,10,211,4,Sofia
