date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,31,26,0.0,11.6,7,97,05:01 PM,04:06 AM,05:16 AM,05:49 PM,22,33,33,29,4,25,66,0.3,1007,31,10,97,3,Surabaya
2018-01-02,31,26,0.0,11.6,7,100,06:05 PM,05:10 AM,05:17 AM,05:49 PM,22,32,32,29,8,22,68,0.0,1007,31,10,129,7,Surabaya
2018-01-03,31,26,0.0,11.6,7,89,07:07 PM,06:13 AM,05:17 AM,05:50 PM,23,33,33,29,8,16,71,1.9,1007,31,10,102,6,Surabaya
2018-01-04,31,26,0.0,11.6,7,81,08:05 PM,07:17 AM,05:18 AM,05:50 PM,23,33,33,29,6,27,70,0.0,1008,31,10,139,5,Surabaya
2018-01-05,33,26,0.0,11.6,7,74,08:59 PM,08:16 AM,05:19 AM,05:50 PM,23,33,33,29,10,20,67,2.8,1008,33,10,190,7,Surabaya
2018-01-06,32,26,0.0,11.6,7,67,09:49 PM,09:13 AM,05:19 AM,05:51 PM,23,33,33,29,8,34,69,6.0,1008,32,10,139,5,Surabaya
2018-01-07,30,26,0.0,11.6,7,59,10:35 PM,10:06 AM,05:20 AM,05:51 PM,22,31,31,28,9,46,72,5.0,1009,30,10,224,6,Surabaya
2018-01-08,29,25,0.0,11.6,7,52,11:20 PM,10:56 AM,05:20 AM,05:51 PM,22,31,31,28,5,39,72,1.3,1010,29,10,151,4,Surabaya
2018-01-09,32,26,0.0,11.6,7,45,No moonrise,11:44 AM,05:21 AM,05:52 PM,23,33,33,29,10,27,70,1.1,1010,32,10,245,7,Surabaya
2018-01-10,30,26,0.0,10.2,7,38,12:02 AM,12:31 PM,05:21 AM,05:52 PM,22,31,31,28,16,55,71,0.0,1009,30,10,263,11,Surabaya
2018-01-11,30,26,0.0,8.9,7,30,12:45 AM,01:18 PM,05:22 AM,05:52 PM,22,31,31,28,20,61,72,4.1,1009,30,9,259,13,Surabaya
2018-01-12,31,25,0.0,7.5,7,23,01:28 AM,02:05 PM,05:22 AM,05:53 PM,22,30,30,27,18,63,72,0.6,1009,31,10,276,12,Surabaya
2018-01-13,31,25,0.0,10.2,7,16,02:12 AM,02:53 PM,05:23 AM,05:53 PM,23,31,31,27,22,66,76,2.6,1008,31,10,275,15,Surabaya
