date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,29,19,0.0,10.9,6,97,05:33 PM,06:06 AM,07:16 AM,06:08 PM,11,26,26,26,11,0,41,0.0,1011,29,10,176,9,Surat
2018-01-02,30,18,0.0,10.9,6,100,06:37 PM,07:11 AM,07:16 AM,06:09 PM,11,27,27,27,10,0,39,0.0,1011,30,10,149,7,Surat
2018-01-03,30,20,0.0,10.9,6,89,07:43 PM,08:12 AM,07:16 AM,06:10 PM,12,27,27,27,10,0,40,0.0,1012,30,10,160,8,Surat
2018-01-04,29,20,0.0,10.9,6,81,08:47 PM,09:10 AM,07:16 AM,06:10 PM,14,28,28,27,7,0,43,0.0,1013,29,10,224,6,Surat
2018-01-05,29,19,0.0,10.9,6,74,09:50 PM,10:01 AM,07:17 AM,06:11 PM,10,26,26,26,10,0,38,0.0,1012,29,10,142,8,Surat
2018-01-06,28,18,0.0,11.0,6,67,10:49 PM,10:48 AM,07:17 AM,06:12 PM,8,25,25,25,10,0,34,0.0,1012,28,10,141,8,Surat
2018-01-07,27,17,0.0,11.0,6,59,11:45 PM,11:31 AM,07:17 AM,06:12 PM,7,24,24,24,11,0,34,0.0,1013,27,10,182,9,Surat
2018-01-08,29,17,0.0,11.0,6,52,No moonrise,12:11 PM,07:17 AM,06:13 PM,8,25,25,24,12,3,35,0.0,1013,29,10,140,9,Surat
2018-01-09,31,19,0.0,11.0,6,45,12:38 AM,12:49 PM,07:18 AM,06:13 PM,10,26,26,26,13,5,37,0.0,1015,31,10,167,8,Surat
2018-01-10,32,21,0.0,11.0,7,38,01:31 AM,01:28 PM,07:18 AM,06:14 PM,10,27,27,26,17,6,36,0.0,1016,32,10,104,10,Surat
2018-01-11,32,22,0.0,11.0,7,30,02:22 AM,02:06 PM,07:18 AM,06:15 PM,11,27,27,27,17,10,36,0.0,1015,32,10,123,10,Surat
2018-01-12,34,23,0.0,11.0,7,23,03:13 AM,02:46 PM,07:18 AM,06:15 PM,12,28,28,28,14,18,36,0.0,1014,34,10,142,9,Surat
2018-01-13,33,25,0.0,11.0,7,16,04:03 AM,03:29 PM,07:18 AM,06:16 PM,13,29,29,29,15,29,38,0.0,1013,33,10,163,10,Surat
2018-01-14,31,26,0.0,11.0,7,9,04:53 AM,04:13 PM,07:18 AM,06:17 PM,13,28,28,29,7,40,37,0.0,1014,31,10,133,4,Surat
2018-01-15,34,24,0.0,11.0,7,1,05:43 AM,04:59 PM,07:18 AM,06:18 PM,14,29,29,29,15,11,40,0.0,1014,34,10,143,9,Surat
2018-01-16,33,24,0.0,11.0,7,0,06:31 AM,05:48 PM,07:18 AM,06:18 PM,13,29,29,29,12,6,37,0.0,1012,33,10,156,8,Surat
2018-01-17,32,24,0.0,11.0,7,0,07:18 AM,06:38 PM,07:18 AM,06:19 PM,12,28,28,29,12,8,37,0.0,1012,32,10,213,8,Surat
2018-01-18,31,23,0.0,11.0,7,6,08:02 AM,07:29 PM,07:18 AM,06:20 PM,13,28,28,28,12,3,40,0.0,1014,31,10,145,9,Surat
2018-01-19,31,22,0.0,11.0,7,13,08:44 AM,08:20 PM,07:18 AM,06:20 PM,11,27,27,27,16,3,35,0.0,1014,31,10,144,11,Surat
2018-01-20,31,21,0.0,11.0,7,20,09:25 AM,09:11 PM,07:18 AM,06:21 PM,10,28,28,28,13,3,34,0.0,1013,31,10,132,9,Surat
2018-01-21,31,22,0.0,11.0,7,28,10:03 AM,10:03 PM,07:18 AM,06:22 PM,13,28,28,28,8,2,39,0.0,1012,31,10,161,6,Surat
2018-01-22,30,21,0.0,11.0,7,35,10:42 AM,10:55 PM,07:18 AM,06:22 PM,13,27,27,27,9,3,42,0.0,1010,30,10,220,7,Surat
2018-01-23,27,21,0.0,11.1,6,42,11:21 AM,11:49 PM,07:18 AM,06:23 PM,13,26,26,25,10,2,48,0.0,1012,27,10,263,8,Surat
2018-01-24,29,18,0.0,11.1,6,49,12:00 PM,No moonset,07:18 AM,06:23 PM,10,26,26,25,13,0,42,0.0,1013,29,10,158,10,Surat
2018-01-25,29,18,0.0,11.1,6,57,12:42 PM,12:44 AM,07:17 AM,06:24 PM,4,25,25,25,14,0,26,0.0,1012,29,10,149,10,Surat
2018-01-26,30,18,0.0,11.1,6,64,01:28 PM,01:42 AM,07:17 AM,06:25 PM,5,26,26,26,11,0,26,0.0,1012,30,10,140,9,Surat
