date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,12,3,0.0,8.7,3,97,04:34 PM,05:55 AM,07:17 AM,05:15 PM,-5,6,8,6,17,11,41,0.0,1025,12,10,132,11,Suzhou
2018-01-02,10,3,0.0,7.0,3,100,05:38 PM,07:02 AM,07:17 AM,05:15 PM,-2,5,7,5,22,39,53,0.1,1027,10,10,59,15,Suzhou
2018-01-03,6,-1,1.3,3.7,1,89,06:45 PM,08:03 AM,07:17 AM,05:16 PM,-6,-2,3,-2,29,93,56,1.5,1034,6,8,49,21,Suzhou
2018-01-04,-2,-4,5.8,3.8,1,81,07:54 PM,08:57 AM,07:17 AM,05:17 PM,-3,-8,-2,-8,26,98,94,6.8,1031,-2,5,35,18,Suzhou
2018-01-05,-1,-6,0.0,8.7,2,74,09:02 PM,09:45 AM,07:17 AM,05:18 PM,-4,-6,-3,-6,9,47,92,0.0,1029,-1,7,316,6,Suzhou
2018-01-06,-0,-6,1.2,5.4,2,67,10:07 PM,10:27 AM,07:17 AM,05:19 PM,-4,-5,-2,-5,15,60,84,1.4,1026,-0,8,44,10,Suzhou
2018-01-07,1,-3,1.2,3.8,1,59,11:09 PM,11:05 AM,07:18 AM,05:20 PM,-1,-5,-1,-5,19,94,95,1.4,1022,1,6,209,13,Suzhou
2018-01-08,0,-5,0.0,8.7,2,52,No moonrise,11:40 AM,07:18 AM,05:20 PM,-5,-8,-3,-8,28,33,83,0.0,1025,0,9,278,16,Suzhou
2018-01-09,2,-7,0.0,8.7,2,45,12:08 AM,12:13 PM,07:18 AM,05:21 PM,-5,-6,-2,-6,25,1,77,0.0,1026,2,10,270,15,Suzhou
2018-01-10,1,-6,0.0,8.7,2,38,01:06 AM,12:47 PM,07:18 AM,05:22 PM,-5,-3,-0,-3,11,1,74,0.0,1030,1,10,270,8,Suzhou
2018-01-11,-0,-7,0.0,8.7,2,30,02:02 AM,01:21 PM,07:17 AM,05:23 PM,-7,-5,-2,-5,13,2,70,0.0,1035,-0,10,156,9,Suzhou
2018-01-12,-2,-9,0.0,8.7,2,23,02:57 AM,01:57 PM,07:17 AM,05:24 PM,-9,-5,-3,-5,8,0,63,0.0,1036,-2,10,146,6,Suzhou
2018-01-13,2,-7,0.0,7.1,2,16,03:51 AM,02:35 PM,07:17 AM,05:25 PM,-5,-4,-1,-4,15,21,76,0.0,1031,2,10,150,9,Suzhou
2018-01-14,5,-2,0.0,8.7,2,9,04:44 AM,03:17 PM,07:17 AM,05:26 PM,-1,-1,2,-1,15,21,79,0.0,1025,5,10,183,9,Suzhou
2018-01-15,7,0,0.0,8.7,2,1,05:35 AM,04:02 PM,07:17 AM,05:27 PM,1,2,4,2,12,25,79,0.0,1023,7,10,90,8,Suzhou
2018-01-16,4,1,0.0,5.4,1,0,06:23 AM,04:51 PM,07:17 AM,05:28 PM,2,3,4,3,7,70,85,0.5,1019,4,9,277,4,Suzhou
2018-01-17,8,1,0.0,8.7,2,0,07:09 AM,05:42 PM,07:16 AM,05:29 PM,3,5,6,5,8,3,80,0.0,1020,8,10,167,7,Suzhou
2018-01-18,8,1,0.0,8.7,2,6,07:52 AM,06:35 PM,07:16 AM,05:29 PM,2,6,7,6,8,3,75,0.0,1026,8,10,80,6,Suzhou
2018-01-19,9,1,0.0,8.7,2,13,08:31 AM,07:31 PM,07:16 AM,05:30 PM,2,6,7,6,6,9,72,0.0,1025,9,10,180,4,Suzhou
2018-01-20,10,2,0.0,8.7,3,20,09:08 AM,08:26 PM,07:15 AM,05:31 PM,1,6,7,6,9,13,71,0.0,1023,10,10,140,6,Suzhou
2018-01-21,8,3,0.0,3.8,2,28,09:43 AM,09:23 PM,07:15 AM,05:32 PM,1,5,6,5,8,51,74,0.0,1021,8,10,105,5,Suzhou
