date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,26,21,0.0,14.5,6,97,07:08 PM,04:41 AM,05:48 AM,08:09 PM,19,24,24,23,17,28,77,0.2,1006,26,10,187,14,Sydney
2018-01-02,26,20,0.0,14.5,6,100,08:12 PM,05:41 AM,05:48 AM,08:09 PM,19,24,24,23,15,30,77,0.0,1006,26,10,152,12,Sydney
2018-01-03,22,20,0.0,12.4,5,89,09:11 PM,06:46 AM,05:49 AM,08:10 PM,16,21,22,21,27,50,74,0.4,1011,22,10,175,21,Sydney
2018-01-04,22,19,0.0,12.4,6,81,10:02 PM,07:54 AM,05:50 AM,08:10 PM,15,21,22,21,13,56,68,0.2,1016,22,10,148,10,Sydney
2018-01-05,27,18,0.0,14.5,6,74,10:47 PM,09:03 AM,05:51 AM,08:10 PM,16,24,24,23,15,14,68,0.0,1016,27,10,133,12,Sydney
2018-01-06,30,20,0.0,14.5,6,67,11:28 PM,10:10 AM,05:52 AM,08:10 PM,19,27,27,25,24,5,68,0.0,1015,30,10,36,17,Sydney
2018-01-07,40,23,0.0,14.5,7,59,No moonrise,11:14 AM,05:52 AM,08:10 PM,18,31,31,29,23,3,57,0.0,1012,40,10,189,14,Sydney
2018-01-08,33,22,0.0,14.5,7,52,12:04 AM,12:14 PM,05:53 AM,08:10 PM,19,28,28,26,23,28,67,0.5,1013,33,10,136,15,Sydney
2018-01-09,28,22,0.0,14.5,5,45,12:38 AM,01:14 PM,05:54 AM,08:10 PM,21,27,27,24,27,53,81,13.3,1013,28,9,169,18,Sydney
2018-01-10,23,20,0.0,13.4,6,38,01:11 AM,02:10 PM,05:55 AM,08:10 PM,16,21,22,21,22,49,71,0.1,1018,23,10,162,17,Sydney
2018-01-11,24,19,0.0,10.2,5,30,01:45 AM,03:06 PM,05:56 AM,08:10 PM,17,22,24,22,11,58,74,0.6,1017,24,9,107,9,Sydney
2018-01-12,29,21,0.0,12.3,6,23,02:19 AM,04:01 PM,05:57 AM,08:10 PM,21,27,27,25,23,47,80,0.2,1010,29,10,26,17,Sydney
2018-01-13,30,20,0.0,14.5,7,16,02:56 AM,04:55 PM,05:58 AM,08:09 PM,19,27,27,26,24,24,66,0.0,1002,30,10,211,16,Sydney
2018-01-14,22,16,0.0,14.5,4,9,03:36 AM,05:47 PM,05:59 AM,08:09 PM,12,19,20,19,43,20,63,2.2,1008,22,10,213,33,Sydney
2018-01-15,23,16,0.0,14.5,6,1,04:19 AM,06:37 PM,05:59 AM,08:09 PM,12,20,21,20,40,24,59,0.7,1014,23,10,195,31,Sydney
2018-01-16,22,19,0.0,12.2,4,0,05:06 AM,07:25 PM,06:00 AM,08:09 PM,12,20,20,20,42,50,63,0.0,1018,22,10,190,32,Sydney
2018-01-17,23,17,0.0,11.6,6,0,05:55 AM,08:09 PM,06:01 AM,08:08 PM,13,20,21,20,27,15,62,0.1,1019,23,10,190,21,Sydney
2018-01-18,27,17,0.0,11.6,6,6,06:47 AM,08:50 PM,06:02 AM,08:08 PM,14,23,24,23,12,1,58,0.0,1018,27,10,124,10,Sydney
2018-01-19,30,18,0.0,11.6,6,13,07:42 AM,09:29 PM,06:03 AM,08:08 PM,16,27,27,25,12,0,56,0.0,1015,30,10,189,10,Sydney
2018-01-20,31,19,0.0,11.6,6,20,08:37 AM,10:04 PM,06:04 AM,08:07 PM,16,27,27,25,14,10,56,0.0,1014,31,10,153,11,Sydney
2018-01-21,29,20,0.0,11.6,6,28,09:33 AM,10:38 PM,06:05 AM,08:07 PM,18,26,26,24,23,9,71,0.0,1012,29,10,153,17,Sydney
2018-01-22,33,21,0.0,11.6,7,35,10:30 AM,11:11 PM,06:06 AM,08:06 PM,18,28,28,26,27,20,64,0.0,1009,33,10,27,18,Sydney
2018-01-23,31,23,0.0,11.6,7,42,11:28 AM,11:45 PM,06:07 AM,08:06 PM,19,28,28,26,21,47,67,0.0,1011,31,10,47,14,Sydney
2018-01-24,31,22,0.0,11.6,7,49,12:27 PM,No moonset,06:08 AM,08:06 PM,20,28,28,26,18,17,72,0.2,1011,31,10,49,14,Sydney
