date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,21,15,0.0,8.7,5,97,04:38 PM,05:22 AM,06:40 AM,05:21 PM,10,18,18,18,28,12,59,0.0,1022,21,10,17,19,Taichung
2018-01-02,22,16,0.0,8.7,5,100,05:42 PM,06:27 AM,06:41 AM,05:22 PM,13,21,21,21,12,3,64,0.0,1020,22,10,139,10,Taichung
2018-01-03,22,17,0.0,8.7,5,89,06:47 PM,07:29 AM,06:41 AM,05:23 PM,15,22,23,22,8,1,66,0.0,1020,22,10,160,7,Taichung
2018-01-04,20,17,0.0,7.2,5,81,07:54 PM,08:26 AM,06:41 AM,05:23 PM,15,19,19,19,12,48,78,2.6,1018,20,10,95,9,Taichung
2018-01-05,20,17,0.0,7.2,5,74,08:57 PM,09:17 AM,06:41 AM,05:24 PM,14,18,18,18,27,52,77,3.4,1017,20,10,15,19,Taichung
2018-01-06,19,17,0.0,7.2,5,67,09:58 PM,10:03 AM,06:42 AM,05:25 PM,15,18,18,18,24,69,81,14.4,1018,19,9,60,17,Taichung
2018-01-07,21,18,0.0,7.2,5,59,10:56 PM,10:45 AM,06:42 AM,05:25 PM,15,19,19,19,19,64,80,5.3,1016,21,9,48,14,Taichung
2018-01-08,20,17,0.0,4.1,5,52,11:51 PM,11:25 AM,06:42 AM,05:26 PM,17,19,19,19,14,75,85,16.2,1015,20,8,207,9,Taichung
2018-01-09,14,12,0.0,8.7,3,45,No moonrise,12:02 PM,06:42 AM,05:27 PM,9,11,13,11,30,63,79,10.4,1022,14,8,17,23,Taichung
2018-01-10,16,12,0.0,8.7,4,38,12:44 AM,12:39 PM,06:42 AM,05:27 PM,4,11,13,11,33,6,54,0.0,1025,16,10,16,24,Taichung
2018-01-11,15,10,0.0,8.7,4,30,01:37 AM,01:17 PM,06:42 AM,05:28 PM,2,11,13,11,37,2,49,0.0,1026,15,10,18,27,Taichung
2018-01-12,15,9,0.0,8.7,4,23,02:28 AM,01:56 PM,06:42 AM,05:29 PM,-1,9,11,9,39,0,43,0.0,1028,15,10,20,27,Taichung
2018-01-13,17,9,0.0,8.7,4,16,03:20 AM,02:36 PM,06:42 AM,05:30 PM,2,11,13,11,30,0,49,0.0,1027,17,10,22,21,Taichung
2018-01-14,19,12,0.0,8.7,5,9,04:11 AM,03:20 PM,06:42 AM,05:30 PM,7,16,16,16,19,6,57,0.0,1023,19,10,64,14,Taichung
2018-01-15,21,14,0.0,8.7,5,1,05:01 AM,04:06 PM,06:42 AM,05:31 PM,10,17,17,17,18,9,64,0.0,1019,21,10,57,13,Taichung
2018-01-16,20,15,0.0,8.7,5,0,05:49 AM,04:54 PM,06:42 AM,05:32 PM,12,19,19,19,10,13,65,0.0,1015,20,10,150,8,Taichung
2018-01-17,23,17,0.0,8.7,5,0,06:35 AM,05:45 PM,06:42 AM,05:33 PM,11,20,20,20,17,16,57,0.1,1016,23,10,61,11,Taichung
2018-01-18,21,18,0.0,8.7,5,6,07:20 AM,06:36 PM,06:42 AM,05:33 PM,13,20,20,20,22,26,67,0.2,1018,21,10,60,15,Taichung
2018-01-19,21,18,0.0,8.7,5,13,08:02 AM,07:28 PM,06:42 AM,05:34 PM,15,19,19,19,27,44,75,0.5,1019,21,9,16,18,Taichung
2018-01-20,22,18,0.0,8.7,5,20,08:41 AM,08:20 PM,06:42 AM,05:35 PM,14,19,20,19,25,27,71,0.0,1018,22,10,102,17,Taichung
2018-01-21,24,17,0.0,8.7,5,28,09:20 AM,09:13 PM,06:42 AM,05:35 PM,13,20,21,20,18,17,63,0.0,1016,24,10,140,13,Taichung
2018-01-22,22,17,0.0,8.7,5,35,09:57 AM,10:06 PM,06:42 AM,05:36 PM,13,19,20,19,24,26,67,0.0,1015,22,10,13,18,Taichung
2018-01-23,21,16,0.0,8.7,5,42,10:34 AM,11:01 PM,06:41 AM,05:37 PM,11,18,19,18,28,8,62,0.0,1017,21,10,61,20,Taichung
2018-01-24,21,15,0.0,8.7,5,49,11:13 AM,11:57 PM,06:41 AM,05:38 PM,9,18,18,18,30,3,56,0.0,1017,21,10,22,20,Taichung
2018-01-25,21,16,0.0,8.7,5,57,11:53 AM,No moonset,06:41 AM,05:38 PM,10,18,19,18,27,19,59,0.0,1018,21,10,62,19,Taichung
2018-01-26,20,15,0.0,8.7,5,64,12:37 PM,12:56 AM,06:41 AM,05:39 PM,10,17,17,17,40,11,63,0.0,1019,20,10,19,29,Taichung
2018-01-27,18,15,0.0,8.7,5,71,01:26 PM,01:57 AM,06:40 AM,05:40 PM,11,17,17,17,26,41,71,1.3,1019,18,9,142,18,Taichung
2018-01-28,18,15,0.0,8.7,5,78,02:19 PM,03:00 AM,06:40 AM,05:41 PM,13,16,16,16,30,41,78,3.4,1016,18,10,55,21,Taichung
2018-01-29,16,13,0.0,5.7,3,86,03:19 PM,04:04 AM,06:40 AM,05:41 PM,10,12,14,12,40,62,77,3.5,1019,16,10,16,30,Taichung
2018-01-30,15,13,0.0,5.7,4,93,04:23 PM,05:07 AM,06:39 AM,05:42 PM,11,13,14,13,25,74,79,4.3,1021,15,9,18,19,Taichung
2018-01-31,19,13,0.0,7.2,5,97,05:29 PM,06:07 AM,06:39 AM,05:43 PM,11,15,16,15,31,56,73,6.0,1019,19,8,62,23,Taichung
2018-02-01,16,12,0.0,8.7,4,88,06:35 PM,07:02 AM,06:39 AM,05:43 PM,9,11,14,11,38,35,74,4.5,1021,16,10,16,29,Taichung
2018-02-02,16,12,0.0,8.7,4,81,07:39 PM,07:52 AM,06:38 AM,05:44 PM,8,13,14,13,33,38,69,1.5,1023,16,10,18,25,Taichung
2018-02-03,12,10,0.0,4.2,3,73,08:40 PM,08:37 AM,06:38 AM,05:45 PM,7,8,11,8,40,87,75,6.3,1025,12,7,20,31,Taichung
2018-02-04,12,10,0.0,5.7,3,66,09:39 PM,09:19 AM,06:37 AM,05:45 PM,6,7,11,7,37,69,76,2.3,1025,12,8,20,28,Taichung
2018-02-05,10,9,0.0,7.2,3,58,10:34 PM,09:58 AM,06:37 AM,05:46 PM,5,6,9,6,38,59,75,1.6,1025,10,9,17,29,Taichung
2018-02-06,15,9,0.0,8.7,4,51,11:29 PM,10:36 AM,06:36 AM,05:47 PM,2,10,12,10,37,8,53,0.0,1024,15,10,22,26,Taichung
2018-02-07,13,11,0.0,7.2,3,43,No moonrise,11:15 AM,06:36 AM,05:47 PM,5,11,13,11,21,59,62,3.4,1021,13,8,26,15,Taichung
2018-02-08,15,12,0.0,8.7,4,36,12:22 AM,11:54 AM,06:35 AM,05:48 PM,9,12,14,12,26,58,75,2.2,1019,15,9,21,18,Taichung
2018-02-09,17,15,0.0,7.2,4,28,01:14 AM,12:34 PM,06:35 AM,05:49 PM,12,16,16,16,18,51,78,1.5,1017,17,9,57,12,Taichung
2018-02-10,20,15,0.0,8.7,5,20,02:05 AM,01:17 PM,06:34 AM,05:49 PM,12,17,17,17,28,26,72,2.1,1018,20,10,14,20,Taichung
2018-02-11,18,13,0.0,8.7,4,13,02:56 AM,02:02 PM,06:33 AM,05:50 PM,9,13,14,13,37,33,71,1.2,1024,18,10,15,28,Taichung
2018-02-12,17,13,0.0,8.7,4,5,03:45 AM,02:50 PM,06:33 AM,05:50 PM,6,13,15,13,34,15,55,0.0,1026,17,10,18,25,Taichung
2018-02-13,19,12,0.0,8.7,5,0,04:32 AM,03:40 PM,06:32 AM,05:51 PM,7,16,17,16,14,8,55,0.0,1025,19,10,196,10,Taichung
2018-02-14,21,14,0.0,8.7,5,0,05:17 AM,04:30 PM,06:31 AM,05:52 PM,11,21,21,21,6,1,55,0.0,1020,21,10,198,5,Taichung
2018-02-15,25,16,0.0,8.7,6,0,06:00 AM,05:23 PM,06:31 AM,05:52 PM,9,23,24,23,7,3,43,0.0,1017,25,10,160,6,Taichung
2018-02-16,24,18,0.0,8.7,6,2,06:41 AM,06:15 PM,06:30 AM,05:53 PM,11,21,22,21,16,8,52,0.0,1016,24,10,147,11,Taichung
2018-02-17,22,17,0.0,8.7,5,10,07:20 AM,07:09 PM,06:29 AM,05:53 PM,10,19,20,19,28,2,57,0.0,1019,22,10,56,20,Taichung
2018-02-18,22,16,0.0,8.7,5,17,07:58 AM,08:03 PM,06:29 AM,05:54 PM,12,21,22,21,11,3,58,0.0,1019,22,10,148,9,Taichung
2018-02-19,25,18,0.0,8.7,6,25,08:35 AM,08:57 PM,06:28 AM,05:55 PM,9,23,25,23,7,4,41,0.0,1017,25,10,186,6,Taichung
2018-02-20,23,18,0.0,8.7,6,32,09:13 AM,09:53 PM,06:27 AM,05:55 PM,11,21,21,21,19,12,55,0.0,1016,23,10,100,14,Taichung
2018-02-21,20,17,0.0,8.7,5,40,09:53 AM,10:50 PM,06:26 AM,05:56 PM,13,19,19,19,30,47,70,0.5,1017,20,9,16,23,Taichung
2018-02-22,20,15,0.0,7.2,5,47,10:35 AM,11:49 PM,06:26 AM,05:56 PM,12,17,17,17,31,53,74,7.8,1019,20,9,16,23,Taichung
2018-02-23,21,16,0.0,8.7,5,55,11:20 AM,No moonset,06:25 AM,05:57 PM,12,18,18,18,24,26,69,0.0,1021,21,10,57,18,Taichung
2018-02-24,22,18,0.0,8.7,5,62,12:10 PM,12:49 AM,06:24 AM,05:57 PM,12,20,20,20,14,39,63,0.0,1020,22,10,97,10,Taichung
2018-02-25,19,17,0.0,7.2,4,70,01:06 PM,01:51 AM,06:23 AM,05:58 PM,12,18,18,18,25,55,69,8.0,1019,19,9,17,17,Taichung
