date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,17,13,0.0,5.6,4,97,04:33 PM,05:20 AM,06:39 AM,05:16 PM,12,15,15,15,28,68,80,0.0,1023,17,10,81,20,Taipei
2018-01-02,22,16,0.0,8.7,5,100,05:37 PM,06:25 AM,06:39 AM,05:17 PM,14,19,19,19,27,13,73,0.0,1021,22,10,109,19,Taipei
2018-01-03,22,17,0.0,8.7,5,89,06:42 PM,07:27 AM,06:39 AM,05:17 PM,14,19,20,19,24,7,73,0.0,1021,22,10,108,17,Taipei
2018-01-04,23,17,0.0,7.1,5,81,07:49 PM,08:24 AM,06:40 AM,05:18 PM,16,20,20,20,10,45,79,0.4,1018,23,10,185,8,Taipei
2018-01-05,18,15,0.0,4.0,4,74,08:53 PM,09:15 AM,06:40 AM,05:19 PM,14,16,16,16,18,95,87,0.0,1018,18,10,153,13,Taipei
2018-01-06,17,15,0.0,4.0,4,67,09:54 PM,10:01 AM,06:40 AM,05:19 PM,14,16,16,16,24,87,88,5.8,1018,17,8,85,16,Taipei
2018-01-07,19,17,0.0,5.6,4,59,10:52 PM,10:42 AM,06:40 AM,05:20 PM,14,18,18,18,19,64,80,4.0,1016,19,9,105,13,Taipei
2018-01-08,19,13,0.0,5.6,4,52,11:48 PM,11:21 AM,06:40 AM,05:21 PM,15,17,17,17,14,75,85,2.4,1015,19,9,172,10,Taipei
2018-01-09,12,10,0.0,4.1,3,45,No moonrise,11:58 AM,06:40 AM,05:22 PM,6,10,11,10,13,71,71,0.8,1023,12,8,40,10,Taipei
2018-01-10,12,10,0.0,8.7,4,38,12:41 AM,12:35 PM,06:41 AM,05:22 PM,3,12,13,12,12,1,52,0.0,1026,12,10,43,10,Taipei
2018-01-11,12,8,0.0,7.2,4,30,01:34 AM,01:12 PM,06:41 AM,05:23 PM,3,9,11,9,16,27,59,0.0,1028,12,10,54,13,Taipei
2018-01-12,11,8,0.0,7.2,3,23,02:26 AM,01:51 PM,06:41 AM,05:24 PM,2,7,9,7,20,50,61,0.0,1030,11,10,55,16,Taipei
2018-01-13,14,8,0.0,8.7,4,16,03:18 AM,02:32 PM,06:41 AM,05:25 PM,5,9,11,9,26,38,65,0.0,1028,14,10,81,19,Taipei
2018-01-14,19,11,0.0,8.7,4,9,04:09 AM,03:15 PM,06:41 AM,05:25 PM,10,15,15,15,15,18,69,0.0,1023,19,10,96,11,Taipei
2018-01-15,22,13,0.0,8.7,5,1,04:59 AM,04:01 PM,06:41 AM,05:26 PM,12,18,18,18,12,12,69,0.0,1019,22,10,108,9,Taipei
2018-01-16,24,15,0.0,8.7,5,0,05:48 AM,04:49 PM,06:41 AM,05:27 PM,13,21,22,21,7,6,59,0.0,1015,24,10,236,5,Taipei
2018-01-17,21,16,0.0,8.7,5,0,06:34 AM,05:40 PM,06:41 AM,05:28 PM,14,19,19,19,15,25,75,0.0,1016,21,10,133,12,Taipei
2018-01-18,22,18,0.0,5.6,5,6,07:18 AM,06:31 PM,06:40 AM,05:28 PM,17,20,20,20,20,60,87,0.0,1018,22,10,82,14,Taipei
2018-01-19,19,17,0.0,4.1,4,13,08:00 AM,07:24 PM,06:40 AM,05:29 PM,16,18,18,18,15,97,91,1.7,1019,19,7,55,11,Taipei
2018-01-20,19,17,0.0,4.1,4,20,08:39 AM,08:16 PM,06:40 AM,05:30 PM,16,18,18,18,18,91,89,0.7,1018,19,9,69,14,Taipei
2018-01-21,21,17,0.0,5.6,5,28,09:17 AM,09:09 PM,06:40 AM,05:31 PM,16,19,19,19,16,59,86,0.1,1016,21,10,112,12,Taipei
2018-01-22,18,15,0.0,4.1,4,35,09:54 AM,10:03 PM,06:40 AM,05:31 PM,14,17,17,17,17,78,82,0.0,1016,18,10,153,13,Taipei
2018-01-23,18,15,0.0,4.1,4,42,10:30 AM,10:58 PM,06:40 AM,05:32 PM,13,16,16,16,20,76,81,0.2,1017,18,10,62,15,Taipei
2018-01-24,16,15,0.0,4.1,4,49,11:09 AM,11:55 PM,06:39 AM,05:33 PM,13,15,16,15,26,86,84,0.1,1019,16,10,68,19,Taipei
2018-01-25,18,15,0.0,4.1,4,57,11:49 AM,No moonset,06:39 AM,05:34 PM,14,16,16,16,21,81,85,0.1,1018,18,10,74,15,Taipei
2018-01-26,16,12,0.0,4.1,3,64,12:32 PM,12:53 AM,06:39 AM,05:34 PM,11,12,14,12,26,92,85,1.1,1021,16,7,51,20,Taipei
2018-01-27,19,13,0.0,5.6,4,71,01:21 PM,01:55 AM,06:38 AM,05:35 PM,13,15,16,15,19,75,82,0.6,1019,19,9,94,14,Taipei
