date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,5,-3,0.0,8.7,2,97,04:44 PM,06:23 AM,07:46 AM,05:22 PM,-15,3,3,3,4,1,25,0.0,1025,5,10,131,3,Taiyuan
2018-01-02,1,-3,0.0,5.3,2,100,05:47 PM,07:30 AM,07:46 AM,05:23 PM,-16,-4,-1,-4,12,42,31,0.0,1032,1,10,41,8,Taiyuan
2018-01-03,-2,-5,0.0,3.7,2,89,06:55 PM,08:31 AM,07:46 AM,05:24 PM,-18,-6,-3,-6,10,50,32,0.0,1037,-2,10,36,8,Taiyuan
2018-01-04,-3,-6,0.0,8.7,2,81,08:05 PM,09:24 AM,07:46 AM,05:25 PM,-12,-7,-4,-7,9,56,55,0.0,1032,-3,10,63,7,Taiyuan
2018-01-05,-0,-7,0.0,8.7,2,74,09:15 PM,10:10 AM,07:46 AM,05:25 PM,-11,-4,-3,-4,5,14,57,0.0,1027,-0,10,86,4,Taiyuan
2018-01-06,0,-5,0.0,8.7,2,67,10:22 PM,10:50 AM,07:46 AM,05:26 PM,-11,-4,-2,-4,8,30,51,0.0,1026,0,10,87,5,Taiyuan
2018-01-07,-2,-7,0.0,7.0,2,59,11:26 PM,11:26 AM,07:46 AM,05:27 PM,-11,-7,-4,-7,12,36,59,0.0,1025,-2,10,261,9,Taiyuan
2018-01-08,-5,-12,0.0,8.7,2,52,No moonrise,11:59 AM,07:46 AM,05:28 PM,-18,-16,-8,-16,31,8,48,0.0,1029,-5,10,282,23,Taiyuan
2018-01-09,-4,-10,0.0,8.7,2,45,12:28 AM,12:30 PM,07:46 AM,05:29 PM,-16,-15,-8,-15,26,9,55,0.0,1029,-4,10,276,18,Taiyuan
2018-01-10,-2,-11,0.0,8.7,2,38,01:27 AM,01:02 PM,07:46 AM,05:30 PM,-14,-12,-7,-12,21,7,57,0.0,1032,-2,10,280,14,Taiyuan
2018-01-11,-4,-11,0.0,8.7,2,30,02:25 AM,01:34 PM,07:46 AM,05:31 PM,-13,-7,-5,-7,5,1,55,0.0,1037,-4,10,285,4,Taiyuan
2018-01-12,-2,-10,0.0,8.7,2,23,03:22 AM,02:08 PM,07:45 AM,05:32 PM,-11,-4,-3,-4,4,0,52,0.0,1034,-2,10,235,3,Taiyuan
2018-01-13,1,-8,0.0,8.7,2,16,04:17 AM,02:45 PM,07:45 AM,05:33 PM,-10,-2,-1,-2,6,0,53,0.0,1026,1,10,168,5,Taiyuan
2018-01-14,3,-5,0.0,8.7,2,9,05:12 AM,03:27 PM,07:45 AM,05:34 PM,-9,-1,0,-1,8,4,52,0.0,1023,3,10,199,5,Taiyuan
2018-01-15,2,-4,0.0,8.7,2,1,06:03 AM,04:11 PM,07:45 AM,05:35 PM,-9,-3,-1,-3,12,33,51,0.0,1023,2,10,152,7,Taiyuan
2018-01-16,2,-6,0.0,8.7,2,0,06:52 AM,05:00 PM,07:44 AM,05:36 PM,-12,-3,-1,-3,9,31,45,0.0,1019,2,10,224,6,Taiyuan
2018-01-17,3,-3,0.0,8.7,2,0,07:38 AM,05:52 PM,07:44 AM,05:37 PM,-15,-3,-0,-3,14,19,35,0.0,1021,3,10,257,10,Taiyuan
2018-01-18,3,-5,0.0,8.7,1,6,08:19 AM,06:46 PM,07:44 AM,05:38 PM,-18,-4,-1,-4,11,65,28,0.0,1027,3,10,256,7,Taiyuan
2018-01-19,4,-5,0.0,8.7,2,13,08:57 AM,07:43 PM,07:43 AM,05:39 PM,-17,-3,-0,-3,13,14,27,0.0,1026,4,10,254,9,Taiyuan
2018-01-20,6,-3,0.0,8.7,2,20,09:32 AM,08:40 PM,07:43 AM,05:40 PM,-17,-1,1,-1,13,14,24,0.0,1023,6,10,244,8,Taiyuan
2018-01-21,3,-2,0.0,7.0,2,28,10:05 AM,09:39 PM,07:42 AM,05:41 PM,-14,-2,1,-2,15,37,31,0.0,1021,3,10,228,9,Taiyuan
2018-01-22,3,-4,0.0,8.7,2,35,10:36 AM,10:38 PM,07:42 AM,05:42 PM,-13,-5,-1,-5,21,12,39,0.0,1022,3,10,296,15,Taiyuan
2018-01-23,-4,-10,0.0,8.7,2,42,11:08 AM,11:39 PM,07:41 AM,05:44 PM,-29,-8,-6,-8,7,5,16,0.0,1030,-4,10,284,6,Taiyuan
2018-01-24,-3,-11,0.0,7.1,2,49,11:40 AM,No moonset,07:41 AM,05:45 PM,-26,-8,-5,-8,8,17,18,0.0,1031,-3,10,49,7,Taiyuan
2018-01-25,-4,-9,0.0,8.7,2,57,12:14 PM,12:41 AM,07:40 AM,05:46 PM,-20,-10,-6,-10,11,25,32,0.0,1034,-4,10,65,9,Taiyuan
