date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,13,4,0.0,9.6,3,97,05:35 PM,07:34 AM,08:49 AM,06:04 PM,-12,7,8,7,17,7,23,0.0,1022,13,10,70,9,Tashkent
2018-01-02,14,4,0.0,9.6,3,100,06:38 PM,08:40 AM,08:49 AM,06:05 PM,-9,7,9,7,17,12,27,0.0,1016,14,10,62,9,Tashkent
2018-01-03,14,6,0.0,8.2,3,89,07:48 PM,09:40 AM,08:49 AM,06:06 PM,-9,9,10,9,11,46,25,0.0,1010,14,10,73,6,Tashkent
2018-01-04,8,4,0.0,6.5,3,81,09:00 PM,10:30 AM,08:49 AM,06:07 PM,-2,6,7,6,7,72,58,0.4,1018,8,9,185,5,Tashkent
2018-01-05,9,3,0.0,9.6,3,74,10:11 PM,11:14 AM,08:49 AM,06:08 PM,0,6,6,6,8,27,64,0.1,1021,9,10,99,5,Tashkent
2018-01-06,11,3,0.0,8.2,3,67,11:20 PM,11:52 AM,08:49 AM,06:09 PM,-5,7,8,7,10,31,42,0.0,1020,11,10,129,6,Tashkent
2018-01-07,12,5,0.0,9.6,3,59,No moonrise,12:24 PM,08:49 AM,06:10 PM,-8,7,8,7,10,41,32,0.0,1024,12,10,136,5,Tashkent
2018-01-08,8,4,0.0,4.8,2,52,12:25 AM,12:55 PM,08:49 AM,06:11 PM,-3,6,6,6,6,70,53,0.1,1030,8,10,148,4,Tashkent
2018-01-09,7,2,0.0,9.6,2,45,01:29 AM,01:25 PM,08:49 AM,06:12 PM,0,5,5,5,6,12,69,0.0,1031,7,10,140,4,Tashkent
2018-01-10,12,2,0.0,9.7,3,38,02:30 AM,01:55 PM,08:48 AM,06:13 PM,-4,7,8,7,10,16,44,0.0,1024,12,10,147,6,Tashkent
2018-01-11,4,-0,0.4,9.7,2,30,03:30 AM,02:25 PM,08:48 AM,06:14 PM,-4,-1,1,-1,10,55,70,0.5,1032,4,9,290,8,Tashkent
2018-01-12,6,-1,0.0,9.7,2,23,04:28 AM,02:58 PM,08:48 AM,06:15 PM,-6,3,3,3,6,31,53,0.0,1028,6,10,96,4,Tashkent
2018-01-13,10,5,0.0,4.8,2,16,05:25 AM,03:35 PM,08:47 AM,06:16 PM,-3,7,7,7,10,90,46,0.1,1021,10,10,136,6,Tashkent
2018-01-14,7,4,0.0,8.2,2,9,06:19 AM,04:15 PM,08:47 AM,06:17 PM,-1,5,6,5,7,57,60,0.0,1026,7,10,145,5,Tashkent
2018-01-15,5,2,0.0,4.9,1,1,07:12 AM,05:00 PM,08:47 AM,06:18 PM,-3,2,3,2,9,83,63,0.0,1025,5,10,258,7,Tashkent
2018-01-16,3,-1,0.0,9.7,1,0,08:00 AM,05:49 PM,08:46 AM,06:19 PM,-4,-1,1,-1,8,64,70,0.0,1024,3,10,260,7,Tashkent
2018-01-17,3,-2,0.0,9.7,2,0,08:44 AM,06:42 PM,08:46 AM,06:20 PM,-5,0,1,0,5,53,65,0.0,1028,3,10,236,4,Tashkent
2018-01-18,7,-1,0.0,9.8,2,6,09:25 AM,07:38 PM,08:45 AM,06:21 PM,-8,3,4,3,9,23,44,0.0,1026,7,10,114,5,Tashkent
