date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,10,5,0.0,8.7,3,97,05:15 PM,07:18 AM,08:28 AM,05:41 PM,1,7,8,7,9,52,65,0.7,1013,10,10,202,5,Tbilisi
2018-01-02,6,2,0.0,8.7,2,100,06:19 PM,08:23 AM,08:28 AM,05:42 PM,1,3,5,3,14,57,75,0.0,1013,6,10,302,10,Tbilisi
2018-01-03,9,2,0.0,8.7,2,89,07:30 PM,09:22 AM,08:28 AM,05:43 PM,-1,5,6,5,9,7,64,0.0,1017,9,10,188,6,Tbilisi
2018-01-04,8,1,0.0,8.7,2,81,08:42 PM,10:12 AM,08:28 AM,05:44 PM,-3,4,5,4,7,15,56,0.0,1016,8,10,31,5,Tbilisi
2018-01-05,7,2,0.0,8.7,2,74,09:53 PM,10:55 AM,08:28 AM,05:45 PM,-4,4,5,4,7,35,54,0.0,1013,7,10,187,4,Tbilisi
2018-01-06,9,2,0.0,6.9,2,67,11:02 PM,11:32 AM,08:28 AM,05:46 PM,1,4,5,4,11,39,75,0.0,1019,9,10,324,7,Tbilisi
2018-01-07,9,2,0.0,8.7,2,59,No moonrise,12:05 PM,08:28 AM,05:47 PM,0,5,6,5,8,14,70,0.0,1030,9,10,285,5,Tbilisi
2018-01-08,10,2,0.0,8.7,2,52,12:08 AM,12:35 PM,08:28 AM,05:48 PM,-2,5,6,5,10,5,57,0.0,1031,10,10,253,6,Tbilisi
2018-01-09,8,2,0.0,8.7,2,45,01:11 AM,01:04 PM,08:27 AM,05:49 PM,-1,3,5,3,13,20,66,0.0,1026,8,10,319,9,Tbilisi
2018-01-10,5,-1,0.0,8.7,2,38,02:12 AM,01:34 PM,08:27 AM,05:50 PM,-6,-2,2,-2,27,15,54,0.0,1029,5,10,256,19,Tbilisi
2018-01-11,2,-2,0.0,8.7,2,30,03:12 AM,02:05 PM,08:27 AM,05:51 PM,-4,-0,1,-0,5,48,71,0.0,1026,2,10,106,4,Tbilisi
2018-01-12,7,-1,0.1,8.7,2,23,04:10 AM,02:38 PM,08:27 AM,05:52 PM,-1,1,3,1,9,39,76,0.2,1019,7,10,136,6,Tbilisi
2018-01-13,4,1,0.4,7.0,2,16,05:08 AM,03:14 PM,08:26 AM,05:53 PM,0,1,3,1,11,56,85,0.7,1023,4,9,152,8,Tbilisi
