date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,25,15,0.0,8.7,5,97,05:24 PM,05:34 AM,06:13 AM,05:32 PM,14,18,19,18,18,48,80,0.1,1017,25,6,11,12,Tegucigalpa
2018-01-02,23,14,0.0,8.7,5,100,06:28 PM,06:38 AM,06:13 AM,05:33 PM,14,18,18,18,20,33,78,0.0,1016,23,9,138,14,Tegucigalpa
2018-01-03,22,15,0.0,8.7,5,89,07:32 PM,07:39 AM,06:14 AM,05:33 PM,14,17,18,17,22,42,81,0.1,1016,22,9,179,16,Tegucigalpa
2018-01-04,22,13,0.0,8.7,5,81,08:33 PM,08:35 AM,06:14 AM,05:34 PM,12,16,17,16,25,26,78,0.0,1017,22,10,224,18,Tegucigalpa
2018-01-05,20,13,0.0,8.7,5,74,09:32 PM,09:27 AM,06:14 AM,05:35 PM,12,15,16,15,21,37,80,0.0,1019,20,10,180,15,Tegucigalpa
2018-01-06,20,11,0.0,8.7,4,67,10:27 PM,10:14 AM,06:15 AM,05:35 PM,11,14,15,14,22,32,79,0.0,1019,20,10,137,15,Tegucigalpa
2018-01-07,22,13,0.0,8.7,5,59,11:20 PM,10:58 AM,06:15 AM,05:36 PM,12,16,17,16,22,26,77,0.0,1017,22,10,140,15,Tegucigalpa
2018-01-08,27,12,0.0,8.7,5,52,No moonrise,11:40 AM,06:15 AM,05:36 PM,13,18,19,18,14,30,75,0.0,1015,27,7,63,8,Tegucigalpa
2018-01-09,24,15,0.0,8.7,5,45,12:10 AM,12:20 PM,06:15 AM,05:37 PM,14,18,19,18,18,37,78,0.0,1015,24,9,222,12,Tegucigalpa
2018-01-10,26,13,0.0,8.7,5,38,12:59 AM,01:01 PM,06:16 AM,05:37 PM,14,18,19,18,11,41,76,0.0,1014,26,7,154,7,Tegucigalpa
2018-01-11,27,14,0.0,8.7,5,30,01:48 AM,01:42 PM,06:16 AM,05:38 PM,14,20,20,20,8,23,73,0.0,1013,27,9,137,6,Tegucigalpa
2018-01-12,26,14,0.0,8.7,5,23,02:37 AM,02:24 PM,06:16 AM,05:39 PM,13,20,20,20,14,13,71,0.0,1015,26,10,209,9,Tegucigalpa
2018-01-13,20,13,0.0,8.7,5,16,03:26 AM,03:09 PM,06:16 AM,05:39 PM,12,15,16,15,28,33,77,0.0,1018,20,10,179,20,Tegucigalpa
2018-01-14,17,12,0.0,8.7,4,9,04:15 AM,03:55 PM,06:16 AM,05:40 PM,9,13,14,13,30,24,73,0.0,1020,17,10,356,23,Tegucigalpa
2018-01-15,19,11,0.0,8.7,4,1,05:03 AM,04:42 PM,06:17 AM,05:40 PM,10,13,14,13,28,35,76,0.0,1019,19,10,223,21,Tegucigalpa
2018-01-16,20,13,0.0,8.7,5,0,05:51 AM,05:32 PM,06:17 AM,05:41 PM,12,15,16,15,24,47,79,1.4,1018,20,10,137,18,Tegucigalpa
2018-01-17,18,13,0.0,8.7,5,0,06:37 AM,06:21 PM,06:17 AM,05:41 PM,11,14,15,14,28,35,78,0.2,1019,18,10,354,21,Tegucigalpa
2018-01-18,20,13,0.0,5.7,5,6,07:22 AM,07:11 PM,06:17 AM,05:42 PM,12,15,16,15,28,46,79,0.5,1018,20,10,139,21,Tegucigalpa
2018-01-19,22,14,0.0,8.7,5,13,08:05 AM,08:00 PM,06:17 AM,05:42 PM,13,17,18,17,24,45,79,0.0,1017,22,10,12,17,Tegucigalpa
2018-01-20,23,14,0.0,8.7,5,20,08:47 AM,08:49 PM,06:17 AM,05:43 PM,14,17,18,17,19,50,81,0.0,1015,23,10,10,14,Tegucigalpa
2018-01-21,26,15,0.0,8.7,5,28,09:28 AM,09:39 PM,06:17 AM,05:44 PM,14,19,19,19,18,36,77,0.0,1013,26,7,25,13,Tegucigalpa
2018-01-22,24,15,0.0,8.7,5,35,10:08 AM,10:29 PM,06:17 AM,05:44 PM,15,19,19,19,15,55,79,0.0,1012,24,7,27,10,Tegucigalpa
