date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,13,5,0.0,8.7,3,97,04:49 PM,06:46 AM,07:52 AM,05:12 PM,-1,8,9,8,10,33,51,0.0,1017,13,10,80,6,Thessaloniki
2018-01-02,13,6,0.0,8.7,3,100,05:54 PM,07:52 AM,07:52 AM,05:13 PM,3,9,10,9,10,23,65,0.0,1009,13,10,138,5,Thessaloniki
2018-01-03,10,6,0.0,8.7,3,89,07:04 PM,08:50 AM,07:52 AM,05:14 PM,0,5,7,5,24,29,60,0.0,1010,10,10,263,16,Thessaloniki
2018-01-04,9,5,0.0,8.7,3,81,08:15 PM,09:41 AM,07:52 AM,05:14 PM,0,4,6,4,24,45,64,0.1,1008,9,10,298,16,Thessaloniki
2018-01-05,10,4,0.0,8.7,3,74,09:26 PM,10:23 AM,07:52 AM,05:15 PM,-1,7,7,7,8,16,58,0.0,1015,10,10,67,5,Thessaloniki
2018-01-06,12,6,0.0,8.7,3,67,10:34 PM,11:00 AM,07:52 AM,05:16 PM,3,9,9,9,9,6,66,0.0,1020,12,10,100,6,Thessaloniki
2018-01-07,12,7,0.0,8.7,3,59,11:40 PM,11:34 AM,07:52 AM,05:17 PM,7,9,10,9,7,23,82,0.0,1026,12,10,80,4,Thessaloniki
2018-01-08,12,7,0.0,8.7,3,52,No moonrise,12:04 PM,07:52 AM,05:18 PM,7,9,10,9,6,19,84,0.0,1030,12,10,81,4,Thessaloniki
2018-01-09,11,7,0.0,8.7,3,45,12:42 AM,12:34 PM,07:52 AM,05:19 PM,6,9,9,9,9,53,82,0.0,1030,11,10,80,6,Thessaloniki
2018-01-10,10,8,0.0,5.3,2,38,01:43 AM,01:04 PM,07:52 AM,05:20 PM,6,8,9,8,9,88,81,0.1,1022,10,10,103,6,Thessaloniki
2018-01-11,11,7,0.0,8.7,3,30,02:41 AM,01:36 PM,07:52 AM,05:21 PM,5,9,9,9,6,67,78,0.2,1012,11,10,164,4,Thessaloniki
