date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,5,-2,0.0,8.7,2,97,04:20 PM,06:07 AM,07:31 AM,04:59 PM,-11,-1,2,-1,16,5,39,0.0,1028,5,10,63,11,Tianjin
2018-01-02,2,-3,0.0,8.7,2,100,05:24 PM,07:14 AM,07:31 AM,05:00 PM,-15,-4,-0,-4,15,17,36,0.0,1035,2,10,154,11,Tianjin
2018-01-03,-1,-5,0.0,8.7,2,89,06:32 PM,08:15 AM,07:31 AM,05:01 PM,-23,-7,-2,-7,16,20,19,0.0,1039,-1,10,300,12,Tianjin
2018-01-04,-1,-5,0.0,3.6,1,81,07:43 PM,09:08 AM,07:31 AM,05:02 PM,-19,-6,-3,-6,11,63,28,0.0,1034,-1,10,223,8,Tianjin
2018-01-05,2,-5,0.0,8.7,2,74,08:53 PM,09:53 AM,07:31 AM,05:02 PM,-21,-5,-1,-5,14,14,20,0.0,1027,2,10,296,10,Tianjin
2018-01-06,2,-5,0.0,8.7,2,67,10:01 PM,10:32 AM,07:31 AM,05:03 PM,-17,-2,-0,-2,8,34,26,0.0,1028,2,10,175,6,Tianjin
2018-01-07,3,-1,0.0,3.6,1,59,11:06 PM,11:07 AM,07:31 AM,05:04 PM,-16,-1,1,-1,12,82,28,0.0,1022,3,10,276,8,Tianjin
2018-01-08,-1,-3,0.0,8.7,2,52,No moonrise,11:40 AM,07:31 AM,05:05 PM,-21,-8,-2,-8,31,22,22,0.0,1019,-1,10,321,21,Tianjin
2018-01-09,1,-5,0.0,8.7,2,45,12:08 AM,12:10 PM,07:31 AM,05:06 PM,-21,-8,-2,-8,29,23,23,0.0,1021,1,10,295,20,Tianjin
2018-01-10,-3,-8,0.0,8.7,2,38,01:09 AM,12:41 PM,07:31 AM,05:07 PM,-26,-12,-5,-12,27,4,18,0.0,1029,-3,10,338,19,Tianjin
2018-01-11,-5,-10,0.0,8.7,2,30,02:07 AM,01:13 PM,07:31 AM,05:08 PM,-28,-13,-7,-13,22,1,16,0.0,1036,-5,10,317,15,Tianjin
2018-01-12,2,-8,0.0,8.7,2,23,03:05 AM,01:47 PM,07:30 AM,05:09 PM,-22,-7,-2,-7,19,3,22,0.0,1031,2,10,249,13,Tianjin
2018-01-13,3,-5,0.0,8.7,2,16,04:01 AM,02:23 PM,07:30 AM,05:10 PM,-9,-2,1,-2,14,8,48,0.0,1027,3,10,200,9,Tianjin
2018-01-14,6,-2,0.0,8.7,2,9,04:55 AM,03:04 PM,07:30 AM,05:11 PM,-8,1,3,1,13,1,46,0.0,1022,6,10,232,10,Tianjin
2018-01-15,3,-2,0.0,7.0,2,1,05:48 AM,03:48 PM,07:29 AM,05:12 PM,-7,-1,1,-1,11,22,56,0.0,1025,3,10,95,8,Tianjin
