date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,19,12,0.0,8.7,5,97,04:54 PM,06:12 AM,06:50 AM,04:54 PM,8,16,16,16,9,9,62,0.0,1020,19,10,325,6,Tijuana
2018-01-02,23,14,0.0,8.7,5,100,06:00 PM,07:16 AM,06:50 AM,04:54 PM,6,18,18,18,10,17,48,0.0,1020,23,10,259,5,Tijuana
2018-01-03,19,14,0.0,3.8,4,89,07:08 PM,08:13 AM,06:50 AM,04:55 PM,6,17,17,17,7,50,48,0.0,1018,19,10,149,4,Tijuana
2018-01-04,21,14,0.0,8.7,5,81,08:16 PM,09:03 AM,06:50 AM,04:56 PM,9,18,18,18,8,11,60,0.0,1020,21,10,254,5,Tijuana
2018-01-05,21,15,0.0,8.7,5,74,09:21 PM,09:48 AM,06:50 AM,04:57 PM,12,18,19,18,12,19,70,0.0,1021,21,10,265,8,Tijuana
2018-01-06,21,15,0.0,8.7,5,67,10:23 PM,10:27 AM,06:50 AM,04:58 PM,11,18,18,18,10,24,65,0.0,1020,21,10,166,6,Tijuana
2018-01-07,21,15,0.0,8.7,5,59,11:24 PM,11:04 AM,06:51 AM,04:58 PM,11,18,18,18,7,21,64,0.0,1018,21,10,187,4,Tijuana
2018-01-08,19,17,0.0,7.1,5,52,No moonrise,11:38 AM,06:51 AM,04:59 PM,11,18,18,18,10,61,63,0.0,1014,19,10,169,6,Tijuana
2018-01-09,17,13,0.0,5.5,3,45,12:21 AM,12:12 PM,06:51 AM,05:00 PM,11,14,15,14,34,83,77,14.0,1010,17,9,214,24,Tijuana
2018-01-10,15,13,0.0,5.5,3,38,01:17 AM,12:46 PM,06:50 AM,05:01 PM,11,13,14,13,13,66,82,1.9,1017,15,10,218,10,Tijuana
2018-01-11,19,11,0.0,8.7,5,30,02:12 AM,01:22 PM,06:50 AM,05:02 PM,11,17,17,17,6,1,71,0.0,1022,19,10,250,5,Tijuana
2018-01-12,21,14,0.0,8.7,5,23,03:06 AM,02:00 PM,06:50 AM,05:03 PM,10,18,18,18,12,12,61,0.0,1021,21,10,223,7,Tijuana
2018-01-13,26,17,0.0,8.7,6,16,03:59 AM,02:40 PM,06:50 AM,05:04 PM,3,20,20,20,19,21,32,0.0,1020,26,10,67,10,Tijuana
2018-01-14,24,17,0.0,8.7,5,9,04:51 AM,03:25 PM,06:50 AM,05:05 PM,2,20,20,20,13,7,31,0.0,1020,24,10,158,7,Tijuana
2018-01-15,21,15,0.0,8.7,5,1,05:41 AM,04:12 PM,06:50 AM,05:06 PM,6,18,18,18,6,22,46,0.0,1019,21,10,193,4,Tijuana
2018-01-16,19,15,0.0,8.7,5,0,06:27 AM,05:02 PM,06:50 AM,05:06 PM,8,17,17,17,10,9,56,0.0,1020,19,10,254,6,Tijuana
2018-01-17,23,16,0.0,8.7,5,0,07:11 AM,05:55 PM,06:49 AM,05:07 PM,8,19,19,19,9,7,48,0.0,1021,23,10,181,6,Tijuana
2018-01-18,22,16,0.0,8.7,5,6,07:52 AM,06:49 PM,06:49 AM,05:08 PM,8,18,18,18,7,20,53,0.0,1018,22,10,173,5,Tijuana
2018-01-19,17,13,0.0,7.1,4,13,08:29 AM,07:44 PM,06:49 AM,05:09 PM,11,15,15,15,11,32,75,0.0,1015,17,10,278,9,Tijuana
2018-01-20,14,11,0.0,8.7,4,20,09:05 AM,08:39 PM,06:48 AM,05:10 PM,5,11,13,11,26,16,60,0.6,1017,14,10,256,20,Tijuana
2018-01-21,15,9,0.0,7.1,4,28,09:40 AM,09:36 PM,06:48 AM,05:11 PM,3,12,12,12,12,18,53,0.0,1024,15,10,179,8,Tijuana
2018-01-22,18,11,0.0,8.7,4,35,10:13 AM,10:34 PM,06:48 AM,05:12 PM,-2,14,14,14,12,4,33,0.0,1023,18,10,154,8,Tijuana
2018-01-23,21,12,0.0,8.7,5,42,10:47 AM,11:33 PM,06:47 AM,05:13 PM,-1,16,16,16,15,0,30,0.0,1020,21,10,128,9,Tijuana
2018-01-24,22,13,0.0,8.7,5,49,11:24 AM,No moonset,06:47 AM,05:14 PM,-2,16,17,16,16,14,29,0.0,1019,22,10,157,9,Tijuana
2018-01-25,16,12,0.0,7.1,4,57,12:03 PM,12:34 AM,06:46 AM,05:15 PM,6,13,14,13,12,35,61,0.2,1018,16,10,277,8,Tijuana
2018-01-26,16,10,0.0,8.7,4,64,12:46 PM,01:38 AM,06:46 AM,05:16 PM,5,13,14,13,12,5,58,0.0,1022,16,10,203,8,Tijuana
2018-01-27,21,12,0.0,8.7,5,71,01:36 PM,02:43 AM,06:45 AM,05:17 PM,-3,17,17,17,12,1,26,0.0,1022,21,10,77,7,Tijuana
2018-01-28,25,15,0.0,8.7,5,78,02:32 PM,03:50 AM,06:45 AM,05:18 PM,-2,20,19,20,17,0,24,0.0,1021,25,10,47,9,Tijuana
2018-01-29,27,17,0.0,8.7,6,86,03:35 PM,04:54 AM,06:44 AM,05:19 PM,0,22,21,22,17,0,25,0.0,1019,27,10,73,9,Tijuana
2018-01-30,25,18,0.0,5.6,5,93,04:42 PM,05:54 AM,06:43 AM,05:20 PM,-2,21,21,21,16,54,22,0.0,1017,25,10,165,8,Tijuana
2018-01-31,23,16,0.0,8.7,5,97,05:51 PM,06:48 AM,06:43 AM,05:21 PM,2,20,20,20,7,3,31,0.0,1015,23,10,198,5,Tijuana
2018-02-01,23,16,0.0,8.7,5,88,06:59 PM,07:37 AM,06:42 AM,05:22 PM,6,20,20,20,6,4,40,0.0,1016,23,10,200,4,Tijuana
2018-02-02,25,16,0.0,7.2,5,81,08:05 PM,08:19 AM,06:41 AM,05:22 PM,4,20,20,20,6,20,35,0.0,1019,25,10,176,4,Tijuana
2018-02-03,24,16,0.0,8.7,5,73,09:08 PM,08:59 AM,06:41 AM,05:23 PM,4,20,20,20,11,2,36,0.0,1018,24,10,207,7,Tijuana
2018-02-04,24,16,0.0,8.7,5,66,10:08 PM,09:36 AM,06:40 AM,05:24 PM,8,21,21,21,8,0,45,0.0,1017,24,10,246,5,Tijuana
2018-02-05,21,14,0.0,8.7,5,58,11:07 PM,10:10 AM,06:39 AM,05:25 PM,10,19,20,19,5,1,56,0.0,1014,21,10,283,4,Tijuana
2018-02-06,20,13,0.0,8.7,5,51,No moonrise,10:45 AM,06:38 AM,05:26 PM,11,18,18,18,7,0,66,0.0,1016,20,10,188,5,Tijuana
2018-02-07,25,15,0.0,8.7,5,43,12:04 AM,11:21 AM,06:38 AM,05:27 PM,1,20,20,20,13,0,29,0.0,1022,25,10,128,8,Tijuana
2018-02-08,24,16,0.0,8.7,5,36,12:59 AM,11:58 AM,06:37 AM,05:28 PM,-2,20,20,20,12,0,24,0.0,1019,24,10,182,7,Tijuana
2018-02-09,21,14,0.0,8.7,5,28,01:53 AM,12:38 PM,06:36 AM,05:29 PM,10,18,18,18,8,0,60,0.0,1015,21,10,215,6,Tijuana
2018-02-10,18,13,0.0,7.2,4,20,02:45 AM,01:21 PM,06:35 AM,05:30 PM,10,14,15,14,17,33,74,0.1,1011,18,10,173,12,Tijuana
2018-02-11,18,13,0.0,8.7,5,13,03:36 AM,02:07 PM,06:34 AM,05:31 PM,11,16,16,16,8,33,72,0.1,1012,18,10,208,6,Tijuana
2018-02-12,14,12,0.0,5.6,3,5,04:23 AM,02:57 PM,06:33 AM,05:32 PM,9,12,13,12,18,81,73,1.7,1012,14,10,250,14,Tijuana
2018-02-13,17,11,0.0,8.7,4,0,05:08 AM,03:49 PM,06:32 AM,05:33 PM,6,14,14,14,9,38,60,0.3,1019,17,10,151,7,Tijuana
2018-02-14,18,14,0.0,7.2,5,0,05:50 AM,04:42 PM,06:31 AM,05:33 PM,9,16,16,16,10,49,64,0.4,1019,18,10,178,7,Tijuana
2018-02-15,20,13,0.0,8.7,5,0,06:29 AM,05:38 PM,06:30 AM,05:34 PM,8,16,16,16,13,34,62,0.0,1019,20,10,210,9,Tijuana
2018-02-16,22,14,0.0,7.2,5,2,07:06 AM,06:34 PM,06:29 AM,05:35 PM,1,17,17,17,14,39,35,0.0,1020,22,10,158,9,Tijuana
2018-02-17,21,14,0.0,7.2,5,10,07:42 AM,07:31 PM,06:28 AM,05:36 PM,-0,18,18,18,10,32,31,0.0,1019,21,10,193,7,Tijuana
2018-02-18,18,13,0.0,8.7,4,17,08:15 AM,08:29 PM,06:27 AM,05:37 PM,7,15,15,15,12,25,59,0.0,1014,18,10,210,9,Tijuana
2018-02-19,13,10,0.0,8.7,4,25,08:50 AM,09:28 PM,06:26 AM,05:38 PM,3,9,12,9,34,37,56,0.9,1013,13,9,282,27,Tijuana
2018-02-20,12,8,0.0,8.7,3,32,09:25 AM,10:28 PM,06:25 AM,05:39 PM,-4,10,11,10,12,1,36,0.0,1020,12,10,211,9,Tijuana
2018-02-21,12,8,0.0,7.2,4,40,10:02 AM,11:30 PM,06:24 AM,05:39 PM,1,10,11,10,10,20,52,0.3,1021,12,10,185,8,Tijuana
2018-02-22,13,8,0.0,7.2,4,47,10:43 AM,No moonset,06:23 AM,05:40 PM,4,9,10,9,16,43,65,0.9,1023,13,10,194,12,Tijuana
2018-02-23,12,9,0.0,8.7,4,55,11:30 AM,12:32 AM,06:22 AM,05:41 PM,2,8,11,8,24,35,57,0.8,1023,12,10,272,18,Tijuana
2018-02-24,15,8,0.0,8.7,4,62,12:21 PM,01:36 AM,06:21 AM,05:42 PM,-3,11,12,11,12,5,39,0.0,1025,15,10,188,9,Tijuana
2018-02-25,19,9,0.0,8.7,4,70,01:19 PM,02:39 AM,06:20 AM,05:43 PM,-1,14,14,14,9,1,36,0.0,1021,19,10,143,7,Tijuana
2018-02-26,16,10,0.0,8.7,4,77,02:21 PM,03:39 AM,06:19 AM,05:43 PM,6,13,13,13,11,15,60,0.0,1016,16,10,208,9,Tijuana
2018-02-27,12,8,0.0,8.7,4,85,03:28 PM,04:34 AM,06:18 AM,05:44 PM,4,9,10,9,18,44,64,6.0,1015,12,10,226,14,Tijuana
2018-02-28,13,7,0.0,8.7,4,93,04:35 PM,05:24 AM,06:16 AM,05:45 PM,4,11,11,11,9,6,60,0.0,1022,13,10,154,7,Tijuana
2018-03-01,15,9,0.0,8.7,4,96,05:43 PM,06:09 AM,06:15 AM,05:46 PM,5,12,12,12,9,1,63,0.0,1021,15,10,209,8,Tijuana
2018-03-02,16,10,0.0,8.7,4,100,06:47 PM,06:50 AM,06:14 AM,05:47 PM,8,14,14,14,9,14,67,0.0,1018,16,10,218,7,Tijuana
2018-03-03,15,12,0.0,7.2,3,89,07:51 PM,07:29 AM,06:13 AM,05:47 PM,8,12,13,12,14,68,73,0.9,1018,15,10,211,11,Tijuana
2018-03-04,14,10,0.0,7.2,4,82,08:51 PM,08:05 AM,06:12 AM,05:48 PM,4,10,12,10,17,33,60,0.8,1021,14,10,311,13,Tijuana
2018-03-05,20,11,0.0,8.7,5,74,09:51 PM,08:41 AM,06:11 AM,05:49 PM,-2,15,15,15,12,29,31,0.0,1020,20,10,163,8,Tijuana
2018-03-06,23,13,0.0,8.7,5,67,10:48 PM,09:17 AM,06:09 AM,05:50 PM,-4,17,17,17,12,41,24,0.0,1017,23,10,163,7,Tijuana
2018-03-07,20,14,0.0,8.7,5,60,11:44 PM,09:54 AM,06:08 AM,05:50 PM,2,17,17,17,9,23,38,0.0,1017,20,10,277,6,Tijuana
2018-03-08,20,14,0.0,7.2,5,53,No moonrise,10:34 AM,06:07 AM,05:51 PM,6,17,17,17,9,27,48,0.0,1017,20,10,291,7,Tijuana
2018-03-09,19,14,0.0,8.7,5,45,12:37 AM,11:16 AM,06:06 AM,05:52 PM,11,16,16,16,8,24,71,0.0,1014,19,10,253,6,Tijuana
2018-03-10,16,14,0.0,4.3,3,38,01:29 AM,12:01 PM,06:04 AM,05:53 PM,12,15,15,15,11,80,86,4.5,1015,16,9,215,8,Tijuana
2018-03-11,19,14,0.0,7.2,5,31,02:18 AM,12:49 PM,06:03 AM,05:53 PM,13,16,16,16,12,76,83,1.0,1017,19,10,180,9,Tijuana
2018-03-12,19,14,0.0,8.7,5,24,03:04 AM,01:41 PM,06:02 AM,05:54 PM,13,17,16,17,8,42,80,0.0,1018,19,9,306,6,Tijuana
2018-03-13,19,15,0.0,7.2,5,16,03:47 AM,02:33 PM,06:01 AM,05:55 PM,12,16,16,16,11,40,78,0.0,1016,19,10,281,8,Tijuana
2018-03-14,16,13,0.0,8.8,4,9,04:27 AM,03:29 PM,05:59 AM,05:56 PM,12,14,15,14,16,62,81,1.0,1016,16,9,259,12,Tijuana
2018-03-15,15,11,0.0,11.6,4,2,05:05 AM,04:25 PM,05:58 AM,05:56 PM,8,12,13,12,22,21,69,1.5,1016,15,10,253,17,Tijuana
2018-03-16,15,10,0.0,10.2,4,0,05:41 AM,05:22 PM,05:57 AM,05:57 PM,6,12,12,12,11,30,64,0.1,1016,15,10,204,9,Tijuana
2018-03-17,14,11,0.0,8.8,3,0,06:15 AM,06:21 PM,05:56 AM,05:58 PM,7,11,12,11,16,63,72,2.8,1017,14,10,229,12,Tijuana
2018-03-18,15,10,0.0,10.2,4,5,06:50 AM,07:21 PM,05:54 AM,05:58 PM,5,12,12,12,14,43,61,0.6,1019,15,10,229,11,Tijuana
2018-03-19,19,11,0.0,10.2,4,13,07:26 AM,08:21 PM,05:53 AM,05:59 PM,5,15,15,15,9,34,53,0.0,1018,19,10,243,6,Tijuana
2018-03-20,20,13,0.0,12.5,5,20,08:03 AM,09:24 PM,05:52 AM,06:00 PM,7,16,16,16,9,19,53,0.0,1015,20,10,194,6,Tijuana
2018-03-21,22,14,0.0,12.5,5,27,08:43 AM,10:27 PM,05:51 AM,06:00 PM,7,19,19,19,9,17,47,0.0,1015,22,10,202,6,Tijuana
2018-03-22,21,15,0.0,10.5,4,34,09:28 AM,11:30 PM,05:49 AM,06:01 PM,11,18,18,18,9,73,66,2.8,1017,21,9,185,6,Tijuana
2018-03-23,18,14,0.0,12.5,5,42,10:16 AM,No moonset,05:48 AM,06:02 PM,12,15,15,15,10,50,80,0.5,1018,18,9,271,8,Tijuana
2018-03-24,15,12,0.0,10.5,3,49,11:11 AM,12:32 AM,05:47 AM,06:03 PM,8,12,13,12,13,64,70,0.3,1016,15,10,272,10,Tijuana
2018-03-25,15,11,0.0,12.6,4,56,12:11 PM,01:32 AM,05:45 AM,06:03 PM,6,11,12,11,16,38,64,0.3,1016,15,10,283,13,Tijuana
2018-03-26,16,10,0.0,12.6,4,63,01:14 PM,02:27 AM,05:44 AM,06:04 PM,6,12,13,12,13,20,63,0.0,1016,16,10,199,10,Tijuana
2018-03-27,19,11,0.0,12.6,4,71,02:19 PM,03:18 AM,05:43 AM,06:05 PM,5,16,16,16,10,0,47,0.0,1019,19,10,191,8,Tijuana
2018-03-28,21,13,0.0,12.6,5,78,03:25 PM,04:03 AM,05:41 AM,06:05 PM,6,18,18,18,11,1,46,0.0,1018,21,10,291,7,Tijuana
2018-03-29,21,13,0.0,12.7,5,85,04:29 PM,04:44 AM,05:40 AM,06:06 PM,10,18,19,18,9,0,59,0.0,1017,21,10,280,7,Tijuana
2018-03-30,22,12,0.0,12.7,5,93,05:33 PM,05:23 AM,05:39 AM,06:07 PM,11,19,19,19,8,0,61,0.0,1017,22,10,274,7,Tijuana
2018-03-31,21,14,0.0,7.9,4,96,06:34 PM,06:00 AM,05:38 AM,06:07 PM,10,18,17,18,10,73,61,0.0,1016,21,10,293,8,Tijuana
2018-04-01,18,13,0.0,12.7,5,89,07:35 PM,06:35 AM,05:36 AM,06:08 PM,11,16,15,16,8,36,75,0.0,1012,18,10,264,7,Tijuana
2018-04-02,17,13,0.0,10.6,4,81,08:34 PM,07:11 AM,05:35 AM,06:09 PM,11,14,15,14,12,68,78,0.0,1011,17,10,206,9,Tijuana
2018-04-03,19,13,0.0,12.8,5,74,09:32 PM,07:49 AM,05:34 AM,06:09 PM,11,16,16,16,9,40,73,0.2,1014,19,10,255,7,Tijuana
2018-04-04,18,13,0.0,12.8,5,66,10:27 PM,08:27 AM,05:32 AM,06:10 PM,11,15,15,15,11,16,76,0.0,1016,18,10,311,9,Tijuana
2018-04-05,19,12,0.0,12.8,5,59,11:21 PM,09:09 AM,05:31 AM,06:11 PM,10,16,16,16,9,8,69,0.0,1016,19,10,292,7,Tijuana
2018-04-06,19,13,0.0,12.8,5,51,No moonrise,09:54 AM,05:30 AM,06:11 PM,11,16,16,16,10,9,70,0.0,1014,19,10,264,8,Tijuana
2018-04-07,21,15,0.0,9.3,4,44,12:11 AM,10:41 AM,05:29 AM,06:12 PM,13,18,18,18,10,69,77,0.1,1014,21,10,262,8,Tijuana
2018-04-08,21,14,0.0,12.9,5,36,12:58 AM,11:31 AM,05:27 AM,06:13 PM,12,17,18,17,10,29,72,0.1,1013,21,10,238,8,Tijuana
2018-04-09,27,16,0.0,12.9,6,28,01:43 AM,12:23 PM,05:26 AM,06:14 PM,11,22,23,22,7,0,52,0.0,1014,27,10,276,5,Tijuana
2018-04-10,28,18,0.0,12.9,6,21,02:23 AM,01:17 PM,05:25 AM,06:14 PM,8,23,23,23,8,6,41,0.0,1015,28,10,263,6,Tijuana
2018-04-11,21,15,0.0,12.9,5,13,03:02 AM,02:12 PM,05:24 AM,06:15 PM,11,19,19,19,10,10,62,0.0,1014,21,10,258,8,Tijuana
2018-04-12,17,13,0.0,12.9,4,6,03:38 AM,03:09 PM,05:22 AM,06:16 PM,8,14,14,14,19,19,64,0.1,1016,17,10,266,15,Tijuana
2018-04-13,23,12,0.0,13.0,5,0,04:13 AM,04:07 PM,05:21 AM,06:16 PM,2,18,18,18,12,1,36,0.0,1021,23,10,156,9,Tijuana
2018-04-14,27,16,0.0,13.0,6,0,04:47 AM,05:07 PM,05:20 AM,06:17 PM,-1,22,21,22,15,2,24,0.0,1021,27,10,180,10,Tijuana
2018-04-15,23,16,0.0,11.9,4,0,05:23 AM,06:09 PM,05:19 AM,06:18 PM,4,20,20,20,10,34,37,0.0,1015,23,10,221,7,Tijuana
2018-04-16,17,12,0.0,13.0,4,1,06:00 AM,07:12 PM,05:18 AM,06:18 PM,8,14,15,14,19,14,64,0.0,1016,17,10,297,15,Tijuana
2018-04-17,17,10,0.0,13.0,4,9,06:39 AM,08:17 PM,05:16 AM,06:19 PM,4,14,14,14,15,0,52,0.0,1019,17,10,321,12,Tijuana
2018-04-18,18,12,0.0,13.1,4,17,07:24 AM,09:23 PM,05:15 AM,06:20 PM,8,15,15,15,10,3,60,0.0,1017,18,10,240,8,Tijuana
2018-04-19,14,11,0.0,12.0,4,24,08:12 AM,10:26 PM,05:14 AM,06:21 PM,7,11,13,11,19,47,68,0.4,1017,14,10,279,15,Tijuana
2018-04-20,19,11,0.0,13.1,4,32,09:06 AM,11:28 PM,05:13 AM,06:21 PM,8,15,15,15,12,3,63,0.0,1018,19,10,218,9,Tijuana
2018-04-21,23,13,0.0,12.0,5,39,10:05 AM,No moonset,05:12 AM,06:22 PM,9,18,19,18,10,38,56,0.0,1016,23,10,276,7,Tijuana
2018-04-22,23,16,0.0,13.1,5,47,11:07 AM,12:25 AM,05:11 AM,06:23 PM,10,20,21,20,9,2,52,0.0,1013,23,10,279,7,Tijuana
2018-04-23,23,14,0.0,13.1,5,54,12:11 PM,01:16 AM,05:10 AM,06:23 PM,11,19,19,19,8,15,63,0.0,1015,23,10,237,7,Tijuana
2018-04-24,20,14,0.0,13.2,5,62,01:16 PM,02:02 AM,05:08 AM,06:24 PM,10,17,17,17,9,15,63,0.0,1015,20,10,275,7,Tijuana
2018-04-25,20,13,0.0,13.2,5,69,02:19 PM,02:43 AM,05:07 AM,06:25 PM,10,17,17,17,11,16,67,0.0,1016,20,10,257,9,Tijuana
2018-04-26,20,13,0.0,13.2,5,77,03:21 PM,03:22 AM,05:06 AM,06:26 PM,10,16,16,16,12,27,71,0.0,1015,20,10,295,10,Tijuana
2018-04-27,19,12,0.0,13.2,5,85,04:22 PM,03:58 AM,05:05 AM,06:26 PM,10,15,15,15,12,6,69,0.0,1014,19,10,297,9,Tijuana
2018-04-28,20,12,0.0,13.2,5,92,05:22 PM,04:33 AM,05:04 AM,06:27 PM,10,16,16,16,11,3,68,0.0,1013,20,10,251,9,Tijuana
2018-04-29,16,13,0.0,12.0,4,100,06:21 PM,05:08 AM,05:03 AM,06:28 PM,10,14,14,14,14,60,74,0.1,1014,16,10,233,11,Tijuana
2018-04-30,16,13,0.0,8.3,3,100,07:20 PM,05:45 AM,05:02 AM,06:29 PM,10,13,14,13,16,83,77,0.4,1014,16,9,227,13,Tijuana
2018-05-01,13,11,0.0,8.3,3,89,08:16 PM,06:22 AM,05:01 AM,06:29 PM,7,11,12,11,15,81,72,1.4,1013,13,10,236,12,Tijuana
2018-05-02,15,11,0.0,8.3,3,82,09:11 PM,07:03 AM,05:00 AM,06:30 PM,9,13,13,13,9,89,75,1.3,1016,15,10,243,7,Tijuana
2018-05-03,19,12,0.0,13.7,5,75,10:03 PM,07:47 AM,04:59 AM,06:31 PM,10,16,16,16,13,4,69,0.0,1020,19,10,239,11,Tijuana
2018-05-04,28,14,0.0,13.7,6,68,10:53 PM,08:33 AM,04:58 AM,06:31 PM,10,21,21,21,14,0,52,0.0,1019,28,10,282,10,Tijuana
2018-05-05,27,16,0.0,13.8,6,60,11:38 PM,09:22 AM,04:57 AM,06:32 PM,10,22,22,22,14,1,48,0.0,1014,27,10,284,10,Tijuana
2018-05-06,24,16,0.0,13.3,5,53,No moonrise,10:13 AM,04:57 AM,06:33 PM,11,19,20,19,13,28,60,0.0,1014,24,10,308,10,Tijuana
2018-05-07,22,15,0.0,13.8,5,46,12:20 AM,11:06 AM,04:56 AM,06:34 PM,11,18,19,18,9,28,62,0.0,1016,22,10,292,7,Tijuana
2018-05-08,22,15,0.0,13.8,5,39,12:59 AM,12:01 PM,04:55 AM,06:34 PM,11,18,18,18,8,15,64,0.0,1014,22,10,240,7,Tijuana
2018-05-09,22,14,0.0,13.8,5,31,01:36 AM,12:56 PM,04:54 AM,06:35 PM,13,19,19,19,8,7,70,0.0,1013,22,10,267,7,Tijuana
2018-05-10,22,15,0.0,13.8,5,24,02:10 AM,01:53 PM,04:53 AM,06:36 PM,13,18,19,18,10,8,72,0.0,1010,22,10,241,9,Tijuana
2018-05-11,17,14,0.0,9.8,4,17,02:44 AM,02:51 PM,04:52 AM,06:37 PM,11,14,15,14,18,66,76,0.2,1010,17,10,199,15,Tijuana
2018-05-12,16,13,0.0,12.2,4,9,03:19 AM,03:52 PM,04:52 AM,06:37 PM,10,14,14,14,13,65,73,0.5,1013,16,10,216,10,Tijuana
2018-05-13,19,13,0.0,13.9,5,2,03:54 AM,04:54 PM,04:51 AM,06:38 PM,9,16,16,16,10,31,66,0.2,1015,19,10,260,9,Tijuana
2018-05-14,19,13,0.0,13.9,5,0,04:33 AM,06:00 PM,04:50 AM,06:39 PM,11,16,16,16,13,33,73,0.0,1014,19,10,273,11,Tijuana
2018-05-15,20,14,0.0,13.9,5,0,05:15 AM,07:07 PM,04:49 AM,06:39 PM,11,16,16,16,13,21,69,0.0,1016,20,10,309,11,Tijuana
2018-05-16,20,14,0.0,13.9,5,5,06:03 AM,08:13 PM,04:49 AM,06:40 PM,10,16,16,16,14,17,68,0.0,1015,20,10,302,11,Tijuana
2018-05-17,18,14,0.0,13.3,5,12,06:56 AM,09:19 PM,04:48 AM,06:41 PM,10,16,16,16,12,23,68,0.1,1014,18,10,256,10,Tijuana
