date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,15,6,0.0,11.0,4,97,06:06 PM,06:34 AM,07:13 AM,06:12 PM,5,11,11,11,7,13,68,2.0,1021,15,10,138,5,Toluca
2018-01-02,17,5,0.0,11.0,4,100,07:12 PM,07:38 AM,07:13 AM,06:13 PM,5,12,12,12,4,11,66,0.0,1019,17,10,162,3,Toluca
2018-01-03,17,7,0.0,11.0,4,89,08:16 PM,08:38 AM,07:13 AM,06:13 PM,6,13,12,13,4,11,66,0.1,1019,17,10,122,3,Toluca
2018-01-04,16,7,0.0,11.0,4,81,09:20 PM,09:33 AM,07:14 AM,06:14 PM,7,12,12,12,4,22,75,0.3,1019,16,10,179,2,Toluca
2018-01-05,16,7,0.0,11.0,4,74,10:20 PM,10:22 AM,07:14 AM,06:15 PM,7,12,12,12,4,19,73,0.1,1019,16,10,250,3,Toluca
2018-01-06,18,6,0.0,11.0,4,67,11:17 PM,11:08 AM,07:14 AM,06:15 PM,4,14,14,14,5,5,57,0.0,1020,18,10,79,3,Toluca
2018-01-07,19,5,0.0,11.0,4,59,No moonrise,11:50 AM,07:14 AM,06:16 PM,3,14,14,14,4,3,51,0.0,1018,19,10,208,3,Toluca
2018-01-08,18,6,0.0,11.0,4,52,12:11 AM,12:30 PM,07:15 AM,06:16 PM,-0,14,14,14,8,0,38,0.0,1017,18,10,158,6,Toluca
2018-01-09,19,4,0.0,11.0,4,45,01:03 AM,01:09 PM,07:15 AM,06:17 PM,0,14,14,14,5,3,46,0.0,1018,19,10,84,3,Toluca
2018-01-10,19,5,0.0,11.0,4,38,01:54 AM,01:48 PM,07:15 AM,06:18 PM,-1,15,15,15,5,0,36,0.0,1016,19,10,282,4,Toluca
2018-01-11,20,6,0.0,11.0,4,30,02:45 AM,02:27 PM,07:15 AM,06:18 PM,5,14,14,14,7,7,58,0.0,1015,20,10,271,5,Toluca
2018-01-12,19,5,0.0,11.0,4,23,03:35 AM,03:09 PM,07:15 AM,06:19 PM,3,14,14,14,7,4,51,0.1,1018,19,10,113,5,Toluca
2018-01-13,18,5,0.0,11.1,4,16,04:25 AM,03:52 PM,07:15 AM,06:20 PM,-0,14,14,14,6,1,41,0.0,1020,18,10,79,5,Toluca
2018-01-14,16,1,0.0,11.1,3,9,05:15 AM,04:38 PM,07:15 AM,06:20 PM,-3,9,10,9,8,4,44,0.0,1023,16,10,83,5,Toluca
2018-01-15,17,2,0.0,11.1,3,1,06:03 AM,05:26 PM,07:15 AM,06:21 PM,-2,12,12,12,5,1,40,0.0,1021,17,10,136,4,Toluca
2018-01-16,17,4,0.0,11.1,3,0,06:51 AM,06:14 PM,07:15 AM,06:22 PM,-2,13,13,13,5,1,39,0.0,1021,17,10,120,4,Toluca
2018-01-17,17,3,0.0,11.1,3,0,07:37 AM,07:05 PM,07:15 AM,06:22 PM,1,11,11,11,5,5,53,0.0,1022,17,10,101,4,Toluca
2018-01-18,17,3,0.0,11.1,3,6,08:20 AM,07:56 PM,07:15 AM,06:23 PM,1,11,11,11,5,8,52,0.0,1021,17,10,143,4,Toluca
2018-01-19,16,4,0.0,11.1,3,13,09:02 AM,08:46 PM,07:15 AM,06:23 PM,-0,12,12,12,6,2,46,0.0,1019,16,10,254,5,Toluca
2018-01-20,17,5,0.0,11.1,4,20,09:42 AM,09:38 PM,07:15 AM,06:24 PM,2,12,12,12,6,3,51,0.0,1018,17,10,262,5,Toluca
2018-01-21,19,6,0.0,11.1,4,28,10:21 AM,10:28 PM,07:15 AM,06:25 PM,2,13,13,13,7,3,48,0.0,1016,19,10,266,5,Toluca
2018-01-22,20,7,0.0,11.1,4,35,11:00 AM,11:21 PM,07:15 AM,06:25 PM,3,15,15,15,6,4,47,0.0,1015,20,10,258,4,Toluca
2018-01-23,18,8,0.0,11.1,4,42,11:40 AM,No moonset,07:15 AM,06:26 PM,6,13,13,13,8,9,63,1.8,1016,18,10,102,6,Toluca
2018-01-24,17,7,0.0,11.1,4,49,12:21 PM,12:14 AM,07:15 AM,06:27 PM,6,12,12,12,6,20,71,3.6,1018,17,10,71,4,Toluca
2018-01-25,15,6,0.0,11.1,3,57,01:06 PM,01:10 AM,07:15 AM,06:27 PM,5,10,10,10,5,30,72,0.8,1020,15,10,99,4,Toluca
2018-01-26,18,6,0.0,11.1,4,64,01:54 PM,02:08 AM,07:15 AM,06:28 PM,5,12,12,12,5,17,68,1.3,1019,18,10,110,3,Toluca
2018-01-27,18,6,0.0,11.1,4,71,02:47 PM,03:10 AM,07:15 AM,06:28 PM,5,12,12,12,5,15,65,0.6,1016,18,10,90,4,Toluca
2018-01-28,15,6,0.0,11.2,3,78,03:45 PM,04:12 AM,07:14 AM,06:29 PM,6,10,11,10,10,22,74,1.1,1017,15,10,46,8,Toluca
2018-01-29,11,5,0.0,11.2,3,86,04:48 PM,05:16 AM,07:14 AM,06:30 PM,4,6,9,6,18,31,76,0.6,1020,11,9,48,14,Toluca
2018-01-30,13,2,0.0,11.2,3,93,05:53 PM,06:17 AM,07:14 AM,06:30 PM,-4,5,7,5,11,14,48,0.2,1022,13,10,52,8,Toluca
2018-01-31,15,4,0.0,11.2,3,97,06:57 PM,07:15 AM,07:14 AM,06:31 PM,2,10,11,10,7,10,57,0.1,1018,15,10,147,5,Toluca
2018-02-01,19,7,0.0,11.2,4,88,08:00 PM,08:08 AM,07:13 AM,06:31 PM,6,13,13,13,4,10,62,1.0,1018,19,10,233,3,Toluca
