date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-8,-16,0.1,3.4,1,97,04:48 PM,07:04 AM,07:51 AM,04:51 PM,-14,-20,-12,-20,27,88,84,0.1,1030,-8,9,273,21,Toronto
2018-01-02,-8,-11,0.0,3.4,1,100,05:55 PM,08:07 AM,07:52 AM,04:52 PM,-11,-19,-9,-19,41,77,84,0.3,1026,-8,9,248,32,Toronto
2018-01-03,-5,-11,0.0,5.2,1,89,07:06 PM,09:02 AM,07:52 AM,04:53 PM,-12,-17,-9,-17,36,59,78,0.0,1018,-5,10,237,28,Toronto
2018-01-04,-8,-16,0.1,3.4,1,81,08:19 PM,09:49 AM,07:51 AM,04:54 PM,-13,-20,-11,-20,33,85,84,0.1,1015,-8,10,311,27,Toronto
2018-01-05,-15,-18,0.0,3.4,1,74,09:32 PM,10:28 AM,07:51 AM,04:55 PM,-18,-28,-16,-28,36,93,85,0.1,1020,-15,7,314,30,Toronto
2018-01-06,-15,-19,0.1,3.4,1,67,10:40 PM,11:02 AM,07:51 AM,04:56 PM,-19,-26,-17,-26,24,71,83,0.1,1031,-15,10,309,19,Toronto
2018-01-07,-3,-17,0.0,3.4,1,59,11:47 PM,11:33 AM,07:51 AM,04:57 PM,-13,-19,-10,-19,36,78,82,0.3,1027,-3,8,225,27,Toronto
2018-01-08,1,-2,0.0,3.4,1,52,No moonrise,12:02 PM,07:51 AM,04:58 PM,-2,-6,-0,-6,38,95,88,1.0,1012,1,9,231,25,Toronto
2018-01-09,-0,-3,0.2,7.0,1,45,12:50 AM,12:29 PM,07:51 AM,05:00 PM,-4,-5,-1,-5,19,73,84,0.2,1024,-0,9,269,12,Toronto
2018-01-10,4,-4,0.0,7.0,2,38,01:52 AM,12:58 PM,07:50 AM,05:01 PM,-2,-5,-1,-5,22,60,91,0.6,1023,4,9,157,13,Toronto
2018-01-11,6,4,0.0,3.6,2,30,02:53 AM,01:29 PM,07:50 AM,05:02 PM,5,1,5,1,44,97,97,0.6,1014,6,8,199,21,Toronto
2018-01-12,8,-10,0.0,3.6,1,23,03:52 AM,02:02 PM,07:50 AM,05:03 PM,-2,-7,-0,-7,44,99,92,1.0,1010,8,8,297,29,Toronto
2018-01-13,-11,-13,0.0,8.7,2,16,04:48 AM,02:39 PM,07:49 AM,05:04 PM,-16,-21,-12,-21,33,60,72,0.0,1027,-11,10,338,28,Toronto
2018-01-14,-7,-12,0.1,3.6,1,9,05:43 AM,03:21 PM,07:49 AM,05:05 PM,-13,-14,-9,-14,14,69,72,0.1,1039,-7,9,219,11,Toronto
2018-01-15,-6,-9,0.8,3.6,1,1,06:34 AM,04:07 PM,07:48 AM,05:07 PM,-11,-16,-8,-16,31,91,79,1.0,1034,-6,6,111,24,Toronto
2018-01-16,-4,-9,0.0,5.3,1,0,07:21 AM,04:59 PM,07:48 AM,05:08 PM,-8,-10,-6,-10,15,79,85,0.0,1029,-4,10,194,11,Toronto
2018-01-17,-6,-9,0.0,5.3,1,0,08:02 AM,05:54 PM,07:47 AM,05:09 PM,-9,-14,-7,-14,31,81,83,0.0,1027,-6,10,243,24,Toronto
2018-01-18,-4,-7,0.0,3.6,1,6,08:40 AM,06:51 PM,07:47 AM,05:10 PM,-8,-13,-5,-13,36,96,81,0.0,1017,-4,10,235,27,Toronto
2018-01-19,1,-4,0.0,5.3,2,13,09:14 AM,07:51 PM,07:46 AM,05:12 PM,-5,-8,-2,-8,39,64,82,0.0,1012,1,10,229,26,Toronto
2018-01-20,2,0,0.0,3.6,1,20,09:45 AM,08:52 PM,07:45 AM,05:13 PM,-1,-4,1,-4,39,76,86,0.0,1011,2,10,238,22,Toronto
2018-01-21,2,-0,0.0,3.6,2,28,10:14 AM,09:54 PM,07:45 AM,05:14 PM,0,-1,1,-1,15,88,94,0.5,1019,2,7,178,8,Toronto
2018-01-22,1,-0,0.0,3.6,1,35,10:42 AM,10:58 PM,07:44 AM,05:16 PM,0,-5,1,-5,36,100,98,4.1,1014,1,7,83,21,Toronto
2018-01-23,3,-2,0.0,3.7,1,42,11:10 AM,No moonset,07:43 AM,05:17 PM,-0,-3,1,-3,36,85,87,0.0,1002,3,7,225,21,Toronto
2018-01-24,-5,-7,0.0,8.7,2,49,11:40 AM,12:03 AM,07:42 AM,05:18 PM,-12,-13,-6,-13,25,57,65,0.0,1022,-5,9,332,20,Toronto
2018-01-25,-3,-9,0.0,5.3,2,57,12:13 PM,01:11 AM,07:41 AM,05:20 PM,-13,-10,-6,-10,11,54,59,0.0,1032,-3,10,203,9,Toronto
2018-01-26,2,-3,0.0,8.7,2,64,12:51 PM,02:19 AM,07:41 AM,05:21 PM,-3,-4,-0,-4,24,22,78,0.0,1030,2,10,146,15,Toronto
2018-01-27,6,3,0.0,5.4,2,71,01:35 PM,03:30 AM,07:40 AM,05:22 PM,0,-1,4,-1,54,59,76,0.0,1019,6,10,220,26,Toronto
2018-01-28,2,-2,0.0,7.0,2,78,02:28 PM,04:40 AM,07:39 AM,05:24 PM,-3,-2,2,-2,19,19,72,0.0,1026,2,10,210,12,Toronto
2018-01-29,-2,-4,2.9,3.7,1,86,03:29 PM,05:46 AM,07:38 AM,05:25 PM,-5,-8,-3,-8,25,84,82,3.4,1025,-2,7,47,18,Toronto
2018-01-30,-6,-11,0.0,8.7,2,93,04:38 PM,06:45 AM,07:37 AM,05:26 PM,-12,-16,-9,-16,29,49,76,0.0,1026,-6,10,322,23,Toronto
2018-01-31,0,-11,0.0,5.4,2,97,05:51 PM,07:36 AM,07:36 AM,05:28 PM,-7,-11,-4,-11,32,58,79,1.9,1015,0,9,205,21,Toronto
