date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,22,9,0.0,8.7,4,97,05:29 PM,06:46 AM,07:25 AM,05:30 PM,-8,16,16,16,9,5,20,0.0,1020,22,10,192,5,Tucson(AZ)
2018-01-02,21,9,0.0,8.7,4,100,06:35 PM,07:50 AM,07:25 AM,05:31 PM,-8,14,14,14,9,30,21,0.0,1019,21,10,158,5,Tucson(AZ)
2018-01-03,20,11,0.0,8.7,5,89,07:43 PM,08:47 AM,07:26 AM,05:32 PM,-9,14,15,14,31,26,19,0.0,1020,20,10,101,18,Tucson(AZ)
2018-01-04,20,13,0.0,8.7,5,81,08:51 PM,09:38 AM,07:26 AM,05:33 PM,-3,16,16,16,15,38,27,0.0,1019,20,10,113,9,Tucson(AZ)
2018-01-05,21,9,0.0,8.7,4,74,09:56 PM,10:22 AM,07:26 AM,05:33 PM,1,16,16,16,10,0,37,0.0,1021,21,10,206,5,Tucson(AZ)
2018-01-06,22,10,0.0,8.7,4,67,10:59 PM,11:02 AM,07:26 AM,05:34 PM,-3,15,15,15,10,25,31,0.0,1020,22,10,219,6,Tucson(AZ)
2018-01-07,19,11,0.0,8.7,4,59,11:58 PM,11:39 AM,07:26 AM,05:35 PM,0,15,15,15,10,12,37,0.0,1017,19,10,244,5,Tucson(AZ)
2018-01-08,22,11,0.0,8.7,5,52,No moonrise,12:13 PM,07:26 AM,05:36 PM,3,16,16,16,13,20,41,0.0,1017,22,10,171,7,Tucson(AZ)
2018-01-09,21,14,0.0,8.7,5,45,12:56 AM,12:47 PM,07:26 AM,05:37 PM,4,17,17,17,26,16,42,0.0,1013,21,10,173,15,Tucson(AZ)
2018-01-10,14,9,0.0,7.1,4,38,01:52 AM,01:22 PM,07:26 AM,05:38 PM,5,9,11,9,23,49,69,3.5,1014,14,10,260,17,Tucson(AZ)
2018-01-11,15,6,0.0,8.7,3,30,02:46 AM,01:57 PM,07:26 AM,05:38 PM,4,11,11,11,11,7,65,0.0,1021,15,10,285,7,Tucson(AZ)
2018-01-12,19,7,0.0,8.7,4,23,03:41 AM,02:35 PM,07:26 AM,05:39 PM,-1,14,14,14,10,0,38,0.0,1021,19,10,181,6,Tucson(AZ)
2018-01-13,21,10,0.0,8.7,4,16,04:33 AM,03:16 PM,07:26 AM,05:40 PM,-2,14,15,14,22,0,32,0.0,1021,21,10,86,13,Tucson(AZ)
2018-01-14,22,10,0.0,8.7,4,9,05:25 AM,04:00 PM,07:25 AM,05:41 PM,-6,15,15,15,19,21,24,0.0,1021,22,10,95,10,Tucson(AZ)
2018-01-15,21,10,0.0,8.7,4,1,06:14 AM,04:47 PM,07:25 AM,05:42 PM,-7,15,15,15,10,22,22,0.0,1018,21,10,234,6,Tucson(AZ)
2018-01-16,18,10,0.0,8.7,4,0,07:02 AM,05:38 PM,07:25 AM,05:43 PM,-5,13,13,13,21,31,28,0.0,1021,18,10,123,14,Tucson(AZ)
2018-01-17,17,6,0.0,8.7,4,0,07:46 AM,06:30 PM,07:25 AM,05:44 PM,-8,9,11,9,28,10,26,0.0,1023,17,10,87,18,Tucson(AZ)
