date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,5,0,0.0,8.7,2,97,04:39 PM,06:08 AM,07:32 AM,05:21 PM,-8,-3,2,-3,30,0,47,0.0,1026,5,10,310,23,Ulsan
2018-01-02,7,1,0.0,8.7,2,100,05:42 PM,07:15 AM,07:33 AM,05:21 PM,-6,-1,3,-1,24,7,52,0.0,1027,7,10,302,16,Ulsan
2018-01-03,4,-0,0.0,8.7,2,89,06:50 PM,08:15 AM,07:33 AM,05:22 PM,-11,-3,1,-3,24,31,41,0.0,1028,4,10,313,18,Ulsan
2018-01-04,4,-1,0.0,7.0,2,81,07:59 PM,09:10 AM,07:33 AM,05:23 PM,-11,-2,1,-2,14,40,40,0.0,1026,4,10,246,10,Ulsan
2018-01-05,6,1,0.0,7.0,2,74,09:08 PM,09:57 AM,07:33 AM,05:24 PM,-7,0,4,0,18,51,48,0.1,1019,6,10,315,13,Ulsan
2018-01-06,6,0,0.0,8.7,2,67,10:13 PM,10:38 AM,07:33 AM,05:25 PM,-8,-2,2,-2,25,0,48,0.0,1021,6,10,315,19,Ulsan
2018-01-07,6,1,0.0,7.0,2,59,11:17 PM,11:16 AM,07:33 AM,05:25 PM,-5,3,4,3,6,40,53,0.0,1022,6,10,280,4,Ulsan
2018-01-08,6,4,0.0,3.7,2,52,No moonrise,11:50 AM,07:33 AM,05:26 PM,3,3,5,3,18,80,83,3.6,1011,6,9,285,12,Ulsan
2018-01-09,4,-0,0.0,7.0,2,45,12:17 AM,12:22 PM,07:33 AM,05:27 PM,-5,-4,2,-4,35,36,63,0.1,1012,4,9,280,28,Ulsan
2018-01-10,1,-4,0.0,7.0,2,38,01:16 AM,12:55 PM,07:33 AM,05:28 PM,-8,-6,-0,-6,27,39,58,0.1,1016,1,10,289,22,Ulsan
