date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-8,-14,0.0,8.7,2,97,04:11 PM,06:24 AM,07:44 AM,04:42 PM,-14,-13,-10,-13,9,14,72,0.0,1036,-8,10,296,5,Urumqi
2018-01-02,-11,-15,0.0,8.7,2,100,05:15 PM,07:31 AM,07:44 AM,04:43 PM,-17,-15,-13,-15,7,12,71,0.0,1039,-11,10,226,4,Urumqi
2018-01-03,-12,-17,0.0,8.7,2,89,06:24 PM,08:30 AM,07:44 AM,04:44 PM,-17,-18,-14,-18,9,16,77,0.0,1032,-12,10,205,5,Urumqi
2018-01-04,-13,-18,0.0,8.7,2,81,07:38 PM,09:21 AM,07:44 AM,04:45 PM,-20,-20,-15,-20,12,17,70,0.0,1032,-13,10,264,7,Urumqi
2018-01-05,-13,-19,0.0,8.7,2,74,08:50 PM,10:03 AM,07:44 AM,04:46 PM,-20,-20,-16,-20,11,20,70,0.0,1038,-13,10,280,6,Urumqi
2018-01-06,-12,-17,0.0,8.7,2,67,10:01 PM,10:39 AM,07:44 AM,04:47 PM,-21,-17,-14,-17,9,2,56,0.0,1039,-12,10,246,5,Urumqi
2018-01-07,-10,-16,0.0,8.7,2,59,11:08 PM,11:11 AM,07:44 AM,04:48 PM,-19,-14,-11,-14,8,2,54,0.0,1040,-10,10,156,4,Urumqi
2018-01-08,-8,-15,0.0,8.7,2,52,No moonrise,11:41 AM,07:44 AM,04:49 PM,-18,-13,-10,-13,10,5,52,0.0,1039,-8,10,184,5,Urumqi
2018-01-09,-5,-11,0.0,8.7,2,45,12:13 AM,12:08 PM,07:43 AM,04:51 PM,-17,-10,-7,-10,10,2,45,0.0,1039,-5,10,159,5,Urumqi
2018-01-10,-4,-11,0.0,8.7,2,38,01:16 AM,12:36 PM,07:43 AM,04:52 PM,-15,-10,-7,-10,12,2,52,0.0,1036,-4,10,157,6,Urumqi
2018-01-11,-4,-11,0.0,8.7,2,30,02:17 AM,01:06 PM,07:43 AM,04:53 PM,-14,-11,-7,-11,16,4,57,0.0,1032,-4,10,176,8,Urumqi
