date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,4,1,0.0,8.2,2,97,04:31 PM,07:26 AM,08:08 AM,04:25 PM,-4,1,3,1,10,25,60,0.0,1029,4,10,140,7,Vancouver
2018-01-02,5,2,0.0,3.1,1,100,05:40 PM,08:28 AM,08:08 AM,04:26 PM,-1,4,4,4,7,59,68,0.0,1028,5,10,208,4,Vancouver
2018-01-03,6,3,0.0,8.2,2,89,06:54 PM,09:20 AM,08:07 AM,04:27 PM,1,5,6,5,6,9,73,0.0,1022,6,10,137,4,Vancouver
2018-01-04,6,3,0.0,6.8,2,81,08:11 PM,10:02 AM,08:07 AM,04:28 PM,1,5,6,5,6,44,74,0.4,1016,6,9,108,3,Vancouver
2018-01-05,7,6,0.0,3.1,2,74,09:27 PM,10:37 AM,08:07 AM,04:29 PM,6,6,7,6,12,100,95,14.6,1014,7,5,120,7,Vancouver
2018-01-06,7,5,0.0,3.1,2,67,10:40 PM,11:07 AM,08:07 AM,04:30 PM,5,4,6,4,12,95,92,3.7,1021,7,8,199,8,Vancouver
2018-01-07,5,4,0.0,3.1,1,59,11:50 PM,11:33 AM,08:06 AM,04:32 PM,3,1,5,1,21,100,92,11.6,1017,5,7,118,15,Vancouver
2018-01-08,6,5,0.0,3.1,2,52,No moonrise,11:58 AM,08:06 AM,04:33 PM,5,3,5,3,13,100,95,11.7,1007,6,6,82,9,Vancouver
2018-01-09,6,4,0.0,5.0,2,45,12:57 AM,12:22 PM,08:06 AM,04:34 PM,4,3,5,3,14,80,91,5.5,1004,6,10,240,10,Vancouver
2018-01-10,5,3,0.0,3.1,1,38,02:03 AM,12:47 PM,08:05 AM,04:35 PM,2,2,4,2,11,92,87,0.3,1015,5,9,201,8,Vancouver
2018-01-11,3,2,0.0,3.1,1,30,03:06 AM,01:15 PM,08:05 AM,04:37 PM,1,-1,3,-1,20,100,86,10.7,1013,3,8,57,14,Vancouver
2018-01-12,5,2,0.0,3.1,1,23,04:08 AM,01:46 PM,08:04 AM,04:38 PM,3,2,4,2,13,100,92,10.0,1024,5,7,91,9,Vancouver
2018-01-13,7,5,0.0,3.1,2,16,05:07 AM,02:21 PM,08:03 AM,04:39 PM,5,5,6,5,13,71,92,6.1,1029,7,8,46,8,Vancouver
2018-01-14,8,6,0.0,8.4,3,9,06:03 AM,03:02 PM,08:03 AM,04:41 PM,6,8,8,8,10,14,83,0.0,1023,8,10,229,5,Vancouver
2018-01-15,9,6,0.0,6.9,3,1,06:54 AM,03:49 PM,08:02 AM,04:42 PM,5,7,8,7,12,46,79,0.0,1016,9,10,99,6,Vancouver
2018-01-16,8,6,0.0,3.2,2,0,07:40 AM,04:41 PM,08:01 AM,04:44 PM,6,5,7,5,23,77,90,19.9,1019,8,8,132,14,Vancouver
2018-01-17,8,6,0.0,3.2,2,0,08:19 AM,05:39 PM,08:00 AM,04:45 PM,5,4,7,4,35,84,87,9.6,1010,8,9,110,20,Vancouver
2018-01-18,7,5,0.0,3.2,2,6,08:54 AM,06:39 PM,08:00 AM,04:47 PM,4,2,6,2,31,88,87,10.1,1005,7,9,158,20,Vancouver
2018-01-19,6,5,0.0,3.3,1,13,09:25 AM,07:43 PM,07:59 AM,04:48 PM,3,1,5,1,34,96,88,12.8,1009,6,9,141,24,Vancouver
2018-01-20,6,5,0.0,3.3,2,20,09:52 AM,08:47 PM,07:58 AM,04:50 PM,3,0,5,0,38,90,88,11.2,1012,6,9,154,26,Vancouver
2018-01-21,6,5,0.0,5.1,2,28,10:17 AM,09:54 PM,07:57 AM,04:51 PM,3,1,6,1,51,90,83,21.0,1006,6,9,171,33,Vancouver
2018-01-22,6,5,0.0,6.9,2,35,10:41 AM,11:01 PM,07:56 AM,04:53 PM,3,1,5,1,27,67,84,9.1,1020,6,9,182,19,Vancouver
2018-01-23,5,4,0.0,3.4,1,42,11:06 AM,No moonset,07:55 AM,04:55 PM,3,0,4,0,31,99,88,9.4,1013,5,9,102,21,Vancouver
2018-01-24,6,5,0.0,6.9,2,49,11:32 AM,12:11 AM,07:54 AM,04:56 PM,4,3,6,3,25,81,91,11.5,1002,6,9,134,16,Vancouver
