date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,28,17,0.0,8.7,6,97,05:04 PM,05:27 AM,06:41 AM,05:46 PM,14,23,23,23,6,10,59,0.0,1015,28,10,74,4,Vientiane
2018-01-02,28,18,0.0,8.7,6,100,06:08 PM,06:31 AM,06:41 AM,05:46 PM,14,24,24,23,7,11,60,0.0,1014,28,10,76,5,Vientiane
2018-01-03,29,18,0.0,8.7,6,89,07:13 PM,07:34 AM,06:41 AM,05:47 PM,15,24,24,24,8,27,59,0.0,1013,29,10,110,5,Vientiane
2018-01-04,30,19,0.0,8.7,6,81,08:17 PM,08:32 AM,06:42 AM,05:47 PM,15,25,25,25,6,19,57,0.0,1012,30,10,93,4,Vientiane
2018-01-05,32,21,0.0,8.7,7,74,09:19 PM,09:25 AM,06:42 AM,05:48 PM,16,28,28,26,7,13,56,0.0,1010,32,10,144,4,Vientiane
2018-01-06,32,22,0.0,8.7,7,67,10:17 PM,10:13 AM,06:42 AM,05:49 PM,18,29,29,27,7,42,59,0.0,1010,32,10,119,5,Vientiane
2018-01-07,32,23,0.0,5.7,6,59,11:12 PM,10:57 AM,06:42 AM,05:49 PM,19,30,30,28,8,63,60,0.0,1010,32,10,107,5,Vientiane
2018-01-08,34,24,0.0,7.2,7,52,No moonrise,11:39 AM,06:43 AM,05:50 PM,20,31,31,28,7,54,64,0.0,1011,34,10,76,5,Vientiane
2018-01-09,30,22,0.0,7.2,7,45,12:05 AM,12:18 PM,06:43 AM,05:50 PM,19,28,28,26,17,61,66,0.2,1013,30,10,128,12,Vientiane
2018-01-10,23,18,0.0,5.7,5,38,12:56 AM,12:58 PM,06:43 AM,05:51 PM,11,20,21,20,13,63,55,0.0,1017,23,10,103,10,Vientiane
