date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-6,-11,0.0,5.2,2,97,04:51 PM,06:40 AM,07:27 AM,04:57 PM,-16,-13,-8,-13,16,41,54,0.0,1033,-6,10,308,12,Washington(DC)
2018-01-02,-5,-11,0.0,8.7,2,100,05:58 PM,07:44 AM,07:27 AM,04:58 PM,-18,-12,-7,-12,13,8,40,0.0,1034,-5,10,268,11,Washington(DC)
2018-01-03,-1,-9,0.0,7.0,2,89,07:08 PM,08:40 AM,07:27 AM,04:59 PM,-16,-5,-3,-5,6,55,37,0.0,1024,-1,10,128,4,Washington(DC)
2018-01-04,-4,-10,1.7,5.3,1,81,08:18 PM,09:30 AM,07:27 AM,05:00 PM,-10,-13,-6,-13,33,78,73,2.0,1008,-4,9,278,23,Washington(DC)
2018-01-05,-8,-13,0.0,8.7,2,74,09:28 PM,10:11 AM,07:27 AM,05:00 PM,-18,-18,-10,-18,27,13,54,0.0,1020,-8,10,291,19,Washington(DC)
2018-01-06,-9,-14,0.0,8.7,2,67,10:33 PM,10:48 AM,07:27 AM,05:01 PM,-18,-17,-10,-17,19,2,53,0.0,1031,-9,10,301,15,Washington(DC)
2018-01-07,-6,-14,0.0,8.7,2,59,11:37 PM,11:22 AM,07:27 AM,05:02 PM,-16,-12,-8,-12,10,20,56,0.0,1036,-6,10,247,7,Washington(DC)
2018-01-08,2,-9,0.0,7.0,2,52,No moonrise,11:53 AM,07:27 AM,05:03 PM,-9,-7,-3,-7,15,47,66,1.7,1024,2,10,212,10,Washington(DC)
2018-01-09,6,-2,0.0,8.7,2,45,12:38 AM,12:24 PM,07:27 AM,05:04 PM,1,2,3,2,9,26,86,0.0,1024,6,8,281,5,Washington(DC)
2018-01-10,4,-1,0.0,5.3,1,38,01:37 AM,12:55 PM,07:27 AM,05:05 PM,-1,0,2,0,10,49,82,0.0,1031,4,10,110,6,Washington(DC)
2018-01-11,12,1,0.0,7.0,2,30,02:35 AM,01:28 PM,07:27 AM,05:06 PM,7,7,8,7,13,66,95,0.0,1026,12,5,152,6,Washington(DC)
2018-01-12,18,13,0.0,3.7,4,23,03:32 AM,02:03 PM,07:26 AM,05:07 PM,15,16,16,16,21,96,95,1.8,1009,18,6,163,12,Washington(DC)
2018-01-13,15,-5,0.1,5.4,1,16,04:27 AM,02:42 PM,07:26 AM,05:08 PM,-4,-2,2,-2,28,64,63,0.1,1016,15,8,307,22,Washington(DC)
2018-01-14,-3,-9,0.0,8.7,2,9,05:20 AM,03:25 PM,07:26 AM,05:09 PM,-18,-10,-5,-10,15,7,36,0.0,1037,-3,10,225,13,Washington(DC)
2018-01-15,-1,-8,0.0,5.4,1,1,06:10 AM,04:11 PM,07:25 AM,05:10 PM,-11,-6,-3,-6,7,51,55,0.0,1035,-1,10,55,6,Washington(DC)
2018-01-16,3,-3,0.0,8.7,2,0,06:57 AM,05:02 PM,07:25 AM,05:12 PM,-5,-0,0,-0,6,54,69,0.0,1030,3,10,163,4,Washington(DC)
2018-01-17,0,-7,0.0,3.7,1,0,07:41 AM,05:56 PM,07:25 AM,05:13 PM,-9,-9,-4,-9,20,80,67,0.0,1028,0,10,328,15,Washington(DC)
