date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,11,6,0.0,5.4,2,97,04:52 PM,06:00 AM,07:20 AM,05:33 PM,-1,9,10,9,11,48,48,0.0,1023,11,10,123,8,Wuhan
2018-01-02,9,7,0.0,3.8,2,100,05:56 PM,07:06 AM,07:21 AM,05:34 PM,2,7,9,7,16,82,61,0.9,1025,9,7,32,11,Wuhan
2018-01-03,7,2,0.0,3.8,2,89,07:03 PM,08:08 AM,07:21 AM,05:34 PM,2,1,5,1,30,100,81,12.0,1029,7,9,23,21,Wuhan
2018-01-04,2,-4,0.4,3.8,1,81,08:10 PM,09:03 AM,07:21 AM,05:35 PM,-1,-5,-0,-5,23,95,94,8.4,1027,2,8,139,16,Wuhan
2018-01-05,2,-6,0.0,5.4,1,74,09:17 PM,09:52 AM,07:21 AM,05:36 PM,-2,-3,-1,-3,12,77,90,0.2,1027,2,9,179,8,Wuhan
2018-01-06,2,0,0.0,3.8,1,67,10:20 PM,10:35 AM,07:21 AM,05:37 PM,-0,-2,2,-2,17,94,88,1.5,1023,2,8,109,13,Wuhan
2018-01-07,1,-1,0.2,5.4,2,59,11:21 PM,11:15 AM,07:21 AM,05:37 PM,-2,-3,1,-3,14,62,83,0.3,1023,1,9,340,11,Wuhan
2018-01-08,5,0,0.0,8.7,2,52,No moonrise,11:51 AM,07:21 AM,05:38 PM,-3,0,3,0,13,21,67,0.0,1028,5,10,308,10,Wuhan
2018-01-09,9,0,0.0,8.7,2,45,12:19 AM,12:26 PM,07:21 AM,05:39 PM,-1,5,7,5,13,5,59,0.0,1029,9,10,260,11,Wuhan
2018-01-10,10,2,0.0,8.7,3,38,01:15 AM,01:00 PM,07:21 AM,05:40 PM,1,9,9,9,6,0,57,0.0,1031,10,10,192,5,Wuhan
2018-01-11,9,2,0.0,8.7,2,30,02:09 AM,01:36 PM,07:21 AM,05:41 PM,-0,7,8,7,10,0,55,0.0,1034,9,10,41,9,Wuhan
2018-01-12,8,0,0.0,8.7,2,23,03:04 AM,02:13 PM,07:21 AM,05:42 PM,-2,5,7,5,12,17,56,0.0,1034,8,10,84,9,Wuhan
2018-01-13,8,2,0.0,8.7,3,16,03:57 AM,02:52 PM,07:21 AM,05:42 PM,-4,4,6,4,16,46,50,0.0,1029,8,10,114,11,Wuhan
2018-01-14,13,5,0.0,8.7,3,9,04:49 AM,03:35 PM,07:21 AM,05:43 PM,-1,9,10,9,11,21,47,0.0,1024,13,10,137,8,Wuhan
2018-01-15,13,6,0.0,8.7,3,1,05:40 AM,04:20 PM,07:21 AM,05:44 PM,1,10,11,10,11,39,51,0.0,1020,13,10,131,8,Wuhan
2018-01-16,10,6,0.0,5.5,3,0,06:28 AM,05:09 PM,07:21 AM,05:45 PM,4,9,9,9,8,60,72,1.4,1019,10,9,231,6,Wuhan
2018-01-17,12,5,0.0,8.7,3,0,07:14 AM,06:00 PM,07:21 AM,05:46 PM,6,11,12,11,8,0,69,0.0,1019,12,10,128,7,Wuhan
2018-01-18,9,6,0.0,5.5,3,6,07:57 AM,06:52 PM,07:21 AM,05:47 PM,4,6,8,6,12,50,74,0.9,1024,9,8,185,10,Wuhan
2018-01-19,10,6,0.0,5.5,2,13,08:37 AM,07:46 PM,07:20 AM,05:48 PM,3,7,8,7,7,78,75,0.6,1025,10,9,275,6,Wuhan
2018-01-20,11,5,0.0,8.7,3,20,09:15 AM,08:41 PM,07:20 AM,05:48 PM,4,9,9,9,4,24,71,0.6,1022,11,9,194,3,Wuhan
2018-01-21,9,5,0.0,5.5,2,28,09:51 AM,09:36 PM,07:20 AM,05:49 PM,4,8,8,8,7,70,77,3.9,1021,9,9,173,5,Wuhan
2018-01-22,12,4,0.0,8.7,3,35,10:25 AM,10:32 PM,07:19 AM,05:50 PM,5,11,12,11,8,0,64,0.0,1020,12,10,117,7,Wuhan
