date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-6,-11,0.0,5.8,2,97,04:08 PM,08:11 AM,09:35 AM,04:27 PM,-11,-15,-9,-15,25,21,87,0.0,1030,-6,10,162,15,Yekaterinburg
2018-01-02,-11,-14,0.0,1.7,2,100,05:12 PM,09:20 AM,09:35 AM,04:29 PM,-13,-18,-12,-18,16,67,94,0.0,1027,-11,6,157,10,Yekaterinburg
2018-01-03,-7,-10,0.0,1.7,1,89,06:28 PM,10:14 AM,09:34 AM,04:30 PM,-10,-12,-9,-12,11,76,95,0.1,1029,-7,5,208,6,Yekaterinburg
2018-01-04,-6,-11,0.0,5.8,1,81,07:51 PM,10:55 AM,09:34 AM,04:31 PM,-9,-11,-9,-11,10,37,94,0.0,1031,-6,6,197,5,Yekaterinburg
2018-01-05,-7,-13,0.0,1.8,2,74,09:15 PM,11:26 AM,09:33 AM,04:33 PM,-11,-13,-10,-13,10,38,88,0.0,1032,-7,10,204,5,Yekaterinburg
2018-01-06,-8,-15,0.0,5.8,2,67,10:37 PM,11:51 AM,09:33 AM,04:34 PM,-13,-13,-10,-13,10,4,77,0.0,1031,-8,10,204,5,Yekaterinburg
2018-01-07,-7,-16,0.0,1.8,1,59,11:56 PM,12:11 PM,09:32 AM,04:36 PM,-13,-16,-12,-16,14,62,87,0.0,1025,-7,9,184,8,Yekaterinburg
2018-01-08,-3,-10,1.9,1.8,1,52,No moonrise,12:30 PM,09:31 AM,04:38 PM,-8,-12,-6,-12,25,100,88,2.3,1005,-3,6,203,17,Yekaterinburg
2018-01-09,-6,-9,0.1,1.8,1,45,01:12 AM,12:47 PM,09:30 AM,04:39 PM,-10,-15,-7,-15,31,100,81,0.2,1002,-6,9,255,21,Yekaterinburg
2018-01-10,-8,-10,0.0,1.8,1,38,02:25 AM,01:06 PM,09:30 AM,04:41 PM,-11,-16,-9,-16,23,93,88,0.0,1006,-8,10,260,14,Yekaterinburg
2018-01-11,-11,-20,0.2,3.8,1,30,03:37 AM,01:26 PM,09:29 AM,04:43 PM,-16,-22,-15,-22,17,85,93,0.2,1011,-11,7,319,10,Yekaterinburg
2018-01-12,-16,-22,0.0,1.8,1,23,04:46 AM,01:49 PM,09:28 AM,04:45 PM,-21,-28,-20,-28,21,83,92,0.0,1026,-16,8,307,12,Yekaterinburg
2018-01-13,-19,-24,0.0,5.8,2,16,05:53 AM,02:16 PM,09:27 AM,04:46 PM,-23,-30,-21,-30,24,24,88,0.0,1032,-19,10,275,15,Yekaterinburg
2018-01-14,-16,-20,0.1,1.8,1,9,06:54 AM,02:51 PM,09:26 AM,04:48 PM,-19,-27,-18,-27,23,86,91,0.1,1030,-16,10,279,15,Yekaterinburg
2018-01-15,-5,-16,0.0,1.8,1,1,07:51 AM,03:33 PM,09:24 AM,04:50 PM,-11,-16,-10,-16,21,80,91,0.0,1030,-5,9,287,13,Yekaterinburg
2018-01-16,-6,-12,0.0,5.8,2,0,08:39 AM,04:22 PM,09:23 AM,04:52 PM,-10,-14,-9,-14,18,51,93,0.0,1027,-6,7,282,10,Yekaterinburg
2018-01-17,-8,-14,0.0,5.8,2,0,09:19 AM,05:21 PM,09:22 AM,04:54 PM,-12,-14,-11,-14,10,20,93,0.0,1028,-8,6,266,5,Yekaterinburg
2018-01-18,-11,-18,0.0,5.8,1,6,09:52 AM,06:24 PM,09:20 AM,04:56 PM,-15,-19,-15,-19,11,56,95,0.0,1031,-11,3,279,6,Yekaterinburg
2018-01-19,-15,-21,0.0,1.8,1,13,10:19 AM,07:33 PM,09:19 AM,04:58 PM,-18,-21,-18,-21,7,95,97,0.0,1036,-15,2,172,4,Yekaterinburg
2018-01-20,-20,-24,0.0,2.0,1,20,10:41 AM,08:43 PM,09:18 AM,05:00 PM,-22,-27,-22,-27,10,100,98,0.0,1042,-20,0,68,6,Yekaterinburg
2018-01-21,-18,-23,0.2,2.0,1,28,11:01 AM,09:56 PM,09:16 AM,05:02 PM,-21,-29,-21,-29,19,100,95,0.2,1043,-18,7,112,13,Yekaterinburg
2018-01-22,-25,-27,0.0,2.0,1,35,11:19 AM,11:10 PM,09:15 AM,05:05 PM,-27,-36,-25,-36,25,86,88,0.0,1048,-25,10,130,17,Yekaterinburg
2018-01-23,-23,-25,0.0,3.9,1,42,11:37 AM,No moonset,09:13 AM,05:07 PM,-27,-35,-24,-35,27,76,78,0.0,1050,-23,10,146,18,Yekaterinburg
2018-01-24,-22,-25,0.0,2.0,1,49,11:55 AM,12:25 AM,09:11 AM,05:09 PM,-25,-34,-23,-34,26,78,86,0.0,1050,-22,10,150,17,Yekaterinburg
2018-01-25,-18,-24,0.0,5.8,2,57,12:16 PM,01:43 AM,09:10 AM,05:11 PM,-23,-31,-21,-31,25,63,87,0.0,1054,-18,10,160,15,Yekaterinburg
2018-01-26,-12,-21,0.0,2.0,1,64,12:41 PM,03:03 AM,09:08 AM,05:13 PM,-19,-23,-16,-23,21,74,79,0.0,1054,-12,10,189,11,Yekaterinburg
2018-01-27,-9,-14,0.0,5.8,2,71,01:12 PM,04:24 AM,09:06 AM,05:16 PM,-17,-19,-11,-19,34,20,63,0.0,1050,-9,10,248,20,Yekaterinburg
2018-01-28,-9,-12,0.0,5.8,2,78,01:54 PM,05:44 AM,09:04 AM,05:18 PM,-17,-19,-11,-19,41,9,59,0.0,1041,-9,10,255,24,Yekaterinburg
2018-01-29,-10,-14,0.0,3.9,1,86,02:48 PM,06:56 AM,09:02 AM,05:20 PM,-16,-20,-12,-20,27,53,73,0.0,1037,-10,10,257,16,Yekaterinburg
2018-01-30,-6,-16,0.0,6.8,2,93,03:57 PM,07:58 AM,09:00 AM,05:22 PM,-15,-16,-11,-16,17,14,73,0.0,1037,-6,10,208,9,Yekaterinburg
2018-01-31,-12,-20,0.0,5.1,1,97,05:16 PM,08:45 AM,08:59 AM,05:24 PM,-19,-22,-16,-22,17,67,78,0.0,1028,-12,9,143,9,Yekaterinburg
2018-02-01,-18,-23,0.0,6.9,1,88,06:41 PM,09:22 AM,08:57 AM,05:27 PM,-20,-26,-19,-26,15,89,95,0.0,1022,-18,3,146,9,Yekaterinburg
2018-02-02,-9,-17,0.0,3.3,1,81,08:07 PM,09:51 AM,08:55 AM,05:29 PM,-14,-15,-13,-15,7,99,95,0.0,1026,-9,6,200,4,Yekaterinburg
2018-02-03,-7,-14,0.0,5.1,1,73,09:31 PM,10:14 AM,08:52 AM,05:31 PM,-12,-14,-11,-14,10,85,94,0.0,1031,-7,4,197,5,Yekaterinburg
2018-02-04,-6,-14,0.0,8.7,2,66,10:51 PM,10:34 AM,08:50 AM,05:34 PM,-11,-15,-10,-15,16,33,92,0.0,1033,-6,6,182,9,Yekaterinburg
2018-02-05,-6,-13,0.0,8.7,2,58,No moonrise,10:52 AM,08:48 AM,05:36 PM,-12,-15,-10,-15,18,13,86,0.0,1032,-6,10,172,10,Yekaterinburg
2018-02-06,-1,-12,0.0,8.7,2,51,12:08 AM,11:11 AM,08:46 AM,05:38 PM,-10,-10,-7,-10,11,12,75,0.0,1038,-1,10,215,6,Yekaterinburg
2018-02-07,-2,-10,0.0,8.7,2,43,01:22 AM,11:31 AM,08:44 AM,05:40 PM,-10,-8,-6,-8,9,16,76,0.0,1047,-2,10,241,5,Yekaterinburg
2018-02-08,-5,-13,0.0,8.7,1,36,02:33 AM,11:53 AM,08:42 AM,05:43 PM,-10,-12,-9,-12,9,39,94,0.0,1047,-5,6,184,5,Yekaterinburg
2018-02-09,-5,-14,0.0,8.7,2,28,03:42 AM,12:19 PM,08:40 AM,05:45 PM,-11,-11,-9,-11,6,13,88,0.0,1043,-5,10,174,3,Yekaterinburg
2018-02-10,-8,-16,0.0,8.7,2,20,04:45 AM,12:51 PM,08:37 AM,05:47 PM,-12,-13,-11,-13,6,40,91,0.0,1037,-8,8,43,4,Yekaterinburg
2018-02-11,-9,-12,0.0,3.4,1,13,05:44 AM,01:30 PM,08:35 AM,05:49 PM,-11,-15,-11,-15,12,100,95,0.0,1032,-9,4,36,9,Yekaterinburg
2018-02-12,-11,-14,0.5,3.4,1,5,06:35 AM,02:16 PM,08:33 AM,05:52 PM,-13,-18,-12,-18,15,100,95,0.6,1029,-11,5,31,11,Yekaterinburg
2018-02-13,-12,-16,0.4,3.5,1,0,07:18 AM,03:12 PM,08:30 AM,05:54 PM,-14,-19,-14,-19,13,100,95,0.4,1029,-12,7,18,9,Yekaterinburg
2018-02-14,-9,-19,0.1,8.7,2,0,07:54 AM,04:14 PM,08:28 AM,05:56 PM,-14,-19,-14,-19,14,65,93,0.1,1030,-9,7,336,8,Yekaterinburg
2018-02-15,-5,-10,0.1,3.5,1,0,08:23 AM,05:22 PM,08:26 AM,05:58 PM,-9,-12,-8,-12,15,100,93,0.1,1032,-5,5,303,10,Yekaterinburg
2018-02-16,-6,-11,0.0,9.8,2,2,08:47 AM,06:32 PM,08:23 AM,06:01 PM,-10,-13,-9,-13,15,65,93,0.0,1038,-6,6,290,9,Yekaterinburg
2018-02-17,-6,-11,0.0,6.6,1,10,09:08 AM,07:45 PM,08:21 AM,06:03 PM,-10,-15,-9,-15,21,67,91,0.0,1039,-6,8,264,13,Yekaterinburg
2018-02-18,-4,-10,0.0,9.9,2,17,09:27 AM,08:59 PM,08:19 AM,06:05 PM,-9,-13,-7,-13,20,54,89,0.0,1036,-4,10,256,12,Yekaterinburg
2018-02-19,-4,-11,0.0,8.3,1,25,09:44 AM,10:15 PM,08:16 AM,06:07 PM,-9,-11,-8,-11,12,58,89,0.0,1030,-4,10,209,7,Yekaterinburg
2018-02-20,-7,-9,1.1,5.0,1,32,10:02 AM,11:32 PM,08:14 AM,06:10 PM,-8,-12,-8,-12,12,100,94,1.3,1019,-7,5,169,8,Yekaterinburg
2018-02-21,-6,-11,0.4,5.0,1,40,10:21 AM,No moonset,08:11 AM,06:12 PM,-10,-14,-9,-14,14,98,91,0.5,1013,-6,7,271,9,Yekaterinburg
2018-02-22,-8,-16,0.2,5.0,1,47,10:44 AM,12:50 AM,08:09 AM,06:14 PM,-13,-18,-12,-18,18,86,88,0.3,1016,-8,8,250,11,Yekaterinburg
2018-02-23,-12,-19,0.0,5.1,1,55,11:12 AM,02:09 AM,08:06 AM,06:16 PM,-17,-22,-16,-22,15,93,90,0.0,1020,-12,7,249,9,Yekaterinburg
2018-02-24,-12,-22,0.1,5.1,1,62,11:48 AM,03:28 AM,08:04 AM,06:19 PM,-19,-24,-18,-24,16,100,90,0.1,1023,-12,6,252,10,Yekaterinburg
2018-02-25,-13,-23,0.0,5.1,1,70,12:35 PM,04:40 AM,08:01 AM,06:21 PM,-20,-23,-18,-23,11,87,91,0.0,1027,-13,7,162,6,Yekaterinburg
2018-02-26,-15,-22,0.7,5.3,1,77,01:36 PM,05:44 AM,07:59 AM,06:23 PM,-19,-26,-18,-26,18,99,95,0.8,1031,-15,6,67,13,Yekaterinburg
2018-02-27,-16,-20,4.5,5.3,1,85,02:48 PM,06:36 AM,07:56 AM,06:25 PM,-18,-25,-17,-25,19,100,96,5.3,1029,-16,4,91,14,Yekaterinburg
2018-02-28,-17,-24,0.3,5.4,1,93,04:09 PM,07:17 AM,07:54 AM,06:27 PM,-20,-27,-20,-27,18,99,94,0.4,1028,-17,5,307,12,Yekaterinburg
2018-03-01,-9,-25,0.0,5.4,1,96,05:34 PM,07:49 AM,07:51 AM,06:30 PM,-17,-23,-15,-23,23,89,90,0.0,1026,-9,8,285,15,Yekaterinburg
2018-03-02,-6,-14,0.1,7.0,1,100,06:59 PM,08:14 AM,07:49 AM,06:32 PM,-11,-14,-10,-14,14,82,90,0.1,1024,-6,8,282,9,Yekaterinburg
2018-03-03,-5,-16,0.0,5.4,1,89,08:22 PM,08:35 AM,07:46 AM,06:34 PM,-12,-15,-11,-15,12,91,92,0.0,1021,-5,7,250,7,Yekaterinburg
2018-03-04,-5,-16,0.0,10.1,2,82,09:43 PM,08:55 AM,07:44 AM,06:36 PM,-12,-13,-11,-13,9,63,90,0.0,1016,-5,7,225,5,Yekaterinburg
2018-03-05,-4,-11,0.5,5.5,1,74,11:00 PM,09:14 AM,07:41 AM,06:38 PM,-8,-13,-7,-13,20,100,94,0.6,1006,-4,6,161,14,Yekaterinburg
2018-03-06,-4,-14,1.2,7.0,1,67,No moonrise,09:33 AM,07:38 AM,06:41 PM,-9,-14,-8,-14,24,94,87,1.4,993,-4,7,238,17,Yekaterinburg
2018-03-07,-13,-19,0.0,5.5,1,60,12:15 AM,09:54 AM,07:36 AM,06:43 PM,-18,-26,-15,-26,36,100,79,0.1,1004,-13,9,280,26,Yekaterinburg
2018-03-08,-8,-14,0.0,7.1,1,53,01:26 AM,10:19 AM,07:33 AM,06:45 PM,-14,-20,-11,-20,29,77,81,0.0,1014,-8,10,265,20,Yekaterinburg
2018-03-09,-8,-17,0.1,5.6,1,45,02:33 AM,10:49 AM,07:30 AM,06:47 PM,-14,-18,-13,-18,17,88,89,0.1,1013,-8,8,276,11,Yekaterinburg
2018-03-10,-11,-18,0.0,5.6,1,38,03:35 AM,11:25 AM,07:28 AM,06:49 PM,-15,-20,-14,-20,13,100,92,0.0,1020,-11,6,128,8,Yekaterinburg
2018-03-11,-9,-21,0.0,5.6,1,31,04:29 AM,12:09 PM,07:25 AM,06:52 PM,-16,-18,-15,-18,8,92,91,0.0,1029,-9,6,265,4,Yekaterinburg
2018-03-12,-6,-19,0.0,5.7,1,24,05:16 AM,01:01 PM,07:22 AM,06:54 PM,-13,-13,-11,-13,7,71,90,0.0,1031,-6,7,247,4,Yekaterinburg
2018-03-13,-5,-16,0.0,11.4,2,16,05:54 AM,02:01 PM,07:20 AM,06:56 PM,-12,-15,-11,-15,14,34,90,0.0,1028,-5,9,256,8,Yekaterinburg
2018-03-14,-4,-14,0.2,5.7,1,9,06:25 AM,03:07 PM,07:17 AM,06:58 PM,-11,-15,-8,-15,31,81,80,0.3,1021,-4,9,249,20,Yekaterinburg
2018-03-15,-1,-9,0.0,11.6,2,2,06:50 AM,04:17 PM,07:14 AM,07:00 PM,-9,-11,-5,-11,28,25,75,0.0,1019,-1,10,249,18,Yekaterinburg
2018-03-16,2,-9,0.0,11.6,2,0,07:12 AM,05:30 PM,07:11 AM,07:02 PM,-7,-8,-4,-8,22,31,79,0.0,1017,2,10,204,13,Yekaterinburg
2018-03-17,1,-11,0.4,7.4,1,0,07:32 AM,06:45 PM,07:09 AM,07:05 PM,-5,-9,-4,-9,23,79,87,0.5,1012,1,8,216,14,Yekaterinburg
2018-03-18,0,-14,2.6,6.0,1,5,07:50 AM,08:01 PM,07:06 AM,07:07 PM,-9,-13,-8,-13,18,92,92,3.0,1008,0,7,188,12,Yekaterinburg
2018-03-19,-6,-18,1.7,10.2,2,13,08:08 AM,09:20 PM,07:03 AM,07:09 PM,-14,-21,-12,-21,34,57,82,2.1,1005,-6,8,280,25,Yekaterinburg
2018-03-20,-3,-13,0.0,10.2,2,20,08:27 AM,10:39 PM,07:01 AM,07:11 PM,-11,-14,-8,-14,18,44,80,0.0,1015,-3,10,248,12,Yekaterinburg
2018-03-21,-1,-14,0.0,10.3,2,27,08:49 AM,12:00 AM,06:58 AM,07:13 PM,-9,-11,-7,-11,16,34,86,0.0,1014,-1,10,255,10,Yekaterinburg
2018-03-22,-5,-9,2.3,6.3,1,34,09:15 AM,No moonset,06:55 AM,07:15 PM,-7,-11,-7,-11,13,98,95,2.7,1002,-5,6,68,9,Yekaterinburg
2018-03-23,-7,-14,0.9,6.3,1,42,09:48 AM,01:19 AM,06:52 AM,07:18 PM,-11,-16,-11,-16,12,100,94,1.0,1001,-7,4,67,9,Yekaterinburg
2018-03-24,-2,-15,0.1,7.7,1,49,10:30 AM,02:32 AM,06:50 AM,07:20 PM,-9,-12,-7,-12,19,82,89,0.1,1004,-2,6,246,12,Yekaterinburg
2018-03-25,-1,-7,0.4,7.7,1,56,11:25 AM,03:39 AM,06:47 AM,07:22 PM,-6,-9,-4,-9,19,66,87,0.4,1004,-1,9,257,12,Yekaterinburg
2018-03-26,-0,-8,0.1,6.4,1,63,12:31 PM,04:33 AM,06:44 AM,07:24 PM,-6,-10,-4,-10,27,94,86,0.1,1004,-0,10,249,18,Yekaterinburg
2018-03-27,1,-4,0.9,6.4,1,71,01:48 PM,05:16 AM,06:41 AM,07:26 PM,-2,-4,-1,-4,16,96,91,1.1,1006,1,7,231,11,Yekaterinburg
2018-03-28,0,-5,5.6,6.4,1,78,03:09 PM,05:49 AM,06:39 AM,07:28 PM,-3,-4,-2,-4,9,100,95,6.6,1007,0,4,140,7,Yekaterinburg
2018-03-29,-5,-11,1.1,9.0,1,85,04:32 PM,06:15 AM,06:36 AM,07:30 PM,-10,-14,-8,-14,20,82,86,1.2,1006,-5,6,321,14,Yekaterinburg
2018-03-30,-3,-14,0.3,11.6,2,93,05:56 PM,06:38 AM,06:33 AM,07:32 PM,-11,-14,-8,-14,21,35,83,0.4,1016,-3,9,268,14,Yekaterinburg
2018-03-31,-1,-10,0.9,7.8,1,96,07:17 PM,06:57 AM,06:30 AM,07:35 PM,-7,-11,-5,-11,25,78,85,1.0,1019,-1,9,261,17,Yekaterinburg
2018-04-01,-2,-9,0.1,6.5,1,89,08:36 PM,07:16 AM,06:28 AM,07:37 PM,-6,-9,-4,-9,17,83,89,0.3,1025,-2,8,233,11,Yekaterinburg
2018-04-02,1,-7,0.0,7.8,1,81,09:53 PM,07:35 AM,06:25 AM,07:39 PM,-4,-5,-2,-5,10,83,90,0.0,1028,1,7,271,6,Yekaterinburg
2018-04-03,4,-7,0.0,6.6,1,74,11:08 PM,07:55 AM,06:22 AM,07:41 PM,-1,-4,-1,-4,14,75,95,0.0,1032,4,5,183,9,Yekaterinburg
2018-04-04,7,-4,0.0,11.6,2,66,No moonrise,08:18 AM,06:20 AM,07:43 PM,-1,-2,1,-2,19,16,85,0.0,1025,7,10,184,11,Yekaterinburg
2018-04-05,4,-3,0.0,6.6,1,59,12:18 AM,08:46 AM,06:17 AM,07:45 PM,-1,-1,1,-1,10,70,87,0.1,1016,4,8,99,7,Yekaterinburg
2018-04-06,3,-1,2.3,6.7,1,51,01:24 AM,09:19 AM,06:14 AM,07:47 PM,-0,-3,1,-3,20,97,91,2.7,1014,3,6,143,14,Yekaterinburg
2018-04-07,5,-5,0.0,6.7,1,44,02:22 AM,10:00 AM,06:12 AM,07:49 PM,-1,-0,1,-0,9,69,86,0.0,1017,5,8,279,6,Yekaterinburg
2018-04-08,4,-2,0.5,6.7,1,36,03:12 AM,10:49 AM,06:09 AM,07:51 PM,1,0,2,0,10,73,91,1.3,1007,4,6,252,6,Yekaterinburg
2018-04-09,4,-2,1.0,9.2,1,28,03:53 AM,11:47 AM,06:06 AM,07:53 PM,-1,-3,1,-3,23,74,84,1.5,1012,4,8,317,15,Yekaterinburg
2018-04-10,8,-5,0.0,9.2,2,21,04:26 AM,12:50 PM,06:04 AM,07:56 PM,-0,-1,2,-1,19,58,86,0.5,1017,8,10,239,12,Yekaterinburg
2018-04-11,5,-1,0.9,6.8,1,13,04:54 AM,01:58 PM,06:01 AM,07:58 PM,1,-1,3,-1,22,99,87,1.0,1012,5,8,286,14,Yekaterinburg
2018-04-12,3,-5,0.4,13.4,2,6,05:17 AM,03:10 PM,05:59 AM,08:00 PM,-4,-3,0,-3,11,46,73,0.4,1018,3,9,317,8,Yekaterinburg
2018-04-13,3,-5,0.8,11.2,1,0,05:37 AM,04:24 PM,05:56 AM,08:02 PM,-4,-4,0,-4,20,67,78,1.0,1015,3,9,291,14,Yekaterinburg
2018-04-14,4,-4,0.0,14.5,2,0,05:55 AM,05:41 PM,05:53 AM,08:04 PM,-3,-3,1,-3,17,46,80,0.0,1020,4,9,295,12,Yekaterinburg
2018-04-15,5,1,0.0,9.1,1,0,06:12 AM,07:00 PM,05:51 AM,08:06 PM,1,-1,3,-1,27,94,88,0.8,1012,5,10,276,18,Yekaterinburg
2018-04-16,2,-3,1.0,12.4,2,1,06:31 AM,08:20 PM,05:48 AM,08:08 PM,-5,-5,-1,-5,18,62,72,1.2,1013,2,8,322,13,Yekaterinburg
2018-04-17,3,-6,0.3,10.2,1,9,06:51 AM,09:44 PM,05:46 AM,08:10 PM,-6,-3,-1,-3,8,69,71,0.4,1018,3,9,245,6,Yekaterinburg
2018-04-18,4,-5,0.1,11.3,1,17,07:16 AM,11:06 PM,05:43 AM,08:12 PM,-5,-1,0,-1,8,66,72,0.1,1021,4,10,218,5,Yekaterinburg
2018-04-19,11,-4,0.0,14.5,2,24,07:47 AM,No moonset,05:41 AM,08:14 PM,-1,3,4,3,11,18,71,0.0,1011,11,10,231,7,Yekaterinburg
2018-04-20,5,0,1.2,9.2,1,32,08:26 AM,12:24 AM,05:38 AM,08:16 PM,3,2,4,2,13,100,93,6.1,1000,5,8,199,8,Yekaterinburg
2018-04-21,2,-3,1.1,11.4,2,39,09:18 AM,01:35 AM,05:36 AM,08:19 PM,-5,-3,-0,-3,10,82,70,1.2,1005,2,8,95,7,Yekaterinburg
2018-04-22,8,-3,0.0,11.4,2,47,10:21 AM,02:33 AM,05:33 AM,08:21 PM,-4,-1,3,-1,24,69,62,0.0,1002,8,10,166,18,Yekaterinburg
2018-04-23,10,3,0.0,11.4,2,54,11:35 AM,03:19 AM,05:31 AM,08:23 PM,2,5,7,5,16,76,72,1.6,999,10,9,219,11,Yekaterinburg
2018-04-24,3,-2,5.9,10.4,1,62,12:54 PM,03:54 AM,05:28 AM,08:25 PM,-1,-4,0,-4,20,95,87,7.2,1001,3,6,290,14,Yekaterinburg
2018-04-25,4,-2,0.6,12.5,1,69,02:15 PM,04:21 AM,05:26 AM,08:27 PM,-2,-2,1,-2,16,60,81,0.7,1010,4,9,307,11,Yekaterinburg
2018-04-26,7,-2,0.0,12.5,2,77,03:37 PM,04:44 AM,05:23 AM,08:29 PM,-1,1,4,1,13,39,73,0.0,1017,7,8,236,9,Yekaterinburg
2018-04-27,9,-0,0.0,10.5,1,85,04:57 PM,05:03 AM,05:21 AM,08:31 PM,1,2,5,2,20,67,78,2.1,1009,9,9,150,14,Yekaterinburg
2018-04-28,12,6,0.0,12.5,3,92,06:16 PM,05:21 AM,05:18 AM,08:33 PM,4,6,8,6,18,62,73,0.0,1013,12,10,220,13,Yekaterinburg
2018-04-29,11,5,0.0,10.5,2,100,07:34 PM,05:39 AM,05:16 AM,08:36 PM,4,4,8,4,34,68,75,2.1,998,11,9,235,23,Yekaterinburg
2018-04-30,8,2,0.0,11.5,1,100,08:49 PM,05:58 AM,05:13 AM,08:38 PM,-1,1,5,1,24,71,69,0.0,1009,8,10,295,18,Yekaterinburg
2018-05-01,12,0,0.0,14.5,3,89,10:02 PM,06:19 AM,05:11 AM,08:40 PM,-2,7,7,7,8,36,56,0.3,1014,12,10,230,5,Yekaterinburg
2018-05-02,12,1,0.0,14.5,3,82,11:11 PM,06:44 AM,05:09 AM,08:42 PM,-5,6,7,6,10,13,46,0.1,1022,12,10,313,7,Yekaterinburg
2018-05-03,15,1,0.0,12.5,3,75,No moonrise,07:15 AM,05:06 AM,08:44 PM,-3,9,9,9,9,47,44,2.1,1019,15,10,157,7,Yekaterinburg
2018-05-04,8,1,0.0,10.6,2,68,12:13 AM,07:53 AM,05:04 AM,08:46 PM,1,3,6,3,19,84,75,1.6,1013,8,8,269,14,Yekaterinburg
2018-05-05,9,-2,0.0,14.5,2,60,01:07 AM,08:38 AM,05:02 AM,08:48 PM,-6,1,4,1,15,10,54,0.0,1029,9,10,300,11,Yekaterinburg
2018-05-06,13,-1,0.0,12.7,3,53,01:52 AM,09:33 AM,04:59 AM,08:50 PM,-2,6,8,6,14,55,56,0.0,1025,13,10,260,10,Yekaterinburg
2018-05-07,9,4,0.0,11.8,2,46,02:28 AM,10:33 AM,04:57 AM,08:52 PM,3,5,8,5,24,74,72,1.2,1012,9,9,297,18,Yekaterinburg
2018-05-08,12,2,0.0,11.8,2,39,02:57 AM,11:40 AM,04:55 AM,08:55 PM,2,7,8,7,9,72,71,0.7,1014,12,8,258,6,Yekaterinburg
2018-05-09,14,4,0.0,13.6,3,31,03:22 AM,12:49 PM,04:53 AM,08:57 PM,4,7,9,7,21,34,72,2.1,1007,14,8,252,15,Yekaterinburg
2018-05-10,7,1,0.0,10.1,1,24,03:42 AM,02:02 PM,04:51 AM,08:59 PM,-0,1,4,1,17,79,72,0.0,1015,7,10,212,13,Yekaterinburg
2018-05-11,14,-0,0.0,16.5,3,17,04:00 AM,03:17 PM,04:49 AM,09:01 PM,-0,6,8,6,14,25,62,0.0,1014,14,8,120,10,Yekaterinburg
2018-05-12,13,3,0.0,15.7,2,9,04:17 AM,04:34 PM,04:47 AM,09:03 PM,-1,6,8,6,19,43,56,0.0,1013,13,10,253,14,Yekaterinburg
2018-05-13,14,-2,0.0,16.6,3,2,04:35 AM,05:54 PM,04:44 AM,09:05 PM,-3,7,8,7,11,16,50,0.0,1023,14,10,238,8,Yekaterinburg
2018-05-14,17,6,0.0,16.7,4,0,04:54 AM,07:17 PM,04:42 AM,09:07 PM,0,11,12,11,23,20,44,0.1,1014,17,10,317,17,Yekaterinburg
2018-05-15,16,2,0.0,16.7,3,0,05:16 AM,08:42 PM,04:40 AM,09:09 PM,-1,8,9,8,19,27,53,0.7,1015,16,10,267,14,Yekaterinburg
2018-05-16,10,1,0.0,16.6,3,5,05:44 AM,10:05 PM,04:39 AM,09:11 PM,-3,4,6,4,13,39,57,0.0,1020,10,10,40,10,Yekaterinburg
2018-05-17,17,1,0.0,16.8,3,12,06:20 AM,11:22 PM,04:37 AM,09:13 PM,-2,9,10,9,14,30,45,0.0,1017,17,10,261,9,Yekaterinburg
2018-05-18,13,6,0.0,16.6,3,19,07:08 AM,No moonset,04:35 AM,09:15 PM,1,8,10,8,17,41,55,0.0,1017,13,10,157,12,Yekaterinburg
2018-05-19,18,4,0.0,15.8,4,27,08:09 AM,12:28 AM,04:33 AM,09:16 PM,2,10,12,10,24,51,54,0.0,1018,18,10,171,17,Yekaterinburg
2018-05-20,25,13,0.0,16.6,5,34,09:22 AM,01:20 AM,04:31 AM,09:18 PM,11,19,19,19,24,29,65,0.3,1009,25,10,236,17,Yekaterinburg
2018-05-21,12,6,0.0,14.3,4,41,10:41 AM,01:59 AM,04:29 AM,09:20 PM,6,10,11,10,14,68,73,0.1,1018,12,10,282,10,Yekaterinburg
2018-05-22,21,4,0.0,16.9,4,48,12:03 PM,02:28 AM,04:28 AM,09:22 PM,4,13,14,13,23,17,56,0.0,1020,21,10,261,16,Yekaterinburg
2018-05-23,22,6,0.0,17.0,4,56,01:25 PM,02:52 AM,04:26 AM,09:24 PM,3,17,17,17,11,11,45,0.0,1024,22,10,161,7,Yekaterinburg
