date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,7,3,0.0,8.3,1,97,04:28 PM,07:07 AM,08:13 AM,04:46 PM,1,2,5,2,25,65,78,2.2,1012,7,9,220,15,Zurich
2018-01-02,6,2,0.0,5.0,1,100,05:34 PM,08:13 AM,08:13 AM,04:47 PM,1,0,4,0,24,84,81,0.7,1018,6,9,223,16,Zurich
2018-01-03,11,3,0.0,5.0,2,89,06:46 PM,09:09 AM,08:13 AM,04:48 PM,4,4,7,4,34,70,80,3.6,1009,11,10,241,21,Zurich
2018-01-04,11,5,0.0,3.1,2,81,08:01 PM,09:56 AM,08:13 AM,04:49 PM,6,5,8,5,35,98,87,7.1,1007,11,9,235,21,Zurich
2018-01-05,10,6,0.0,5.0,2,74,09:16 PM,10:34 AM,08:13 AM,04:50 PM,7,7,9,7,14,80,89,3.5,1005,10,8,218,8,Zurich
2018-01-06,8,4,0.0,8.4,2,67,10:28 PM,11:07 AM,08:12 AM,04:51 PM,5,6,6,6,6,43,92,0.0,1008,8,7,66,4,Zurich
2018-01-07,6,2,0.0,8.4,2,59,11:38 PM,11:36 AM,08:12 AM,04:52 PM,2,2,4,2,12,58,91,0.0,1016,6,8,32,7,Zurich
2018-01-08,7,2,0.0,8.4,2,52,No moonrise,12:02 PM,08:12 AM,04:53 PM,2,2,4,2,11,57,92,0.0,1019,7,5,27,6,Zurich
2018-01-09,8,2,0.0,8.4,2,45,12:45 AM,12:28 PM,08:11 AM,04:54 PM,2,3,4,3,7,38,87,0.0,1015,8,9,117,4,Zurich
2018-01-10,7,1,0.0,8.5,2,38,01:50 AM,12:54 PM,08:11 AM,04:56 PM,2,4,4,4,4,40,86,0.0,1015,7,10,165,2,Zurich
2018-01-11,7,1,0.0,8.5,2,30,02:53 AM,01:22 PM,08:11 AM,04:57 PM,1,3,3,3,4,49,85,0.0,1016,7,9,85,2,Zurich
2018-01-12,4,1,0.1,5.0,1,23,03:54 AM,01:53 PM,08:10 AM,04:58 PM,1,0,2,0,9,70,89,0.1,1024,4,7,36,7,Zurich
2018-01-13,3,-2,0.0,5.1,1,16,04:53 AM,02:27 PM,08:10 AM,05:00 PM,-1,-1,1,-1,7,63,89,0.0,1024,3,7,41,5,Zurich
2018-01-14,2,-2,0.0,8.7,2,9,05:50 AM,03:07 PM,08:09 AM,05:01 PM,-2,-1,-0,-1,6,27,86,0.0,1023,2,7,48,4,Zurich
